cluster_id,cluster_label,subclass_label,class_label,cluster_color,size
1,Lamp5 Pax6,Lamp5,GABAergic,#DDACC9,81
2,Lamp5 Egln3_2_1,Lamp5,GABAergic,#DD8091,179
3,Lamp5 Pdlim5_1,Lamp5,GABAergic,#FF829E,247
4,Lamp5 Pdlim5_2,Lamp5,GABAergic,#FF7290,537
5,Lamp5 Slc35d3_1,Lamp5,GABAergic,#FFA388,1275
6,Lamp5 Lhx6,Lamp5,GABAergic,#C77963,38
7,Sncg_1,Sncg,GABAergic,#7E0ACB,107
8,Vip Col14a1,Sncg,GABAergic,#8F1ADB,80
9,Sncg_2,Sncg,GABAergic,#A20EAC,161
10,Vip Serpinf1,Vip,GABAergic,#A720FF,44
11,Vip Htr1f_1,Vip,GABAergic,#FF5FCD,45
12,Vip Htr1f_2,Vip,GABAergic,#FF4DC1,403
13,Vip Igfbp6,Vip,GABAergic,#7779BF,238
14,Vip Mybpc1_1,Vip,GABAergic,#F70CF3,129
15,Vip Mybpc1_2,Vip,GABAergic,#FF0CF6,103
16,Vip Chat,Vip,GABAergic,#FF00FF,498
17,Vip Lypd1,Vip,GABAergic,#B3128A,228
18,Vip Cbln4_1,Vip,GABAergic,#FC26D2,65
19,Vip Cbln4_2,Vip,GABAergic,#F851DF,120
20,Vip Gpc3,Vip,GABAergic,#B09FFF,314
21,Vip C1ql1,Vip,GABAergic,#BD3D9A,337
22,Vip Crispld2,Vip,GABAergic,#992E81,442
23,Sst Chodl,Sst,GABAergic,#FFFF00,120
24,Sst Myh8_1,Sst,GABAergic,#FFB22B,396
25,Sst Myh8_2,Sst,GABAergic,#FFB307,115
26,Sst Hspe_1,Sst,GABAergic,#FFBF09,63
27,Sst Hpse_2,Sst,GABAergic,#BFAF00,80
28,Sst Hpse_3,Sst,GABAergic,#CDB115,136
29,Sst Calb2,Sst,GABAergic,#D2A328,152
30,Sst C1ql3_1,Sst,GABAergic,#802600,92
31,Sst C1ql3_2,Sst,GABAergic,#804600,175
32,Sst Crhr2_1,Sst,GABAergic,#BE8652,254
33,Sst Crhr2_2,Sst,GABAergic,#B0993C,135
