"","x"
"LS-15395_S41_E1-50",19
"LS-15395_S42_E1-50",19
"LS-15395_S43_E1-50",46
"LS-15395_S44_E1-50",45
"LS-15395_S46_E1-50",38
"LS-15395_S47_E1-50",10
"LS-15395_S48_E1-50",38
"LS-15395_S49_E1-50",4
"LS-15395_S50_E1-50",38
"LS-15395_S51_E1-50",20
"LS-15395_S52_E1-50",45
"LS-15395_S53_E1-50",21
"LS-15395_S54_E1-50",33
"LS-15395_S55_E1-50",21
"LS-15395_S56_E1-50",34
"LS-15396_S41_E1-50",37
"LS-15396_S42_E1-50",37
"LS-15396_S43_E1-50",14
"LS-15396_S45_E1-50",37
"LS-15396_S46_E1-50",25
"LS-15396_S47_E1-50",34
"LS-15396_S48_E1-50",20
"LS-15396_S49_E1-50",35
"LS-15396_S52_E1-50",34
"LS-15396_S53_E1-50",37
"LS-15396_S54_E1-50",34
"LS-15396_S55_E1-50",37
"LS-15396_S56_E1-50",37
"LS-15396_S57_E1-50",37
"LS-15396_S58_E1-50",35
"LS-15396_S59_E1-50",11
"LS-15396_S60_E1-50",4
"LS-15396_S61_E1-50",9
"LS-15396_S62_E1-50",37
"LS-15396_S63_E1-50",34
"LS-15396_S64_E1-50",45
"LS-15396_S73_E1-50",1
"LS-15396_S74_E1-50",32
"LS-15396_S75_E1-50",33
"LS-15396_S76_E1-50",31
"LS-15396_S77_E1-50",31
"LS-15396_S78_E1-50",17
"LS-15396_S79_E1-50",32
"LS-15396_S80_E1-50",15
"LS-15396_S81_E1-50",34
"LS-15396_S82_E1-50",30
"LS-15396_S83_E1-50",4
"LS-15396_S84_E1-50",32
"LS-15396_S85_E1-50",40
"LS-15396_S86_E1-50",10
"LS-15396_S87_E1-50",3
"LS-15396_S88_E1-50",31
"LS-15398_S17_E1-50",15
"LS-15398_S18_E1-50",32
"LS-15398_S19_E1-50",9
"LS-15398_S20_E1-50",33
"LS-15398_S21_E1-50",31
"LS-15398_S22_E1-50",34
"LS-15398_S23_E1-50",4
"LS-15398_S24_E1-50",14
"LS-15398_S25_E1-50",33
"LS-15398_S26_E1-50",4
"LS-15398_S27_E1-50",9
"LS-15398_S28_E1-50",17
"LS-15398_S29_E1-50",31
