,index,name,p_raw,p_corr,es,index_name
33808,GABAergic,Gabarapl2-201_ENSMUST00000034428,2.0268264099940658e-07,0.0004752907931436084,0.04434124203762391,GABAergic_Gabarapl2
64914,GABAergic,Tma7-204_ENSMUST00000193868,2.869951080840912e-06,0.006730035284571939,0.05382052799631598,GABAergic_Tma7
117450,Glutamatergic,Selenok-203_ENSMUST00000223998,2.6340683987827828e-11,1.2904301085636853e-07,0.0598465789502054,Glutamatergic_Selenok
78820,Glutamatergic,Ppp2ca-201_ENSMUST00000020608,1.6964339834330853e-06,0.008310830084838685,0.06130795363157304,Glutamatergic_Ppp2ca
38633,GABAergic,Lsm7-201_ENSMUST00000035775,1.0852010356856103e-06,0.002544796428682756,0.06767492577623813,GABAergic_Lsm7
128706,Glutamatergic,Fbxl18-202_ENSMUST00000110766,2.0778614323830626e-07,0.0010179443157244624,0.06815171316254076,Glutamatergic_Fbxl18
131141,Glutamatergic,Serf2-201_ENSMUST00000099475,1.2588886583882768e-09,6.1672955374441684e-06,0.08038902112508683,Glutamatergic_Serf2
4788,GABAergic,Ubc-202_ENSMUST00000136312,1.466219872435329e-08,3.438285600860847e-05,0.08398050921532718,GABAergic_Ubc
100263,Glutamatergic,1110004F10Rik-201_ENSMUST00000032899,3.123741115668193e-07,0.0015303207725658476,0.08487578597526735,Glutamatergic_1110004F10Rik
85450,Glutamatergic,Ndufa5-201_ENSMUST00000023851,2.741965097811629e-11,1.3432887014179172e-07,0.08535847497846927,Glutamatergic_Ndufa5
120951,Glutamatergic,Chchd10-202_ENSMUST00000219435,4.430457997228171e-07,0.002170481372842081,0.08613005004399898,Glutamatergic_Chchd10
111983,Glutamatergic,Higd1a-206_ENSMUST00000215300,1.214338153201135e-07,0.000594904261253236,0.08837509606608229,Glutamatergic_Higd1a
74108,Glutamatergic,Vdac3-201_ENSMUST00000009036,2.948939724007718e-07,0.0014446855707913812,0.08907756409662326,Glutamatergic_Vdac3
137876,Glutamatergic,Gm47551-201_ENSMUST00000225263,1.9125669187456945e-06,0.009369665334935157,0.09172755228161744,Glutamatergic_Gm47551
19548,GABAergic,Rplp2-203_ENSMUST00000106004,1.7129612313246356e-07,0.0004016894087456271,0.0929967433228418,GABAergic_Rplp2
11836,GABAergic,Hsp90aa1-202_ENSMUST00000094361,2.7249159004261847e-29,6.389927786499403e-26,0.09515372669314726,GABAergic_Hsp90aa1
73107,Glutamatergic,Atp5g1-201_ENSMUST00000090541,1.4077904956484308e-18,6.8967656381816624e-15,0.0973979863127572,Glutamatergic_Atp5g1
55979,GABAergic,Gapdh-203_ENSMUST00000118875,2.724691879148548e-37,6.389402456603344e-34,0.0980363679863947,GABAergic_Gapdh
98100,Glutamatergic,2210016L21Rik-201_ENSMUST00000031538,5.433203854061957e-09,2.6617265681049524e-05,0.10650427679651475,Glutamatergic_2210016L21Rik
129334,Glutamatergic,Syt11-201_ENSMUST00000090945,2.270212390372582e-08,0.00011121770500435279,0.10682124730934106,Glutamatergic_Syt11
102539,Glutamatergic,Ciapin1-210_ENSMUST00000162589,3.3222773039895833e-15,1.627583651224497e-11,0.10738988648767034,Glutamatergic_Ciapin1
34483,GABAergic,Pkm-201_ENSMUST00000034834,1.6278661417005373e-14,3.8173461022877596e-11,0.10739834262723047,GABAergic_Pkm
118482,Glutamatergic,Swi5-204_ENSMUST00000113400,7.221021302976911e-07,0.0035375783363283887,0.10805228895984875,Glutamatergic_Swi5
19551,GABAergic,Rplp2-201_ENSMUST00000084434,6.954930650517343e-19,1.630931237546317e-15,0.11324852958952158,GABAergic_Rplp2
110956,Glutamatergic,Mrps26-202_ENSMUST00000145614,3.0456369083985534e-08,0.00014920575214244513,0.11425020652392925,Glutamatergic_Mrps26
132172,Glutamatergic,Rab7-205_ENSMUST00000113600,1.6455132239189287e-07,0.0008061369283978831,0.1148367761159319,Glutamatergic_Rab7
111028,Glutamatergic,Rpl10a-201_ENSMUST00000042334,7.694797394796161e-07,0.0037696812437106393,0.1152438249497747,Glutamatergic_Rpl10a
99688,Glutamatergic,Mrpl51-202_ENSMUST00000136804,1.9571566393025763e-06,0.009588110375943322,0.11573641698932224,Glutamatergic_Mrpl51
54920,GABAergic,Cope-201_ENSMUST00000066469,3.1704484282383094e-09,7.4347015642188355e-06,0.11659854594570085,GABAergic_Cope
100970,Glutamatergic,Rrm1-204_ENSMUST00000210751,3.894740598163026e-15,1.9080334190400665e-11,0.11785347185164252,Glutamatergic_Rrm1
122684,Glutamatergic,Senp7-211_ENSMUST00000202000,2.0758604342093624e-09,1.0169640267191667e-05,0.11845246942393628,Glutamatergic_Senp7
77394,Glutamatergic,Cops6-202_ENSMUST00000110951,1.0949862533841297e-09,5.364337655328852e-06,0.11925987611151356,Glutamatergic_Cops6
74572,Glutamatergic,Rbm25-204_ENSMUST00000182032,4.4058251489936146e-08,0.00021584137404919717,0.12127104608412675,Glutamatergic_Rbm25
80634,Glutamatergic,Srsf5-212_ENSMUST00000153056,9.909931557305604e-08,0.0004854875469924015,0.1257996209067933,Glutamatergic_Srsf5
90270,Glutamatergic,Ncl-201_ENSMUST00000027438,3.415438115760464e-10,1.6732231329110513e-06,0.1263166220632188,Glutamatergic_Ncl
21157,GABAergic,Ndufa10-201_ENSMUST00000027478,2.5784463406321992e-08,6.046456668782507e-05,0.12672149684799905,GABAergic_Ndufa10
83895,Glutamatergic,Crebbp-201_ENSMUST00000023165,3.057941326691382e-08,0.0001498085455946108,0.12831166865840915,Glutamatergic_Crebbp
110698,Glutamatergic,Rps16-202_ENSMUST00000152918,5.374366024476885e-10,2.6329019153912264e-06,0.12839874548772556,Glutamatergic_Rps16
51792,GABAergic,Aff4-201_ENSMUST00000060945,3.7726069061558934e-06,0.00884676319493557,0.12967619737633762,GABAergic_Aff4
110957,Glutamatergic,Mrps26-201_ENSMUST00000046149,8.783141770039426e-07,0.004302861153142315,0.12984299873355187,Glutamatergic_Mrps26
72798,Glutamatergic,Psmd4-202_ENSMUST00000107237,7.780528296353257e-07,0.003811680812383461,0.13195964249556358,Glutamatergic_Psmd4
88582,Glutamatergic,Echs1-206_ENSMUST00000211120,1.5378844644132217e-10,7.534095991160373e-07,0.13405252843230642,Glutamatergic_Echs1
115576,Glutamatergic,Rps19-210_ENSMUST00000156372,2.4514955777496823e-14,1.2009876835395693e-10,0.13426945738108298,Glutamatergic_Rps19
32083,GABAergic,Pqbp1-201_ENSMUST00000033497,5.318014987651387e-10,1.2470745146042502e-06,0.13470318555262395,GABAergic_Pqbp1
110847,Glutamatergic,Rfx7-206_ENSMUST00000184851,3.1509405493219235e-19,1.5436457751128104e-15,0.13485869865874228,Glutamatergic_Rfx7
135842,Glutamatergic,A230077H06Rik-202_ENSMUST00000189574,4.1421235219457036e-12,2.0292263134012003e-08,0.1354315698849865,Glutamatergic_A230077H06Rik
129587,Glutamatergic,Ssbp4-215_ENSMUST00000211608,5.49081454347242e-07,0.0026899500448471386,0.1372960975629791,Glutamatergic_Ssbp4
38679,GABAergic,Oaz1-206_ENSMUST00000179894,1.2559045631344857e-25,2.945096200550369e-22,0.1385913271040251,GABAergic_Oaz1
92238,Glutamatergic,Mtx2-201_ENSMUST00000028511,1.7655691364304487e-07,0.0008649523199372769,0.13900333996675762,Glutamatergic_Mtx2
117772,Glutamatergic,Exoc3l-202_ENSMUST00000212138,1.0426709330711937e-06,0.0051080449011157774,0.1391257001731372,Glutamatergic_Exoc3l
132163,Glutamatergic,Pigb-204_ENSMUST00000183746,8.385373851771484e-10,4.10799464998285e-06,0.13960331978764562,Glutamatergic_Pigb
111980,Glutamatergic,Higd1a-201_ENSMUST00000060251,1.656805057258057e-07,0.0008116687975507221,0.14019608101346837,Glutamatergic_Higd1a
74330,Glutamatergic,Tfcp2-206_ENSMUST00000230254,1.5137811137917482e-14,7.416013676465775e-11,0.14033582649666942,Glutamatergic_Tfcp2
824,GABAergic,Pfdn5-205_ENSMUST00000166658,6.841894527914281e-15,1.604424266795899e-11,0.14067738509353678,GABAergic_Pfdn5
87062,Glutamatergic,Gnaq-201_ENSMUST00000025541,4.784902494635516e-07,0.0023441237321219395,0.14294624956599744,Glutamatergic_Gnaq
88272,Glutamatergic,Rps24-202_ENSMUST00000169826,3.852093400898334e-11,1.8871405571000937e-07,0.14327366173003675,Glutamatergic_Rps24
107568,Glutamatergic,Zbtb7a-201_ENSMUST00000048128,2.3077195840778247e-10,1.1305518242397264e-06,0.1434992799616419,Glutamatergic_Zbtb7a
117527,Glutamatergic,Hectd4-201_ENSMUST00000042614,8.743978589571995e-11,4.2836751110313207e-07,0.14365611414911994,Glutamatergic_Hectd4
102374,Glutamatergic,Tecr-201_ENSMUST00000019382,2.593906443774395e-10,1.2707547668050762e-06,0.14401035567025655,Glutamatergic_Tecr
39791,GABAergic,Ube2r2-201_ENSMUST00000040008,1.1298964911676842e-06,0.0026496072717882195,0.14479098794311618,GABAergic_Ube2r2
90266,Glutamatergic,Ncl-202_ENSMUST00000185676,6.276768034330851e-13,3.0749886600186837e-09,0.14609041606965878,Glutamatergic_Ncl
70158,Glutamatergic,Tulp3-206_ENSMUST00000203625,1.3079974508666727e-12,6.4078795117958295e-09,0.14715841273426422,Glutamatergic_Tulp3
