,index,name,p_raw,p_corr,es,index_name
277453,L6 IT,Calm1-202_ENSMUST00000110082,8.282042932146906e-10,4.697574751113725e-06,0.04741869143410682,L6 IT_Calm1
263496,L6 CT,Gapdh-206_ENSMUST00000147954,1.2231657026041635e-06,0.005796582264641131,0.054020707738129836,L6 CT_Gapdh
460241,L6b,Ndufb10-201_ENSMUST00000045602,2.2732291496938893e-07,0.0011991283764635266,0.05568045410185363,L6b_Ndufb10
257812,L6 CT,Cox17-201_ENSMUST00000050273,8.16549018390666e-07,0.003869625798153366,0.058000256048475585,L6 CT_Cox17
465273,L6b,Rpl37a-201_ENSMUST00000059980,1.2289413144901241e-06,0.006482665433935404,0.05992669292773556,L6b_Rpl37a
246524,L6 CT,Eif1-201_ENSMUST00000049385,2.0635136114125702e-15,9.77899100448417e-12,0.06025953050938959,L6 CT_Eif1
241323,L6 CT,Gabarapl2-203_ENSMUST00000133628,1.935368984257131e-07,0.0009171713616394543,0.06175810919570246,L6 CT_Gabarapl2
341493,L6 IT,Myl6-201_ENSMUST00000164181,1.0207565504050071e-08,5.7897311538972006e-05,0.06631604894932153,L6 IT_Myl6
226784,L6 CT,Atp5b-206_ENSMUST00000126751,2.7158231149166776e-07,0.0012870285741590135,0.07012418549848398,L6 CT_Atp5b
272656,L6 CT,Rpl41-203_ENSMUST00000176683,6.934758258738782e-07,0.0032863819388163087,0.0710093325913288,L6 CT_Rpl41
219819,L6 CT,Prelid1-201_ENSMUST00000021942,4.158434002642585e-08,0.00019706818738523212,0.07157989255728703,L6 CT_Prelid1
66667,L2/3 IT,Vmn1r90-203_ENSMUST00000226510,2.1677179027655317e-07,0.0013524391995354153,0.07252382425470921,L2/3 IT_Vmn1r90
305675,L6 IT,Actb-201_ENSMUST00000100497,2.6221225281603914e-08,0.0001487267897972574,0.07403328800933728,L6 IT_Actb
247050,L6 CT,Ripor2-209_ENSMUST00000175986,1.1901627265128022e-06,0.00564018116094417,0.07607222438607919,L6 CT_Ripor2
422139,L6b,Rpl19-201_ENSMUST00000017548,1.0324111635342427e-06,0.005445968887643131,0.07894657967887841,L6b_Rpl19
446210,L6b,Aldoa-201_ENSMUST00000032934,1.128115252035271e-11,5.950807954486054e-08,0.07959441687972202,L6b_Aldoa
214113,L6 CT,Cnih1-201_ENSMUST00000015903,5.771283981106425e-07,0.0027350114786463347,0.08347452665869515,L6 CT_Cnih1
23416,L2/3 IT,Snap25-201_ENSMUST00000028727,8.656606979682669e-07,0.005400857094624017,0.08745222987270473,L2/3 IT_Snap25
430827,L6b,Atp5j-208_ENSMUST00000146103,4.551480167245236e-10,2.400905788221862e-06,0.0883769683969815,L6b_Atp5j
474693,L6b,Rplp0-201_ENSMUST00000086519,4.776229685732298e-10,2.5194611592237874e-06,0.09394334944891813,L6b_Rplp0
164551,L5/6 NP,Rps6-201_ENSMUST00000102814,1.0082057843157952e-06,0.004185062210694866,0.0967777073776821,L5/6 NP_Rps6
27612,L2/3 IT,Rer1-201_ENSMUST00000030914,8.192356131532034e-07,0.0051112109904628365,0.09788051264116948,L2/3 IT_Rer1
225192,L6 CT,Ap3s1-201_ENSMUST00000025357,1.861096046374003e-08,8.819734163766401e-05,0.09967427704797593,L6 CT_Ap3s1
235435,L6 CT,Ppm1g-202_ENSMUST00000200740,4.262847594958403e-09,2.020163475250787e-05,0.10057919127033665,L6 CT_Ppm1g
471428,L6b,Rpl5-201_ENSMUST00000082223,6.521794106197615e-09,3.440246391019242e-05,0.10243075722216055,L6b_Rpl5
199461,L5/6 NP,Grcc10-201_ENSMUST00000004389,2.2582828204448663e-06,0.00937413198766664,0.10654885664247882,L5/6 NP_Grcc10
41675,L2/3 IT,Rfx7-206_ENSMUST00000184851,2.2241874142652613e-07,0.0013876705277600966,0.11003374954303324,L2/3 IT_Rfx7
458615,L6b,Rpl12-203_ENSMUST00000126610,4.194519241033656e-07,0.0022126088996452537,0.11206289263801716,L6b_Rpl12
24467,L2/3 IT,Slc7a11-202_ENSMUST00000142932,3.0850369809033216e-07,0.0019247545723855824,0.11415900053869577,L2/3 IT_Slc7a11
33367,L2/3 IT,Ciapin1-210_ENSMUST00000162589,1.763243597786553e-08,0.00011000876806590304,0.1146478412370513,L2/3 IT_Ciapin1
2091,L2/3 IT,Pafah1b2-201_ENSMUST00000172450,8.999961147911327e-08,0.0005615075760181877,0.11540169249434085,L2/3 IT_Pafah1b2
234277,L6 CT,Nasp-205_ENSMUST00000134038,1.2796261185363024e-06,0.006064148175743537,0.11565686118475427,L6 CT_Nasp
434264,L6b,Nabp2-201_ENSMUST00000026439,9.429915274782256e-08,0.000497428030744764,0.11642767925694919,L6b_Nabp2
25901,L2/3 IT,Wdr31-206_ENSMUST00000146108,5.676325517079374e-07,0.0035414594901058217,0.11719731583998039,L2/3 IT_Wdr31
452396,L6b,Nsf-202_ENSMUST00000103075,4.2680902920024296e-08,0.00022514176290312817,0.1177296989950225,L6b_Nsf
13336,L2/3 IT,Nek4-208_ENSMUST00000228392,2.77918152780678e-07,0.00173393135519865,0.11916711663408885,L2/3 IT_Nek4
219420,L6 CT,Klc1-202_ENSMUST00000118471,1.641980568668361e-07,0.0007781345914919363,0.12107963165583513,L6 CT_Klc1
39945,L2/3 IT,Serbp1-207_ENSMUST00000203436,2.7621153488997833e-07,0.0017232837661785747,0.12141850402158472,L2/3 IT_Serbp1
280623,L6 IT,Atp5g1-201_ENSMUST00000090541,2.836610205129643e-15,1.6089253083495334e-11,0.12228826145313976,L6 IT_Atp5g1
423190,L6b,Calm3-204_ENSMUST00000173557,3.8417444156594225e-07,0.0020265201792603453,0.12286366447369446,L6b_Calm3
446659,L6b,Ndufab1-208_ENSMUST00000146022,1.2002361335336852e-11,6.33124560439019e-08,0.12632145450932963,L6b_Ndufab1
286016,L6 IT,Timm13-201_ENSMUST00000020440,1.987264642928142e-09,1.1271765054688422e-05,0.12634591281838414,L6 IT_Timm13
452428,L6b,Chchd4-201_ENSMUST00000040835,7.874231060764451e-08,0.0004153656884553248,0.12647024288252506,L6b_Chchd4
31375,L2/3 IT,Acer3-201_ENSMUST00000033020,1.0071196007864416e-08,6.28341918930661e-05,0.12684118152075818,L2/3 IT_Acer3
321724,L6 IT,Clstn1-202_ENSMUST00000105691,8.008091696713594e-07,0.004542189610375951,0.1275508550566462,L6 IT_Clstn1
46565,L2/3 IT,Hectd2-205_ENSMUST00000149629,6.069066943675036e-08,0.00037864908661588547,0.1281772783281968,L2/3 IT_Hectd2
9159,L2/3 IT,Lgr5-205_ENSMUST00000149008,8.724057775490705e-10,5.442939646128651e-06,0.1294744002176217,L2/3 IT_Lgr5
329896,L6 IT,Atp6v1a-202_ENSMUST00000114666,2.1227659003507048e-07,0.0012040328186789199,0.1300799923227478,L6 IT_Atp6v1a
440086,L6b,Aimp1-201_ENSMUST00000029663,1.169239468184278e-07,0.0006167738194672066,0.13014793897567323,L6b_Aimp1
449274,L6b,Lysmd2-201_ENSMUST00000034702,4.4855352482312525e-09,2.3661198434419855e-05,0.1302419530179142,L6b_Lysmd2
49998,L2/3 IT,Mrps12-201_ENSMUST00000056078,1.7148350388714118e-09,1.0698855807518739e-05,0.13048439295419634,L2/3 IT_Mrps12
291749,L6 IT,Yaf2-201_ENSMUST00000080299,2.090164484529316e-07,0.0011855412956250282,0.13113613864966744,L6 IT_Yaf2
52798,L2/3 IT,Usp29-203_ENSMUST00000198068,9.837607683089564e-09,6.13768343347958e-05,0.13146577447892271,L2/3 IT_Usp29
38491,L2/3 IT,Neil2-202_ENSMUST00000223723,6.720897870594889e-11,4.193168181464151e-07,0.13169245734703455,L2/3 IT_Neil2
275112,L6 CT,Gm29683-203_ENSMUST00000209071,7.478513666475143e-09,3.5440676265425704e-05,0.13172139994886722,L6 CT_Gm29683
427253,L6b,Auh-201_ENSMUST00000021913,7.128912179206091e-07,0.0037605011745312127,0.13357107580995198,L6b_Auh
204740,L5/6 NP,Rpl24-201_ENSMUST00000023269,1.0688463950038063e-07,0.00044367813856608003,0.1338319054437198,L5/6 NP_Rpl24
65482,L2/3 IT,Cdkn2d-201_ENSMUST00000086374,1.1386262033147433e-06,0.007103888882480683,0.1343809578644466,L2/3 IT_Cdkn2d
169977,L5/6 NP,Ndufab1-203_ENSMUST00000123296,3.884452281900279e-08,0.00016124361422168058,0.1364958703528112,L5/6 NP_Ndufab1
33172,L2/3 IT,Vps35-203_ENSMUST00000209277,1.040572050746392e-09,6.49212902460674e-06,0.13684784234757663,L2/3 IT_Vps35
192498,L5/6 NP,Tceal5-201_ENSMUST00000066819,2.3293696942244546e-07,0.0009669213600725711,0.13886802015350774,L5/6 NP_Tceal5
5702,L2/3 IT,Adgrl1-207_ENSMUST00000141158,1.2374180948490411e-09,7.720251493763168e-06,0.14028732488629636,L2/3 IT_Adgrl1
267007,L6 CT,Hmgb1-203_ENSMUST00000110505,1.888600333330628e-08,8.950076979653845e-05,0.14150256839123188,L6 CT_Hmgb1
46460,L2/3 IT,Ghitm-203_ENSMUST00000223921,1.200623751268545e-07,0.0007490691584164452,0.14176641160238823,L2/3 IT_Ghitm
222831,L6 CT,Cpox-205_ENSMUST00000232176,6.186692364581184e-10,2.931873511575023e-06,0.14196499851374567,L6 CT_Cpox
261081,L6 CT,Uba2-210_ENSMUST00000206651,3.702512261173503e-07,0.001754620560570123,0.14276703729618978,L6 CT_Uba2
30882,L2/3 IT,Mef2a-207_ENSMUST00000144057,1.039562798056641e-07,0.0006485832297075382,0.14325335609498202,L2/3 IT_Mef2a
31123,L2/3 IT,Mvp-203_ENSMUST00000206511,1.3657490984031422e-09,8.520908624937204e-06,0.14355191006482543,L2/3 IT_Mvp
252915,L6 CT,Lrp1-201_ENSMUST00000049149,1.0294384598067123e-07,0.000487850886102401,0.14388928138579504,L6 CT_Lrp1
229979,L6 CT,Olfm1-203_ENSMUST00000102879,1.4945170858296922e-13,7.082516469746912e-10,0.1439223332134878,L6 CT_Olfm1
3929,L2/3 IT,Sra1-204_ENSMUST00000173482,2.4169629585361694e-07,0.0015079431898307161,0.14427411471240514,L2/3 IT_Sra1
441687,L6b,Ppt1-201_ENSMUST00000030412,1.0029349695632727e-06,0.005290481964446264,0.14445023206692476,L6b_Ppt1
41081,L2/3 IT,4932438A13Rik-212_ENSMUST00000140480,6.307749991332815e-10,3.935405219592544e-06,0.1453302601173886,L2/3 IT_4932438A13Rik
19526,L2/3 IT,Hras-205_ENSMUST00000128993,1.7509110747677394e-07,0.0010923934195475927,0.1455640120071071,L2/3 IT_Hras
471170,L6b,Sept11-201_ENSMUST00000074733,4.617040143264875e-07,0.0024354886755722214,0.14563357843655478,L6b_Sept11
461482,L6b,Map7d2-203_ENSMUST00000112471,3.7310167063681226e-08,0.00019681113126091847,0.14653853110510306,L6b_Map7d2
422947,L6b,Mrpl58-202_ENSMUST00000103036,1.8560990517425815e-08,9.790922497942117e-05,0.14753350550353073,L6b_Mrpl58
302843,L6 IT,Hint2-201_ENSMUST00000030192,6.455235995014535e-07,0.0036614098563722444,0.1478175923102416,L6 IT_Hint2
261028,L6 CT,Senp7-211_ENSMUST00000202000,5.357103008096887e-11,2.5387311155371146e-07,0.14800911015771634,L6 CT_Senp7
448937,L6b,Dcun1d5-202_ENSMUST00000215683,1.7249922705573303e-09,9.099334227189918e-06,0.14881103433912957,L6b_Dcun1d5
451073,L6b,Gas7-204_ENSMUST00000108682,1.4271986162491791e-11,7.52847270071442e-08,0.14912570357035015,L6b_Gas7
12554,L2/3 IT,Cast-203_ENSMUST00000220868,6.237035358214481e-10,3.891286359990014e-06,0.14981575484707021,L2/3 IT_Cast
328209,L6 IT,Cdk5r1-201_ENSMUST00000053413,7.894600931049417e-07,0.004477817648091229,0.15005636422560498,L6 IT_Cdk5r1
11149,L2/3 IT,Mia2-204_ENSMUST00000175659,2.2813976157958744e-07,0.001423363972495046,0.15021051395953822,L2/3 IT_Mia2
37903,L2/3 IT,Ankrd12-201_ENSMUST00000038116,2.5991057164610007e-07,0.0016215820565000183,0.1502807027849853,L2/3 IT_Ankrd12
1334,L2/3 IT,Ift46-201_ENSMUST00000002099,1.3400779022831728e-06,0.008360746032344716,0.15030511435822314,L2/3 IT_Ift46
