,index,name,p_raw,p_corr,es,index_name
51798,L2/3 IT Cdh13 Sla,Calm1-202_ENSMUST00000110082,6.51068041652101e-08,0.00034760522743805674,0.06816787658499557,L2/3 IT Cdh13 Sla_Calm1
218082,L6b Ror1_2,Oaz1-205_ENSMUST00000179620,1.1248315230587317e-06,0.005464431539019318,0.0935021844673054,L6b Ror1_2_Oaz1
200231,L6b Ror1_2,Dnaja1-201_ENSMUST00000030118,1.4544875631758859e-06,0.007065900581908454,0.09961809812073508,L6b Ror1_2_Dnaja1
281226,L6b Rprm,Myl6-201_ENSMUST00000164181,1.1857284813585518e-07,0.0005259891543306535,0.11047184953108946,L6b Rprm_Myl6
33734,L2/3 IT Cdh13 Sla,Myl6-201_ENSMUST00000164181,3.7989959736180645e-07,0.0020282839503146847,0.11145468171155137,L2/3 IT Cdh13 Sla_Myl6
299290,Lamp5 Slc35d3,Calm1-202_ENSMUST00000110082,1.756499952745495e-07,0.0005529461851242818,0.11258766233494821,Lamp5 Slc35d3_Calm1
145291,L6b Ror1_1,Mdh2-203_ENSMUST00000138101,1.8051125471678477e-08,8.287271704047588e-05,0.12062634807915007,L6b Ror1_1_Mdh2
222942,L6b Ror1_2,Vdac2-201_ENSMUST00000022293,1.6299503132323025e-07,0.0007918298621682526,0.120694339223677,L6b Ror1_2_Vdac2
50796,L2/3 IT Cdh13 Sla,Psma6-201_ENSMUST00000021412,1.749659536663488e-06,0.009341432266246362,0.12275438063772626,L2/3 IT Cdh13 Sla_Psma6
52684,L2/3 IT Cdh13 Sla,Ywhaz-201_ENSMUST00000022894,3.0535040246265045e-07,0.0016302657987480908,0.12318459905931967,L2/3 IT Cdh13 Sla_Ywhaz
139169,L6b Ror1_1,Rps6-201_ENSMUST00000102814,5.122868287687486e-07,0.0023519088308773246,0.12415049594902339,L6b Ror1_1_Rps6
51798,L5 NP Slc17a8,Calm1-202_ENSMUST00000110082,2.6987445013470274e-08,9.990752143986696e-05,0.1276317946516654,L5 NP Slc17a8_Calm1
132477,L2/3 IT S100a6,Gnas-208_ENSMUST00000109087,1.34354135237778e-06,0.0070844935510880344,0.12898710165636906,L2/3 IT S100a6_Gnas
208929,L6b Ror1_2,Hnrnpa2b1-204_ENSMUST00000203220,1.9517955655095894e-06,0.009481822857245586,0.13084260236327072,L6b Ror1_2_Hnrnpa2b1
21980,L2/3 IT Cdh13 Sla,Actb-201_ENSMUST00000100497,8.361516282057494e-08,0.0004464213542990496,0.1325458956616563,L2/3 IT Cdh13 Sla_Actb
166280,Pvalb Reln,Tma7-201_ENSMUST00000167504,1.1029248293463338e-06,0.002891868902546087,0.13363707593710217,Pvalb Reln_Tma7
269472,L6b Rprm,Actb-201_ENSMUST00000100497,7.460387741752717e-09,3.309428002241505e-05,0.13996331621742275,L6b Rprm_Actb
30635,L2/3 IT Cdh13 Sla,Rplp2-201_ENSMUST00000084434,8.365267339060105e-07,0.0044662162323241906,0.1434648472024569,L2/3 IT Cdh13 Sla_Rplp2
202516,L6b Ror1_2,Hmgn2-203_ENSMUST00000102553,1.4777337120321321e-06,0.007178830373052098,0.14563591181225188,L6b Ror1_2_Hmgn2
145726,Pvalb Reln,Actb-201_ENSMUST00000100497,2.5491345052072866e-07,0.0006683830672653506,0.14692730692346867,Pvalb Reln_Actb
355671,L6b Shisa6,Eif1-202_ENSMUST00000132618,7.306229798016473e-07,0.0039124860568378215,0.15069164200660534,L6b Shisa6_Eif1
144270,L6b Ror1_1,2210016L21Rik-201_ENSMUST00000031538,2.2780757431333974e-07,0.0010458645736725427,0.1509144105141127,L6b Ror1_1_2210016L21Rik
46054,L2/3 IT Cdh13 Sla,Atp5g1-201_ENSMUST00000090541,1.1118931852821529e-08,5.936397716221414e-05,0.15329526017069028,L2/3 IT Cdh13 Sla_Atp5g1
224496,L6b Ror1_2,Sucla2-203_ENSMUST00000160507,2.1578117172854456e-07,0.0010482649322572694,0.15364572681365818,L6b Ror1_2_Sucla2
196119,L6b Ror1_2,Zcchc18-203_ENSMUST00000113067,6.861881289458331e-07,0.0033335019304188574,0.15377897082898428,L6b Ror1_2_Zcchc18
83853,L6 CT Grp_1,Actb-201_ENSMUST00000100497,1.3495250620945354e-09,5.533052754587595e-06,0.15414947065022666,L6 CT Grp_1_Actb
94847,L6 IT Sulf_2,Slc25a3-201_ENSMUST00000076694,3.6992017593553367e-07,0.0019328329192631634,0.160526018769108,L6 IT Sulf_2_Slc25a3
53889,L2/3 IT Cdh13 Sla,Pmm1-201_ENSMUST00000023112,1.621841390783864e-06,0.00865901118539505,0.16055486960887322,L2/3 IT Cdh13 Sla_Pmm1
26699,L6 IT Sulf_1,Psmc4-201_ENSMUST00000032824,1.14681114358488e-06,0.007028805499031729,0.16529480202672708,L6 IT Sulf_1_Psmc4
134913,L6b Ror1_1,Sec62-201_ENSMUST00000029256,9.029956786597088e-10,4.145653160726723e-06,0.16673655282203015,L6b Ror1_1_Sec62
183086,L6b Ror1_1,Cox7a2l-201_ENSMUST00000025095,2.1357488838010206e-06,0.009805223125530485,0.16813437237199746,L6b Ror1_1_Cox7a2l
88808,L2/3 IT Macc1,Tbcb-201_ENSMUST00000006254,3.9536292739039017e-07,0.00241171385708138,0.1688710545216221,L2/3 IT Macc1_Tbcb
85172,Pvalb Gpr149,Cycs-202_ENSMUST00000161401,7.364858251467676e-08,0.00029238487258326673,0.17768817767109013,Pvalb Gpr149_Cycs
477,Sst C1ql3,Cox5b-204_ENSMUST00000193210,2.3826876015485244e-06,0.008160705035303696,0.1811357062418768,Sst C1ql3_Cox5b
417540,Sst Myh8_2,Eif1-201_ENSMUST00000049385,3.27422500385451e-06,0.008810939485372486,0.18226145009099515,Sst Myh8_2_Eif1
167209,L6b Ror1_1,Sec61g-206_ENSMUST00000166950,1.6059777362626963e-06,0.007373043787182039,0.18600368879155926,L6b Ror1_1_Sec61g
255354,Sst Etv1,Fkbp1a-201_ENSMUST00000044011,2.3162513303734975e-06,0.007534765577704988,0.18690953231467677,Sst Etv1_Fkbp1a
270817,L6b Rprm,Snx10-201_ENSMUST00000049152,4.986714914682267e-07,0.0022121067361530536,0.19420757002637767,L6b Rprm_Snx10
157462,L6b Ror1_1,Nabp2-201_ENSMUST00000026439,8.025926181416066e-07,0.003684702709888116,0.19689375516450802,L6b Ror1_1_Nabp2
95132,L2/3 IT Macc1,Nap1l1-205_ENSMUST00000219143,2.1161372076107147e-08,0.0001290843696642536,0.19730508632171606,L2/3 IT Macc1_Nap1l1
45065,L2/3 IT Cdh13 Sla,C1qbp-201_ENSMUST00000078528,1.3026671161942104e-06,0.00695493973336089,0.19874718972430294,L2/3 IT Cdh13 Sla_C1qbp
44143,Sst C1ql3,Uqcrq-204_ENSMUST00000156503,1.9122119250403918e-07,0.0006549325843263342,0.1988445039612774,Sst C1ql3_Uqcrq
546782,Vip Lmo1,Calm1-202_ENSMUST00000110082,1.163096521898899e-07,0.00019761009907062296,0.1999608943574538,Vip Lmo1_Calm1
63124,Pvalb Gpr149,Lancl1-203_ENSMUST00000119559,8.997073495659778e-07,0.003571838177776932,0.20237922251015572,Pvalb Gpr149_Lancl1
82755,L6 IT Sulf_2,Arpc3-202_ENSMUST00000102525,8.887669366239107e-07,0.004643807243859934,0.2033582468736208,L6 IT Sulf_2_Arpc3
84000,L6 IT Sulf_2,Arpc1a-201_ENSMUST00000031625,1.0600829649904213e-06,0.005538933492074951,0.2035584066097016,L6 IT Sulf_2_Arpc1a
166388,L6b Ror1_1,Ccdc12-201_ENSMUST00000019803,8.762966717174615e-07,0.004023078019854866,0.20684052746693204,L6b Ror1_1_Ccdc12
63178,L6 IT Sulf_2,Arpc2-203_ENSMUST00000113820,1.7903924934698977e-06,0.009354800778380216,0.20697493180802962,L6 IT Sulf_2_Arpc2
114319,L6 IT Sulf_2,Sub1-201_ENSMUST00000022816,1.4138131599900063e-06,0.007387173760947783,0.20751863993763564,L6 IT Sulf_2_Sub1
73120,Pvalb Gpr149,Ndufb5-203_ENSMUST00000122290,4.508951872480977e-08,0.0001790053893374948,0.20912340471604995,Pvalb Gpr149_Ndufb5
24133,L6 IT Sulf_1,Rab7-205_ENSMUST00000113600,1.2768312885617577e-06,0.007825698967595014,0.20976925783958666,L6 IT Sulf_1_Rab7
115151,Pvalb Gpr149,Grina-201_ENSMUST00000023225,9.416320648949405e-07,0.0037382792976329137,0.2124114194389355,Pvalb Gpr149_Grina
16048,L2/3 IT Cdh13 Sla,Prdx1-204_ENSMUST00000135573,9.833678911608538e-07,0.005250201170907798,0.21241874033208497,L2/3 IT Cdh13 Sla_Prdx1
36555,Sst C1ql3,Hsbp1-201_ENSMUST00000034300,6.287292630736341e-08,0.00021533977260271967,0.21687600592071288,Sst C1ql3_Hsbp1
166189,L6b Ror1_1,Ndufaf3-201_ENSMUST00000074208,9.335557519489407e-07,0.004285954457197587,0.2208055199378176,L6b Ror1_1_Ndufaf3
140643,L6 IT Sulf_3,Hmgn2-203_ENSMUST00000102553,1.5818964642148844e-06,0.007564628891875577,0.22179054391676534,L6 IT Sulf_3_Hmgn2
9200,L2/3 IT Cdh13 Sla,Pqbp1-201_ENSMUST00000033497,9.69102257461256e-08,0.0005174036952585646,0.2234616498976898,L2/3 IT Cdh13 Sla_Pqbp1
42503,L6b Kcnip1_1,Uqcrc1-201_ENSMUST00000026743,1.5424102653002964e-06,0.008254979739887187,0.22407444894667083,L6b Kcnip1_1_Uqcrc1
33659,L6b Kcnip1_1,Atp5b-206_ENSMUST00000126751,7.449974279362756e-08,0.0003987226234314947,0.22434177553400758,L6b Kcnip1_1_Atp5b
348851,Sst Myh8_1,Ubl5-204_ENSMUST00000160682,3.671025505443801e-07,0.0007830297403111628,0.2244539120101967,Sst Myh8_1_Ubl5
183465,L6 IT Sulf_3,Celf4-202_ENSMUST00000115816,7.179389091748515e-08,0.000343318386367414,0.22676789153075472,L6 IT Sulf_3_Celf4
32109,Pvalb Calb1,Sumo3-202_ENSMUST00000099538,1.2153390140528994e-06,0.003979019932009192,0.22902686943292583,Pvalb Calb1_Sumo3
51082,Pvalb Calb1,Rtn1-203_ENSMUST00000137990,5.944102358244007e-07,0.001946099112089088,0.22988563036109522,Pvalb Calb1_Rtn1
69574,L6 CT Grp_1,Pcsk2-201_ENSMUST00000028905,1.402756314459919e-06,0.0057513008892856685,0.22999487881904201,L6 CT Grp_1_Pcsk2
104760,L6 NP Trh,Rpl14-201_ENSMUST00000165532,2.2485049999682736e-06,0.00831047447988274,0.23019119683479605,L6 NP Trh_Rpl14
94226,L6b Kcnip1_2,Rps15-202_ENSMUST00000068408,1.6154485110642114e-06,0.008876889568297842,0.23179798070414215,L6b Kcnip1_2_Rps15
4741,L5 NP Slc17a8,Olfm1-203_ENSMUST00000102879,4.151877478058857e-08,0.00015370250423773888,0.23229808034285426,L5 NP Slc17a8_Olfm1
154198,Pvalb Reln,Caly-204_ENSMUST00000211283,1.3859258054461092e-06,0.003633897461879698,0.2331437971745558,Pvalb Reln_Caly
228261,L6b Ror1_2,Ccdc12-201_ENSMUST00000019803,7.50679440223059e-08,0.00036468007206036206,0.23330067849351366,L6b Ror1_2_Ccdc12
11241,L6b Kcnip1_1,Ndufb5-204_ENSMUST00000127477,1.8664319847166521e-06,0.009989143982203522,0.23508892358348366,L6b Kcnip1_1_Ndufb5
25097,L6 IT Sulf_1,Cops7a-201_ENSMUST00000032220,7.057199214749946e-07,0.004325357398720242,0.23751434369931168,L6 IT Sulf_1_Cops7a
37371,L2/3 IT Cdh13 Sla,Rps24-202_ENSMUST00000169826,7.21192132513686e-08,0.00038504447954905695,0.2391394712072552,L2/3 IT Cdh13 Sla_Rps24
43817,L6 IT Sulf_1,Mat2b-201_ENSMUST00000040167,8.492472967826343e-07,0.005205036681980766,0.24026318380186584,L6 IT Sulf_1_Mat2b
319084,L6b Shisa6,Vma21-202_ENSMUST00000114576,1.075657748329686e-06,0.005760147242305468,0.24028533642422234,L6b Shisa6_Vma21
92853,L6 CT Grp_1,Hivep2-204_ENSMUST00000187083,4.483569415499861e-07,0.001838263460354943,0.24049433899533912,L6 CT Grp_1_Hivep2
308263,L6b Rprm,Malat1-203_ENSMUST00000173499,2.012489878911252e-06,0.008927405102850314,0.24095939010845946,L6b Rprm_Malat1
142675,L2/3 IT S100a6,Lrpap1-201_ENSMUST00000030986,8.678063270874803e-07,0.004575942762732284,0.24097558286311482,L2/3 IT S100a6_Lrpap1
92853,L2/3 IT Macc1,Hivep2-204_ENSMUST00000187083,4.000595760070114e-08,0.00024403634136427695,0.24489555746257174,L2/3 IT Macc1_Hivep2
1893,L6b Kcnip1_1,Ndufa10-201_ENSMUST00000027478,1.705529815571776e-06,0.009127995572940145,0.24579524004276365,L6b Kcnip1_1_Ndufa10
1938,L2/3 IT Cdh13 Sla,Ppp1r7-201_ENSMUST00000027494,4.612293717598812e-07,0.0024625036158260056,0.2464516971386277,L2/3 IT Cdh13 Sla_Ppp1r7
187217,Lamp5 Pdlim5,Dock10-206_ENSMUST00000187885,2.5365104789142093e-06,0.005346964089551153,0.24796858033887048,Lamp5 Pdlim5_Dock10
237959,L6b Ror1_2,Oxct1-201_ENSMUST00000110690,1.938594352840796e-08,9.417691366100586e-05,0.24898694577156988,L6b Ror1_2_Oxct1
331063,L6b Shisa6,Actl6b-205_ENSMUST00000139395,6.669839043123545e-08,0.0003571698807592658,0.24986104089921657,L6b Shisa6_Actl6b
249250,L6b Rprm,Ngef-201_ENSMUST00000027477,2.0628429686863537e-06,0.009150771409092665,0.24990212485756036,L6b Rprm_Ngef
82320,L6 NP Trh,Iscu-201_ENSMUST00000026937,1.6467221928777064e-06,0.006086285224876003,0.2502660115201314,L6 NP Trh_Iscu
58503,L6 IT Sulf_1,Csnk2b-208_ENSMUST00000174306,1.0031085973628165e-06,0.006148052593236702,0.2532769457579658,L6 IT Sulf_1_Csnk2b
