,index,name,p_raw,p_corr,es
90,L2/3 IT,Ccnd2-201_ENSMUST00000000188,5.092241162290224e-21,3.1770492611528705e-17,0.44805612637209835
123,L2/3 IT,Lhx2-201_ENSMUST00000000253,2.2510198981157084e-206,1.4044113144343905e-202,2.3564503114786794
138,L2/3 IT,Dgke-202_ENSMUST00000107894,9.735208281117742e-09,6.0737964465893595e-05,0.25846704852190083
141,L2/3 IT,Hddc2-201_ENSMUST00000000304,8.9994597983786e-17,5.614762968208409e-13,0.596106628453398
147,L2/3 IT,Tpd52l1-202_ENSMUST00000213528,3.012534602295505e-39,1.8795203383721654e-35,0.937165456953307
180,L2/3 IT,Comt-201_ENSMUST00000000335,6.819592761022748e-34,4.254743923602092e-30,0.525494811320244
192,L2/3 IT,Dazap2-201_ENSMUST00000000356,7.03168166284881e-11,4.3870661894513726e-07,0.18231516630147748
195,L2/3 IT,Mcts1-203_ENSMUST00000134573,5.657427838025913e-09,3.5296692281443666e-05,0.23179246906925455
196,L2/3 IT,Mcts1-201_ENSMUST00000000365,8.833390369051424e-20,5.511152251251184e-16,0.177833948688491
197,L2/3 IT,Mcts1-204_ENSMUST00000140204,4.205973088983163e-12,2.6241066102165955e-08,0.3104044695188941
282,L2/3 IT,Grasp-201_ENSMUST00000000543,2.9005971557684247e-154,1.80968256548392e-150,1.8415340080541007
283,L2/3 IT,Acvr1b-201_ENSMUST00000000544,1.475301344017066e-12,9.204405085322475e-09,0.3047502214563327
301,L2/3 IT,Gabra2-203_ENSMUST00000197284,1.6541734387721092e-178,1.032038808449919e-174,1.6236130470450434
302,L2/3 IT,Gabra2-204_ENSMUST00000198625,8.68075948587879e-69,5.415925843239777e-65,1.1586290162265167
464,L2/3 IT,Car4-201_ENSMUST00000103194,1.9247341772361542e-217,1.2008416531776367e-213,3.6789579181119882
486,L2/3 IT,Tpd52l2-202_ENSMUST00000069712,1.8860384076650772e-22,1.1766993625422417e-18,0.5113901331024748
489,L2/3 IT,Tpd52l2-203_ENSMUST00000108799,1.5722703859517628e-11,9.809394937953048e-08,0.29388086479165887
496,L2/3 IT,Fmr1-206_ENSMUST00000114657,7.583712099169399e-07,0.004731477978671788,0.3758283399695934
510,L2/3 IT,Bcl11a-201_ENSMUST00000000881,5.202405321209263e-15,3.245780679902459e-11,0.36518092630555055
578,L2/3 IT,Chtop-202_ENSMUST00000049937,1.6328144732658594e-10,1.0187129498705696e-06,0.40619325533980355
581,L2/3 IT,Snapin-203_ENSMUST00000149884,1.7748370562260337e-10,1.1073208393794223e-06,0.35259912775563285
585,L2/3 IT,Snapin-204_ENSMUST00000184877,1.2759757027499812e-07,0.0007960812409457133,0.38911051803513397
590,L2/3 IT,S100a6-201_ENSMUST00000001051,1.0697153667883964e-196,6.673954173392805e-193,3.767957595909814
674,L2/3 IT,Luzp1-204_ENSMUST00000129230,1.7631717957352036e-45,1.1000428833591935e-41,0.8250542373606642
677,L2/3 IT,Luzp1-203_ENSMUST00000105849,2.214968813052532e-33,1.3819190424634747e-29,0.5607259338145063
690,L2/3 IT,Ift20-203_ENSMUST00000128788,3.3902887470740873e-31,2.115201149299523e-27,0.23710518358298938
751,L2/3 IT,Snrnp27-201_ENSMUST00000001186,2.029302409793795e-14,1.2660817734703485e-10,0.13026641194650335
762,L2/3 IT,Calm1-203_ENSMUST00000127300,2.4630689954659567e-64,1.5367087462712104e-60,0.20391135768330138
763,L2/3 IT,Calm1-204_ENSMUST00000153524,1.3982267745533994e-59,8.723536846438659e-56,0.22349960486349918
765,L2/3 IT,Calm1-202_ENSMUST00000110082,6.214309686785579e-78,3.877107813585523e-74,0.1482050582402934
773,L2/3 IT,Agpat3-201_ENSMUST00000001240,5.2314995125099716e-08,0.0003263932545854971,0.26366344043929235
808,L2/3 IT,Ckb-204_ENSMUST00000222705,2.7961128396532166e-22,1.7444948006596417e-18,0.44350234093416585
844,L2/3 IT,Srr-204_ENSMUST00000121738,2.3598673491441028e-42,1.4723212391310058e-38,0.8168971625184791
848,L2/3 IT,Fndc5-201_ENSMUST00000102600,5.564416396578728e-47,3.4716393898254688e-43,0.9635266267502169
859,L2/3 IT,Vps50-207_ENSMUST00000184461,1.5506976233683514e-11,9.674802472195144e-08,0.14582494756809272
862,L2/3 IT,Vps50-208_ENSMUST00000184780,2.6724352737796335e-20,1.6673323673111134e-16,0.5320078444011807
897,L2/3 IT,Mef2d-201_ENSMUST00000001455,9.713889117713957e-21,6.060495420541738e-17,0.49988612003508903
1027,L2/3 IT,Nom1-201_ENSMUST00000001611,3.369380602560772e-13,2.102156557937666e-09,0.2686345379675339
1031,L2/3 IT,Ergic1-206_ENSMUST00000167662,1.2194127135818864e-17,7.60791592003739e-14,0.3742030730433421
1036,L2/3 IT,Ifrd1-204_ENSMUST00000165027,3.954040370813984e-45,2.4669257873508447e-41,1.0296981654095272
1038,L2/3 IT,Ifrd1-202_ENSMUST00000164047,3.653551821661141e-49,2.2794509815343857e-45,0.9209585117710755
1039,L2/3 IT,Ifrd1-201_ENSMUST00000001672,5.647330980647934e-54,3.5233697988262457e-50,0.68106041054079
1064,L2/3 IT,Ddx18-201_ENSMUST00000001724,6.410772912506458e-11,3.999681220112779e-07,0.3756303922420723
1226,L2/3 IT,Nfix-201_ENSMUST00000076715,6.520782046191359e-11,4.0683159186187884e-07,0.41952383108991276
1272,L2/3 IT,Gria3-201_ENSMUST00000076349,3.5705540093437667e-41,2.227668646429576e-37,1.1455121076182204
1275,L2/3 IT,Gria3-206_ENSMUST00000139965,1.6790000051676306e-08,0.00010475281032240847,0.4156327303881966
1300,L2/3 IT,Idh3g-206_ENSMUST00000142707,6.716959642232779e-63,4.19071112078903e-59,1.1408728360560718
1303,L2/3 IT,Idh3g-208_ENSMUST00000148419,6.985024378573258e-70,4.3579567097918555e-66,1.3523801865908447
1304,L2/3 IT,Idh3g-202_ENSMUST00000129070,4.336773040350978e-43,2.7057126998749752e-39,0.8528236366549078
1306,L2/3 IT,Idh3g-209_ENSMUST00000156299,3.6444006244617994e-42,2.2737415496017165e-38,0.8063268539933939
1334,L2/3 IT,Ift46-201_ENSMUST00000002099,1.3400779022831728e-06,0.008360746032344716,0.15030511435822314
1413,L2/3 IT,Celf2-209_ENSMUST00000137733,1.8687480053470717e-115,1.165911880536038e-111,1.5141914906094411
1420,L2/3 IT,Celf2-201_ENSMUST00000002176,8.209424465335291e-127,5.121859923922688e-123,1.1403347376153057
1422,L2/3 IT,Celf2-217_ENSMUST00000182404,4.570270399699164e-37,2.851391702372308e-33,0.8042533544790107
1433,L2/3 IT,Celf2-215_ENSMUST00000182037,1.1041155981543928e-164,6.888577216885257e-161,1.857475897487432
1606,L2/3 IT,Ranbp3-201_ENSMUST00000002445,1.4784309807749525e-12,9.223930889054928e-09,0.4116735634276836
1633,L2/3 IT,Braf-201_ENSMUST00000002487,2.4432537416294326e-15,1.5243460094026028e-11,0.27370333991808593
1662,L2/3 IT,Rgs20-201_ENSMUST00000002533,5.870345977236978e-43,3.6625088551981505e-39,0.8615324391114103
1742,L2/3 IT,Akap8l-201_ENSMUST00000050214,3.3918299302066263e-50,2.116162693455914e-46,0.4741190300012752
1747,L2/3 IT,Pdcd2l-201_ENSMUST00000002710,3.0054627883570706e-15,1.8751082336559762e-11,0.416009214192004
1751,L2/3 IT,Alkbh7-201_ENSMUST00000002737,1.7878573927985867e-26,1.1154442273670382e-22,0.7479081235109817
1755,L2/3 IT,Med6-204_ENSMUST00000161211,2.7088534293814907e-16,1.690053654591112e-12,0.5901351391532068
1827,L2/3 IT,Ggct-201_ENSMUST00000002874,5.455027841725597e-09,3.4033918704526e-05,0.326888972718824
1828,L2/3 IT,Ggct-202_ENSMUST00000131475,3.2176980899911584e-08,0.00020075218383454836,0.21092407098840416
1840,L2/3 IT,Nudt14-202_ENSMUST00000221397,1.1400505613984347e-07,0.0007112775452564834,0.23819640614457294
1847,L2/3 IT,Epdr1-201_ENSMUST00000002885,2.567489892990027e-15,1.6018569442364777e-11,0.21084036115700844
2061,L2/3 IT,Atp5d-203_ENSMUST00000105367,1.2506279199338105e-38,7.802667592467043e-35,0.5461259224693822
2091,L2/3 IT,Pafah1b2-201_ENSMUST00000172450,8.999961147911327e-08,0.0005615075760181877,0.11540169249434085
2151,L2/3 IT,Sh3gl1-201_ENSMUST00000003268,2.9037054013947306e-13,1.8116217999301725e-09,0.4039530299203742
2160,L2/3 IT,Dvl3-203_ENSMUST00000171572,2.7320468306866746e-19,1.7045240176654162e-15,0.3820064476503442
2189,L2/3 IT,Car11-201_ENSMUST00000003360,3.0542256458262126e-38,1.9055313804309741e-34,0.39904866257198
2190,L2/3 IT,Car11-204_ENSMUST00000210872,2.4725026612241168e-31,1.5425944103377265e-27,0.6794984930301613
