,index,name,p_raw,p_corr,es
17,Lamp5,Bcl11b,0.0,2.2250738585072014e-308,2.523094682860675
54,Lamp5,Cnr1,2.7853300449464994e-270,5.570660089892999e-269,1.0572891418166188
73,Lamp5,Dscaml1,5.493587566065187e-176,1.0987175132130374e-174,1.2865823243003618
92,Lamp5,Gad1,0.0,2.2250738585072014e-308,0.6734817353971003
93,Lamp5,Gad2,0.0,2.2250738585072014e-308,1.0202180243019416
97,Lamp5,Grik1,1.0591423263480144e-47,2.118284652696029e-46,0.8917972826695264
116,Lamp5,Lamp5,0.0,2.2250738585072014e-308,5.190715777540272
154,Lamp5,Parm1,0.0,2.2250738585072014e-308,2.4150388924312294
178,Lamp5,Ptprm,0.0,2.2250738585072014e-308,2.009242116033489
189,Lamp5,Rgs6,0.0,2.2250738585072014e-308,3.4992293500923326
203,Lamp5,Shisa9,1.6697666830892414e-167,3.339533366178483e-166,1.620003137283696
271,Pvalb,Bcl11b,8.866866550813038e-156,2.5713912997357812e-154,1.3199925000627042
282,Pvalb,Camk2d,2.9835041834795676e-19,8.652162132090746e-18,0.3709448465306746
300,Pvalb,Cemip,0.0,2.2250738585072014e-308,5.832259318740829
322,Pvalb,Cux2,0.0,2.2250738585072014e-308,1.6679758458160503
327,Pvalb,Dscaml1,0.37357661573924816,1.0,0.013343850978197125
335,Pvalb,Fam19a2,0.0,2.2250738585072014e-308,4.5193552278385845
346,Pvalb,Gad1,0.0,2.2250738585072014e-308,0.7331004044338911
351,Pvalb,Grik1,4.0616118820940435e-103,1.1778674458072726e-101,1.0657579738025662
371,Pvalb,Lhx6,0.0,2.2250738585072014e-308,5.5277387645343445
399,Pvalb,Nxph1,0.0,2.2250738585072014e-308,3.2118505280729837
408,Pvalb,Parm1,0.0,2.2250738585072014e-308,2.578955401036514
429,Pvalb,Prss23,0.0,2.2250738585072014e-308,8.022506225897002
432,Pvalb,Ptprm,0.0,2.2250738585072014e-308,1.8183082499994345
435,Pvalb,Pvalb,0.0,2.2250738585072014e-308,2.500404446808326
437,Pvalb,Rab3b,1.635139513383243e-149,4.741904588811405e-148,0.30332854225490635
457,Pvalb,Shisa9,7.756361222178398e-251,2.2493447544317356e-249,1.7808432762372028
459,Pvalb,Slc17a7,2.6991187327595326e-81,7.827444325002645e-80,0.16428134805352457
462,Pvalb,Slc30a3,4.1648592573535397e-274,1.2078091846325266e-272,1.7465239019566088
463,Pvalb,Slc32a1,0.0,2.2250738585072014e-308,1.009679110546422
468,Pvalb,Sox6,0.0,2.2250738585072014e-308,4.950091407018354
474,Pvalb,Sulf2,1.3410197279352442e-304,3.888957211012208e-303,1.1384162814375092
478,Pvalb,Tac2,1.9269015127165654e-06,5.5880143868780394e-05,0.07157381893299952
492,Pvalb,Trpc4,0.0,2.2250738585072014e-308,3.969939817309257
496,Pvalb,Ubash3b,0.0,2.2250738585072014e-308,1.4804133858571902
505,Pvalb,Wipf3,0.0,2.2250738585072014e-308,3.2025205807530597
534,Sncg,Calb1,7.927107790515769e-07,1.3476083243876806e-05,0.31465714571324455
562,Sncg,Cnr1,3.312089444233478e-216,5.630552055196913e-215,2.9364674528931882
577,Sncg,Cxcl14,2.909571919793965e-231,4.94627226364974e-230,5.947395590385051
645,Sncg,Npas1,0.0,2.2250738585072014e-308,6.9684190086101765
649,Sncg,Nr2f2,4.263450205141881e-117,7.247865348741198e-116,5.302899407324422
675,Sncg,Pou3f3,1.2869799575333805e-27,2.1878659278067468e-26,1.5403175161635554
711,Sncg,Shisa9,8.238123447993965e-105,1.400480986158974e-103,2.5948932955530895
728,Sncg,Sulf2,0.0030525347338113957,0.05189309047479373,0.3058164215386263
732,Sncg,Tac2,0.00023191921043228054,0.003942626577348769,0.23594442859054254
745,Sncg,Trp53i11,7.918547500305773e-98,1.3461530750519814e-96,5.10881370738512
755,Sncg,Vip,1.848161507409289e-10,3.1418745625957913e-09,0.4102647664257564
788,Sst,Calb1,0.0,2.2250738585072014e-308,1.2281187285641382
804,Sst,Cdh13,0.0,2.2250738585072014e-308,2.9934510030043446
835,Sst,Dscaml1,2.513791232264159e-15,6.284478080660398e-14,0.3619906078545121
840,Sst,Elfn1,0.0,2.2250738585072014e-308,6.5919217222099995
859,Sst,Grik1,5.6056037200698245e-31,1.4014009300174563e-29,0.6400682177040542
860,Sst,Grin3a,0.0,2.2250738585072014e-308,6.716252276555224
861,Sst,Grm1,0.0,2.2250738585072014e-308,4.607270218779049
879,Sst,Lhx6,0.0,2.2250738585072014e-308,3.5549066482396476
907,Sst,Nxph1,0.0,2.2250738585072014e-308,1.9669522123242977
929,Sst,Pou3f3,0.0,2.2250738585072014e-308,2.2774166409948604
