,name,intercept,coef,p_f,p_f_corr,p_coef,p_coef_corr,rsq,rsq_adj,monotonic
1,Mrpl15-201_ENSMUST00000045689,3.268191941792951,0.27865840979696915,5.5775529256919586e-08,0.0001871269006569652,5.5775529254009386e-08,0.00018712690064720148,0.007112578765051669,0.006872402804424027,False
3,Tcea1-201_ENSMUST00000081551,4.482001449723862,0.25378020104644994,3.295908582920873e-10,1.105777329569953e-06,3.295908583122227e-10,1.1057773296375072e-06,0.009508371867930632,0.009268775441193311,False
4,Atp6v1h-201_ENSMUST00000044369,3.9286039227043377,0.2648563558530412,8.892963670608533e-13,2.983589311489163e-09,8.892963670055336e-13,2.983589311303565e-09,0.012280190154489112,0.012041264220806203,False
5,Atp6v1h-204_ENSMUST00000192698,5.66218437483233,0.5255904261370505,1.8061727630095766e-71,6.0597096198971295e-68,1.8061727640446161e-71,6.059709623369687e-68,0.07439685652536376,0.0741729563938992,False
6,Cops5-201_ENSMUST00000027050,4.366387921104829,0.6162572572951754,4.779181100681343e-43,1.6034152592785905e-39,4.779181100847217e-43,1.6034152593342413e-39,0.04473803659585052,0.044506962100590686,False
7,Cops5-206_ENSMUST00000190155,3.812831737909598,0.6265761433098676,1.5118343487388946e-28,5.072204240018991e-25,1.5118343486993284e-28,5.072204239886247e-25,0.029280833042550802,0.02904601950434149,False
8,Cpa6-203_ENSMUST00000147575,1.2679812015609566,-0.2449463087760173,4.3602110084794957e-10,1.4628507933448709e-06,4.3602110083480556e-10,1.4628507933007726e-06,0.009377437001632183,0.009137808902213163,False
13,Eloc-202_ENSMUST00000185393,4.329108385008981,0.5298693986425013,9.925358573679479e-13,3.3299578014694653e-09,9.925358573670026e-13,3.3299578014662935e-09,0.01222867328811661,0.011989734892685622,False
14,Tmem70-203_ENSMUST00000177501,3.172573927098392,0.5850585180178345,1.133151878917218e-07,0.00038017245537672663,1.1331518789020195e-07,0.0003801724553716275,0.006782752778976442,0.0065424970346076305,False
15,Tmem70-201_ENSMUST00000065373,4.0782245477965375,0.40615490902702633,8.393322479937853e-10,2.81595969201915e-06,8.39332248014703e-10,2.8159596920893286e-06,0.009071104216342385,0.00883140201610444,False
17,Tmem14a-202_ENSMUST00000027065,6.000993606919358,-1.3645614238877077,8.076411814020974e-185,2.7096361636040367e-181,8.076411814180846e-185,2.709636163657674e-181,0.18401561337464767,0.1838182296333256,False
18,Ogfrl1-201_ENSMUST00000027343,2.669532204950344,2.1589808512300563,2.145169648835651e-271,7.197044171843609e-268,2.1451696487714915e-271,7.197044171628354e-268,0.2589748843210774,0.2587956329626645,False
19,Ogfrl1-203_ENSMUST00000188677,2.800696062384538,2.4869828977866177,1.5418690488375693e-165,5.172970658850045e-162,1.5418690490504877e-165,5.172970659564386e-162,0.16632037893120055,0.16611871477516071,False
20,Smap1-201_ENSMUST00000027339,3.6111895146041597,1.908491477688476,1.144166303514971e-243,3.8386779482927277e-240,1.1441663036227982e-243,3.838677948654488e-240,0.23574688952964895,0.23556201940133004,False
21,Smap1-205_ENSMUST00000141330,2.808380589473358,2.062490940746993,9.052919683332508e-210,3.0372545537580566e-206,9.052919684782401e-210,3.037254554244496e-206,0.2063609705909929,0.2061689921126647,False
23,Lmbrd1-201_ENSMUST00000095062,2.8944172799447774,0.4318897390132772,5.488817993358782e-12,1.8414984367718716e-08,5.4888179931040615e-12,1.8414984366864125e-08,0.011426683718352981,0.011187551324477463,False
25,Zfp451-202_ENSMUST00000044455,1.976074057509326,-0.5967407754948912,2.4611297156437884e-20,8.25709019598491e-17,2.4611297155872585e-20,8.257090195795252e-17,0.02044391063008244,0.020206959471550823,False
26,Bend6-201_ENSMUST00000062289,3.3549508983359004,0.8970089329106491,2.1668614355253967e-23,7.269820116187707e-20,2.1668614355486442e-23,7.269820116265701e-20,0.023737652606521276,0.023501498192541326,False
29,Cox5b-201_ENSMUST00000081180,5.832285505396341,0.4033846084178854,4.674675805620157e-45,1.5683537327855626e-41,4.6746758056411604e-45,1.5683537327926094e-41,0.046863545952697705,0.04663298561064466,False
30,Cox5b-204_ENSMUST00000193210,5.303298475191687,0.2963426925193662,2.947198424046909e-35,9.88785071267738e-32,2.947198423040052e-35,9.887850709299375e-32,0.03645941226770444,0.036226335202457216,False
31,Cox5b-206_ENSMUST00000195151,5.230692860237855,0.38826464512065123,2.3210712490464877e-29,7.787194040550967e-26,2.321071248571648e-29,7.787194038957879e-26,0.030153675887123255,0.029919073486515457,False
32,Actr1b-201_ENSMUST00000043951,5.102218893235484,-0.6528556573574735,9.443993931643323e-41,3.1684599640663347e-37,9.443993932568662e-41,3.168459964376786e-37,0.042304676815347664,0.04207301369895089,False
33,Inpp4a-201_ENSMUST00000027287,1.6389505520366447,0.5513245736421568,3.060691604315733e-21,1.0268620332479285e-17,3.0606916043227464e-21,1.0268620332502814e-17,0.021420488881864763,0.021183773954163265,False
35,Unc50-201_ENSMUST00000027285,4.035623700425468,-0.32507941751165825,7.260344322643819e-07,0.0024358455202470016,7.2603443225443e-07,0.002435845520213613,0.00592041386971498,0.005679949528609507,False
37,Mrpl30-207_ENSMUST00000195373,5.39536294992773,-0.1876781682341046,1.0583044686678173e-06,0.003550611492380527,1.0583044685979856e-06,0.0035506114921462417,0.0057458671245000925,0.005505360561153361,False
39,Eif5b-201_ENSMUST00000027252,1.9965400678122647,-0.4203166454456046,4.740462265282395e-09,1.5904250900022437e-05,4.7404622653234785e-09,1.590425090016027e-05,0.008262075567007199,0.008022177665596208,False
44,Nck2-201_ENSMUST00000086421,2.1714722404188516,0.4223770611366058,1.9872139083236897e-06,0.006667102662425979,1.9872139083510455e-06,0.006667102662517757,0.00545437342758559,0.005213796352943056,False
45,Slc39a10-201_ENSMUST00000027131,4.568766222331899,-1.35279845754575,1.6809623910074375e-73,5.6396288218299525e-70,1.6809623909682244e-73,5.639628821698393e-70,0.07648271876501878,0.07625932319626338,False
50,Coq10b-201_ENSMUST00000027125,3.905463349603937,0.4560821804409004,2.1543148330977566e-08,7.227726265042974e-05,2.154314833097487e-08,7.227726265042069e-05,0.00755574107828394,0.007315672317054767,False
51,Hspd1-201_ENSMUST00000027123,4.621414483928104,0.5595733663997718,7.433121167871658e-34,2.4938121518209414e-30,7.433121167462639e-34,2.4938121516837154e-30,0.03496329544718235,0.03472985647656002,False
52,Hspe1-201_ENSMUST00000075242,5.484894515653046,0.31982951865179543,4.714631529414514e-24,1.5817588781185695e-20,4.714631529919601e-24,1.5817588782880264e-20,0.024450897281827144,0.024214915399215164,False
55,Maip1-202_ENSMUST00000185709,1.385562489228533,-0.4176686770603836,1.3056456902981278e-23,4.380441290950219e-20,1.3056456902910798e-23,4.3804412909265725e-20,0.023974586928509067,0.02373848982810478,False
57,Clk1-210_ENSMUST00000148330,3.180618536647079,0.6299821647086861,3.0234305198143293e-07,0.0010143609393977076,3.023430519836288e-07,0.0010143609394050747,0.006326746149204476,0.006086380098442312,False
59,Ndufb3-201_ENSMUST00000027193,6.563301858522817,-0.20745307229366183,1.2023737557584732e-19,4.0339639505696775e-16,1.2023737559332542e-19,4.033963951156068e-16,0.019700472501772648,0.019463341508183407,False
60,Sumo1-201_ENSMUST00000091374,6.408397442264516,0.10809624272947813,3.177408340040252e-08,0.00010660204980835046,3.177408339924461e-08,0.00010660204980446568,0.007374642699828349,0.007134530131540973,False
64,Wdr12-203_ENSMUST00000122038,3.335075934264937,0.41321965527411453,5.992402791541547e-07,0.002010451136562189,5.992402791633576e-07,0.002010451136593065,0.006009375438719267,0.005768932617103095,False
66,Raph1-203_ENSMUST00000127573,0.9325636919664997,-0.42218197072830016,5.843835164076562e-20,1.9606066975476866e-16,5.843835163934307e-20,1.96060669749996e-16,0.02003864887866602,0.01980159968874795,False
67,Gm29084-201_ENSMUST00000185587,3.489857369650787,-0.3505303486460294,6.142111581355294e-08,0.0002060678435544701,6.14211158160032e-08,0.00020606784356269075,0.007067693912723327,0.006827507094608443,False
68,Ndufs1-201_ENSMUST00000027111,3.8471220708313885,0.5199530208103691,3.954975998038014e-11,1.3268944473417536e-07,3.954975997924385e-11,1.3268944473036313e-07,0.010501142306108324,0.01026178602703387,False
70,Eef1b2-209_ENSMUST00000188524,5.323051724180104,0.15730194912889034,4.51003755204221e-07,0.0015131175987101613,4.510037552178022e-07,0.0015131175987557264,0.006141162956045831,0.005900752013364707,False
72,Eef1b2-205_ENSMUST00000135877,2.901232316691008,0.4773852029958096,5.813138804848926e-11,1.9503080690268146e-07,5.813138805114319e-11,1.950308069115854e-07,0.010320725949550358,0.010081326028396398,False
74,Unc80-201_ENSMUST00000061620,1.9647280058225278,0.7673072627548181,1.1865149503312695e-35,3.980757658361409e-32,1.1865149503720694e-35,3.980757658498293e-32,0.036880799133776065,0.036647824000523466,False
75,Lancl1-202_ENSMUST00000113979,3.337703868553485,-0.6402081669903373,4.1023545331290307e-38,1.3763399458647898e-34,4.102354533210069e-38,1.3763399458919782e-34,0.03950206599024586,0.03926972493218839,False
76,Lancl1-203_ENSMUST00000119559,6.05411258526789,-0.6167170185407915,3.4327752792687817e-90,1.1516961061946762e-86,3.432775279353799e-90,1.1516961062231996e-86,0.09345055751403708,0.0932312664055499,False
77,Rpl37a-201_ENSMUST00000059980,6.014123663478678,0.21461331401756378,9.963142792608224e-19,3.342634406920059e-15,9.963142794381801e-19,3.342634407515094e-15,0.018709052890260813,0.01847168207576888,False
78,Arpc2-203_ENSMUST00000113820,6.191983020883573,-1.0538292813733663,1.3078194285144638e-237,4.3877341826660263e-234,1.3078194288561595e-237,4.387734183812415e-234,0.23057598749486208,0.23038986654360305,False
79,Arpc2-201_ENSMUST00000006467,4.836824158264786,-1.0925483532126075,4.985497244634517e-122,1.6726343255748805e-118,4.985497244911788e-122,1.672634325667905e-118,0.12497808459159498,0.12476641988056247,False
80,Aamp-201_ENSMUST00000006462,4.8654833799364265,0.24077931147282097,2.541011844042976e-07,0.0008525094736764184,2.541011844108524e-07,0.0008525094736984098,0.006407458251022957,0.006167111724233232,False
81,Pnkd-204_ENSMUST00000113805,4.842392823909599,-0.737508807569331,3.123852766042972e-17,1.0480526030074171e-13,3.123852766142476e-17,1.0480526030408006e-13,0.017092974213302026,0.01685521247508559,False
82,Tmbim1-202_ENSMUST00000113796,0.8006929298286707,-0.20802945388807073,1.4957172815338936e-11,5.018131479546213e-08,1.4957172815345185e-11,5.0181314795483096e-08,0.010956770399355387,0.010717524335107531,False
84,Cdk5r2-201_ENSMUST00000160379,2.164658932042249,-0.41690713203226965,7.37413360770978e-14,2.474021825386631e-10,7.374133607750091e-14,2.4740218254001553e-10,0.013448326125972021,0.013209682760255026,False
87,Tuba4a-206_ENSMUST00000188593,5.519687091671409,-0.35536126496330794,1.1793386813441042e-10,3.9566812759094697e-07,1.179338681360603e-10,3.956681275964823e-07,0.009989434986802603,0.009749954927534832,False
89,Ptprn-201_ENSMUST00000027404,4.256932266101337,-0.37210801156789014,3.9359593651814745e-16,1.3205143670183847e-12,3.935959365190904e-16,1.3205143670215482e-12,0.015904105319109796,0.01566605599770665,False
95,Itm2c-201_ENSMUST00000027425,5.899734932743886,0.3366205722567047,2.87440313627018e-12,9.643622522186454e-09,2.874403135994668e-12,9.643622521262111e-09,0.011729984874756072,0.01149092584835909,False
96,Psmd1-201_ENSMUST00000027432,4.193174463490764,0.2879525977464704,1.0568744263558874e-06,0.0035458137004240023,1.0568744263501354e-06,0.0035458137004047044,0.005746493180755374,0.005505986768849502,False
97,Ncl-201_ENSMUST00000027438,2.0763380363035537,0.3729578770094336,8.54699309574198e-17,2.867516183621434e-13,8.546993095932472e-17,2.867516183685344e-13,0.016620723042985786,0.01638284706887916,False
98,Ncl-202_ENSMUST00000185676,4.5521688480168585,0.475322909428401,1.0976926453912055e-43,3.682758825287494e-40,1.0976926451604274e-43,3.682758824513234e-40,0.04541421541981383,0.04518330448982355,False
99,Ptma-201_ENSMUST00000045897,5.547720991787639,0.2316321702997202,7.304282679042368e-11,2.4505868388187145e-07,7.304282679795833e-11,2.450586839071502e-07,0.010213778910103555,0.009974353118838541,False
102,Ube2f-204_ENSMUST00000178627,4.380459286556301,-0.49682859078965896,1.612333666987087e-12,5.409379452741677e-09,1.612333667029351e-12,5.409379452883472e-09,0.012001117790336524,0.01176212435003432,False
113,Dtymk-201_ENSMUST00000027503,2.876522620043835,0.7684768393165644,5.835919744742659e-13,1.957951074361162e-09,5.835919744686416e-13,1.9579510743422927e-09,0.012477777857434758,0.012238899719519303,False
114,Dtymk-202_ENSMUST00000112890,3.588698555528781,-0.4714209744099546,1.5525770237356882e-08,5.208895914633234e-05,1.552577023721523e-08,5.208895914585709e-05,0.00770846271100456,0.007468430892598965,False
115,Fam174a-201_ENSMUST00000059975,4.601942215070316,-0.4737147894857756,7.444343782512837e-18,2.4975773390330568e-14,7.444343782248741e-18,2.4975773389444525e-14,0.017765798003291366,0.01752819901877356,False
116,D1Ertd622e-201_ENSMUST00000053033,0.5100830313484455,-0.33431307719889597,1.9611741948268327e-31,6.579739423644024e-28,1.9611741948299624e-31,6.579739423654524e-28,0.0323745282399196,0.032140463055652546,False
117,Pign-211_ENSMUST00000190945,1.4635722055765494,-0.5419355832801693,6.264226037944608e-33,2.1016478357304163e-29,6.264226037847313e-33,2.1016478356977733e-29,0.03397424909713753,0.033740570879696175,False
124,Dpp10-202_ENSMUST00000112606,0.716532963115381,-0.35891959029350906,4.848787435841144e-31,1.6267681847247038e-27,4.848787435981685e-31,1.6267681847718556e-27,0.031953710013235104,0.03171954303452529,False
127,Ubxn4-201_ENSMUST00000027592,2.737545724695083,0.46453632926801347,4.41837559334229e-19,1.4823650115663381e-15,4.418375593470249e-19,1.4823650116092687e-15,0.01909032762499996,0.018853049039519787,False
130,Nucks1-201_ENSMUST00000062264,2.931196249368558,-0.36903837280607965,5.459841806880873e-10,1.8317769262085329e-06,5.459841806846085e-10,1.8317769261968616e-06,0.009272225752375407,0.009032572202726796,False
