,index,name,p_raw,p_corr,es,tss_class,index_name
4432,GABAergic,Rtn1-203_ENSMUST00000137990,1.074245545246055e-40,5.156378617181064e-38,0.36898899741001223,19176,GABAergic_19176
14444,GABAergic,Rsrp1-201_ENSMUST00000078084,1.4495313591204092e-45,6.957750523777964e-43,0.4627369045482035,62768,GABAergic_62768
17256,GABAergic,Med21-201_ENSMUST00000032429,1.5216875483071462e-07,7.304100231874301e-05,0.18421599120825505,74682,GABAergic_74682
20780,GABAergic,Kmt2a-201_ENSMUST00000002095,2.771717537330879e-07,0.0001330424417918822,0.09734230836295754,92332,GABAergic_92332
20781,GABAergic,Kmt2a-202_ENSMUST00000114689,1.6100080114491942e-11,7.728038454956132e-09,0.10304704243391039,92332,GABAergic_92332
23207,Glutamatergic,Clk1-210_ENSMUST00000148330,6.286208092063056e-25,7.1537048087677585e-22,0.5434114635990417,957,Glutamatergic_957
25275,Glutamatergic,Ank3-231_ENSMUST00000182884,1.2926975802045853e-11,1.471089846272818e-08,0.17756604457331226,10037,Glutamatergic_10037
27369,Glutamatergic,Srsf5-202_ENSMUST00000110351,3.8035864799292495e-25,4.328481414159486e-22,0.46463031717653314,19304,Glutamatergic_19304
27370,Glutamatergic,Srsf5-212_ENSMUST00000153056,1.3203416744070817e-12,1.5025488254752589e-09,0.16960863587087616,19304,Glutamatergic_19304
29618,Glutamatergic,Pfdn5-201_ENSMUST00000001335,1.6187376076347666e-09,1.8421233974883644e-06,0.11553305689036453,30443,Glutamatergic_30443
32830,Glutamatergic,Rtn3-201_ENSMUST00000025667,1.634798307280228e-07,0.00018604004736848996,0.10312227581265532,43737,Glutamatergic_43737
36076,Glutamatergic,Ttll7-201_ENSMUST00000037942,2.004369014066647e-23,2.280971938007844e-20,0.3742487040951876,57078,Glutamatergic_57078
37348,Glutamatergic,Rsrp1-204_ENSMUST00000148900,7.467661997925075e-20,8.498199353638735e-17,0.2658577116441885,62768,Glutamatergic_62768
39539,Glutamatergic,Ndufa9-201_ENSMUST00000088194,1.1860734973212582e-19,1.3497516399515917e-16,0.288480325933576,72379,Glutamatergic_72379
39646,Glutamatergic,Atp6v1f-201_ENSMUST00000004396,2.890408084931632e-09,3.2892844006521973e-06,0.07990994466976087,72661,Glutamatergic_72661
40687,Glutamatergic,Gapdh-201_ENSMUST00000073605,1.7737984232021026e-42,2.0185826056039927e-39,0.49163900921165027,76532,Glutamatergic_76532
41867,Glutamatergic,Ypel3-211_ENSMUST00000206143,1.2259375277625453e-06,0.0013951169065937765,0.08381867933351383,83130,Glutamatergic_83130
42612,Glutamatergic,Rad23a-202_ENSMUST00000109761,1.8466535672822744e-06,0.002101491759567228,0.19025985689626346,87642,Glutamatergic_87642
43012,Glutamatergic,Tecr-201_ENSMUST00000019382,5.181445489006901e-07,0.0005896484966489854,0.12111729446934483,89015,Glutamatergic_89015
43086,Glutamatergic,Ciapin1-210_ENSMUST00000162589,2.5384185968135344e-18,2.888720363173802e-15,0.11080822479667474,89213,Glutamatergic_89213
44519,Glutamatergic,Thyn1-203_ENSMUST00000213770,1.2747750919363395e-07,0.00014506940546235543,0.2032597123064046,95569,Glutamatergic_95569
44989,Glutamatergic,Ubl5-204_ENSMUST00000160682,2.4345421687585766e-07,0.000277050898804726,0.06868481281744376,97677,Glutamatergic_97677
45444,Glutamatergic,Morf4l2-202_ENSMUST00000080411,7.67130097758401e-20,8.729940512490603e-17,0.4837139629969691,100099,Glutamatergic_100099
47190,Low Quality,H3f3a-204_ENSMUST00000159789,3.0755872116165e-06,0.0033124074269109704,0.5463451549220393,4843,Low Quality_4843
47195,Low Quality,H3f3a-205_ENSMUST00000161308,3.6778510562491237e-06,0.003961045587580306,0.5527162505242629,4846,Low Quality_4846
49053,Low Quality,Sumo2-205_ENSMUST00000121185,7.809012608360181e-06,0.008410306579203915,0.6418912778896493,13987,Low Quality_13987
49951,Low Quality,Eif5a-205_ENSMUST00000108608,9.367601007096725e-07,0.0010088906284643174,0.8961675601775703,17587,Low Quality_17587
57278,Low Quality,Fkbp1a-201_ENSMUST00000044011,4.1711908720395945e-06,0.004492372569186643,0.4746296205236309,49918,Low Quality_49918
65159,Low Quality,Snrpa-203_ENSMUST00000126211,7.590185685991245e-06,0.00817462998381257,0.9593514191483266,84957,Low Quality_84957
76835,Non-Neuronal,Son-205_ENSMUST00000122302,0.00010405445434864409,0.006763539532661866,0.7198706367597989,36015,Non-Neuronal_36015
82820,Non-Neuronal,Prdx1-204_ENSMUST00000135573,0.00012616689593629294,0.00820084823585904,0.9226966167893451,61359,Non-Neuronal_61359
