,index,name,p_raw,p_corr,es
7,L2/3 IT,0610012G03Rik_ENSMUSG00000107002,4.250059328311839e-06,0.02734913177768668,0.07061481437625705
12,L2/3 IT,0610037L13Rik_ENSMUSG00000028608,1.7538451185315543e-25,1.1285993337750552e-21,0.31202066979224785
28,L2/3 IT,1110004F10Rik_ENSMUSG00000030663,8.166510127811036e-08,0.0005255149267246401,0.07708613363997685
31,L2/3 IT,1110008F13Rik_ENSMUSG00000027637,2.632879775877111e-07,0.0016942581357769209,0.09246597043722726
42,L2/3 IT,1110032A03Rik_ENSMUSG00000037971,1.06075487079687e-06,0.006825957593577858,0.15495640476484418
47,L2/3 IT,1110038F14Rik_ENSMUSG00000063236,1.1122148781184778e-29,7.157102740692405e-26,0.39904626063753357
49,L2/3 IT,1110051M20Rik_ENSMUSG00000040591,1.8945579943729127e-09,1.2191480693789693e-05,0.1413055818766713
52,L2/3 IT,1110059G10Rik_ENSMUSG00000032551,1.5934939238887743e-47,1.0254133400224264e-43,0.5612115502435295
53,L2/3 IT,1110065P20Rik_ENSMUSG00000078570,0.013616497110699288,1.0,0.05707105501857068
57,L2/3 IT,1190007I07Rik_ENSMUSG00000063320,0.0004011877151265706,1.0,0.17276778970287854
67,L2/3 IT,1500011K16Rik_ENSMUSG00000051319,1.2593977565230386e-20,8.104224563225753e-17,0.20299438488731436
93,L2/3 IT,1700001L19Rik_ENSMUSG00000021534,1.3443152537678894e-12,8.650668657996368e-09,0.34452624157325307
217,L2/3 IT,1700021F05Rik_ENSMUSG00000019797,0.3111192335155108,1.0,0.014389052967261229
243,L2/3 IT,1700025G04Rik_ENSMUSG00000032666,0.0005137496961165005,1.0,0.172146815904604
310,L2/3 IT,1700037H04Rik_ENSMUSG00000027327,0.0002048148763504965,1.0,0.12115383168171157
414,L2/3 IT,1700082M22Rik_ENSMUSG00000023737,2.5089452924602806e-14,1.6145062956981905e-10,0.21954546141464415
519,L2/3 IT,1810009A15Rik_ENSMUSG00000071653,0.01056422871285378,1.0,0.08083327080525748
531,L2/3 IT,1810022K09Rik_ENSMUSG00000078784,0.3369696957499905,1.0,0.007364743512729532
540,L2/3 IT,1810043G02Rik_ENSMUSG00000020284,2.314983263175395e-09,1.4896917298533665e-05,0.22668605887011006
546,L2/3 IT,1810058I24Rik_ENSMUSG00000073155,1.7874348902270532e-09,1.1502143518611088e-05,0.25593042123901943
562,L2/3 IT,2010107E04Rik_ENSMUSG00000021290,3.229078867654715e-09,2.077912251335809e-05,0.09481368310775284
564,L2/3 IT,2010109I03Rik_ENSMUSG00000063522,0.15854354681242416,1.0,0.03084000035092127
568,L2/3 IT,2010111I01Rik_ENSMUSG00000021458,5.972225356118672e-52,3.8431270166623655e-48,0.617319483509184
570,L2/3 IT,2010300C02Rik_ENSMUSG00000026090,1.2304516457311536e-81,7.917956340279974e-78,0.9591217257275342
575,L2/3 IT,2010315B03Rik_ENSMUSG00000074829,8.597503165448516e-05,0.553249328696612,0.26689246639902553
595,L2/3 IT,2210418O10Rik_ENSMUSG00000078894,0.0026294328370605534,1.0,0.13705207843341816
599,L2/3 IT,2300009A05Rik_ENSMUSG00000032403,1.5242206684918922e-10,9.808360001745326e-07,0.2557032830088808
611,L2/3 IT,2310011J03Rik_ENSMUSG00000020133,9.372198199885259e-17,6.031009541626165e-13,0.39402866779579204
618,L2/3 IT,2310022A10Rik_ENSMUSG00000049643,0.2059595346388376,1.0,0.04230456274478156
625,L2/3 IT,2310033P09Rik_ENSMUSG00000020441,7.465714699866897e-13,4.8041874093643485e-09,0.3533618378617742
629,L2/3 IT,2310035C23Rik_ENSMUSG00000026319,0.11875135453127704,1.0,0.06170433942097686
644,L2/3 IT,2310061I04Rik_ENSMUSG00000050705,2.1715831093721513e-05,0.13974137308809795,0.1200725941343519
655,L2/3 IT,2410002F23Rik_ENSMUSG00000045411,0.0003517926016256549,1.0,0.19399417982565392
662,L2/3 IT,2410018L13Rik_ENSMUSG00000073164,2.6729915130211364e-09,1.720070038629101e-05,0.3012009606488095
665,L2/3 IT,2410089E03Rik_ENSMUSG00000039801,0.001307668625546767,1.0,0.17938440246664644
669,L2/3 IT,2510002D24Rik_ENSMUSG00000071632,5.993674648244546e-05,0.38569296361453653,0.19017914123232416
689,L2/3 IT,2610044O15Rik8_ENSMUSG00000071302,9.4166513745983e-11,6.059615159554006e-07,0.28495663338633737
693,L2/3 IT,2610301B20Rik_ENSMUSG00000059482,1.2274557927759025e-23,7.898678026512932e-20,0.3641959726412125
697,L2/3 IT,2610507B11Rik_ENSMUSG00000010277,4.970921385607147e-24,3.198787911638199e-20,0.5556976343131472
698,L2/3 IT,2610524H06Rik_ENSMUSG00000092486,7.903851399729187e-23,5.086128375725732e-19,0.3552663444752424
708,L2/3 IT,2700062C07Rik_ENSMUSG00000024273,4.688945894984122e-06,0.030173366834222823,0.2191788326413815
713,L2/3 IT,2700097O09Rik_ENSMUSG00000062198,0.08061125854999256,1.0,0.10070449731302533
715,L2/3 IT,2810004N23Rik_ENSMUSG00000031984,0.08987918903289324,1.0,0.07917282341411847
716,L2/3 IT,2810006K23Rik_ENSMUSG00000047635,6.945199753744077e-06,0.044692360415343135,0.2980861933251333
721,L2/3 IT,2810403A07Rik_ENSMUSG00000028060,1.3483314357084544e-12,8.676512788783905e-09,0.3623055147039458
730,L2/3 IT,2810429I04Rik_ENSMUSG00000097709,1.171696061087351e-18,7.539864153097104e-15,0.3415991243262275
739,L2/3 IT,2810474O19Rik_ENSMUSG00000032712,0.23062723355232423,1.0,0.044013794860100486
746,L2/3 IT,2900055J20Rik_ENSMUSG00000071860,9.556046037547574e-181,6.1493156251618635e-177,1.2824557599781996
750,L2/3 IT,2900079G21Rik_ENSMUSG00000087038,0.0925377071901282,1.0,0.05631069274761158
759,L2/3 IT,3110002H16Rik_ENSMUSG00000024410,0.0249601862689142,1.0,0.14336741621898552
776,L2/3 IT,3110082I17Rik_ENSMUSG00000053553,2.14145769456476e-19,1.378028026452423e-15,0.521560811476049
819,L2/3 IT,4833420G17Rik_ENSMUSG00000062822,0.016419000928506466,1.0,0.10804156420093758
852,L2/3 IT,4921524J17Rik_ENSMUSG00000036934,0.009097710155339053,1.0,0.10542456663338262
870,L2/3 IT,4930402H24Rik_ENSMUSG00000027309,5.008156878935853e-05,0.3222748951595222,0.20592290005639136
928,L2/3 IT,4930431F10Rik_ENSMUSG00000111494,6.534576773925686e-14,4.205000154021179e-10,0.21315387027728372
946,L2/3 IT,4930435F18Rik_ENSMUSG00000114290,9.824758679397687e-09,6.322232210192411e-05,0.21086731637154799
995,L2/3 IT,4930453N24Rik_ENSMUSG00000059920,0.06302752603764213,1.0,0.09040523187220462
1117,L2/3 IT,4930519L02Rik_ENSMUSG00000105652,4.602600621786464e-12,2.9617735001195897e-08,0.23029389640339382
1135,L2/3 IT,4930524O07Rik_ENSMUSG00000090207,0.00014625810363676851,0.9411708969026054,0.22271073151234955
1159,L2/3 IT,4930533N22Rik_ENSMUSG00000108803,7.328374158899779e-09,4.715808771252008e-05,0.1649045483998779
1191,L2/3 IT,4930546K05Rik_ENSMUSG00000111767,0.006617489631497581,1.0,0.05259417113070386
1266,L2/3 IT,4930572G02Rik_ENSMUSG00000115725,0.0001432388660026614,0.9217421027271262,0.09051317811483961
1321,L2/3 IT,4931406C07Rik_ENSMUSG00000031938,0.01627842654921144,1.0,0.10824142362800648
1405,L2/3 IT,4933411E06Rik_ENSMUSG00000099608,4.863361958301774e-05,0.31295734201671915,0.12525954212659873
1441,L2/3 IT,4933427J07Rik_ENSMUSG00000087267,6.071147122765893e-13,3.9067831734998515e-09,0.2820291011929883
1452,L2/3 IT,4933431E20Rik_ENSMUSG00000086968,2.9114938568125596e-05,0.1873546296858882,0.22435791322450482
1465,L2/3 IT,4933434E20Rik_ENSMUSG00000027942,0.019143923537831033,1.0,0.07034033717510679
1482,L2/3 IT,5031425E22Rik_ENSMUSG00000073147,2.1560388745773e-20,1.3874110157904925e-16,0.570232465193766
1485,L2/3 IT,5031439G07Rik_ENSMUSG00000036046,4.5232434543182713e-14,2.9107071628538076e-10,0.5148655767140053
1498,L2/3 IT,5330417C22Rik_ENSMUSG00000040412,2.1260496122383567e-11,1.3681129254753826e-07,0.3789889307275067
1512,L2/3 IT,5430403G16Rik_ENSMUSG00000072763,0.006091253594482178,1.0,0.10181017010354676
1528,L2/3 IT,5730409E04Rik_ENSMUSG00000073755,7.057408817904482e-12,4.541442574321535e-08,0.4023924155352372
1532,L2/3 IT,5730455P16Rik_ENSMUSG00000057181,0.08228207308971298,1.0,0.0866757990413145
1534,L2/3 IT,5730480H06Rik_ENSMUSG00000029089,3.721841361922164e-09,2.3950049163969126e-05,0.2980372915517582
1560,L2/3 IT,6030458C11Rik_ENSMUSG00000022195,1.7746858481967336e-13,1.142010343314598e-09,0.4704129424254764
1620,L2/3 IT,9030624G23Rik_ENSMUSG00000073158,7.587453751032032e-17,4.882526488789113e-13,0.30035185435373446
1636,L2/3 IT,9130401M01Rik_ENSMUSG00000101892,9.97212998342481e-30,6.417065644333866e-26,0.425316778747189
1664,L2/3 IT,9330136K24Rik_ENSMUSG00000097781,9.840914619047621e-05,0.6332628557357144,0.1370903572328772
1667,L2/3 IT,9330159F19Rik_ENSMUSG00000004360,9.934887753588182e-10,6.393100269433995e-06,0.2785748293621051
1713,L2/3 IT,9530059O14Rik_ENSMUSG00000097736,1.0838546572065042e-51,6.974604719123854e-48,0.905433916874899
1714,L2/3 IT,9530068E07Rik_ENSMUSG00000036275,2.4205576069324235e-09,1.5576288200610144e-05,0.3299613726603807
1737,L2/3 IT,9930111J21Rik2_ENSMUSG00000069892,1.9846666519454117e-08,0.00012771329905268724,0.16699268666168132
1746,L2/3 IT,A130077B15Rik_ENSMUSG00000112095,0.0004222431826621521,1.0,0.10530789105706573
1751,L2/3 IT,A230006K03Rik_ENSMUSG00000068151,3.343347095119549e-96,2.1514438557094298e-92,0.9846147102365306
1755,L2/3 IT,A230050P20Rik_ENSMUSG00000038884,0.010071595289993475,1.0,0.08424560298265593
1758,L2/3 IT,A230065N10Rik_ENSMUSG00000092071,4.477494643873999e-06,0.028812678033329184,0.19105374888943571
