,index,name,p_raw,p_corr,es
2,Lamp5,0610009B22Rik_ENSMUSG00000007777,0.0006054131702729261,1.0,0.21004102843776806
5,Lamp5,0610010K14Rik_ENSMUSG00000020831,0.47999863948971055,1.0,0.0034700709000707874
12,Lamp5,0610037L13Rik_ENSMUSG00000028608,0.04784726120805033,1.0,0.11489465675609445
27,Lamp5,1110004E09Rik_ENSMUSG00000022972,5.786497634377824e-06,0.018777184823556038,0.36022945460383626
31,Lamp5,1110008F13Rik_ENSMUSG00000027637,5.702832517444316e-08,0.00018505691519106804,0.2816857379569697
33,Lamp5,1110008P14Rik_ENSMUSG00000039195,0.00032539376224575387,1.0,0.18626289895433068
42,Lamp5,1110032A03Rik_ENSMUSG00000037971,0.04880242499502045,1.0,0.12143155874254719
47,Lamp5,1110038F14Rik_ENSMUSG00000063236,1.2496149783477403e-05,0.04055000604738417,0.3342861935713035
49,Lamp5,1110051M20Rik_ENSMUSG00000040591,1.891455980672563e-05,0.06137774657282467,0.3108804831689387
52,Lamp5,1110059G10Rik_ENSMUSG00000032551,4.957317969421125e-07,0.0016086496810771552,0.3574116274704555
65,Lamp5,1500009L16Rik_ENSMUSG00000087651,1.0484862967890246e-45,3.402338033080385e-42,1.496199529017947
66,Lamp5,1500011B03Rik_ENSMUSG00000072694,0.10221062590770309,1.0,0.047842985258433224
519,Lamp5,1810009A15Rik_ENSMUSG00000071653,2.5139667902223762e-06,0.008157822234271611,0.2836575880507075
537,Lamp5,1810037I17Rik_ENSMUSG00000054091,2.060587324196748e-05,0.06686605867018447,0.145800659260078
584,Lamp5,2210016L21Rik_ENSMUSG00000029559,0.06788627582744426,1.0,0.06582547956930718
644,Lamp5,2310061I04Rik_ENSMUSG00000050705,0.007967410687449024,1.0,0.17686624109155957
689,Lamp5,2610044O15Rik8_ENSMUSG00000071302,0.0006999611216136946,1.0,0.2947934390834126
746,Lamp5,2900055J20Rik_ENSMUSG00000071860,1.0222463218042417e-170,3.3171893142547643e-167,1.7716473569618962
754,Lamp5,2900097C17Rik_ENSMUSG00000102869,0.000522366178528413,1.0,0.12215264344478793
