,index,name,p_raw,p_corr,es
2,Lamp5,0610009B22Rik_ENSMUSG00000007777,0.0004967953698095365,1.0,0.2315584176668386
12,Lamp5,0610037L13Rik_ENSMUSG00000028608,0.17668515601121632,1.0,0.06435316865107321
27,Lamp5,1110004E09Rik_ENSMUSG00000022972,7.632828110019611e-06,0.024768527217013638,0.3647711988893234
31,Lamp5,1110008F13Rik_ENSMUSG00000027637,4.8420445314509884e-08,0.00015712434504558457,0.29372789449358816
33,Lamp5,1110008P14Rik_ENSMUSG00000039195,0.0004615377720738392,1.0,0.19548324518548288
42,Lamp5,1110032A03Rik_ENSMUSG00000037971,0.04575795628664939,1.0,0.13513773297804388
47,Lamp5,1110038F14Rik_ENSMUSG00000063236,4.939560938436584e-06,0.016028875245226715,0.3690617844693138
49,Lamp5,1110051M20Rik_ENSMUSG00000040591,3.511096370468125e-06,0.011393507722169065,0.34159178854141903
52,Lamp5,1110059G10Rik_ENSMUSG00000032551,1.86874158681674e-07,0.0006064066449220322,0.4055623436833433
65,Lamp5,1500009L16Rik_ENSMUSG00000087651,1.7700169247514983e-45,5.743704920818612e-42,1.5617644456646573
66,Lamp5,1500011B03Rik_ENSMUSG00000072694,0.33207483796603154,1.0,0.016740642466865907
519,Lamp5,1810009A15Rik_ENSMUSG00000071653,2.3068603180809536e-06,0.0074857617321726945,0.3127453848277768
537,Lamp5,1810037I17Rik_ENSMUSG00000054091,7.3911339348090654e-06,0.023984229618455418,0.15055106731662882
584,Lamp5,2210016L21Rik_ENSMUSG00000029559,0.04865432696521188,1.0,0.06502091130965404
644,Lamp5,2310061I04Rik_ENSMUSG00000050705,0.0177828576907205,1.0,0.15494964624558083
656,Lamp5,2410004B18Rik_ENSMUSG00000036873,0.46168618588192145,1.0,0.008211724797079434
660,Lamp5,2410015M20Rik_ENSMUSG00000049760,0.4895427078972,1.0,0.0009119996526543162
689,Lamp5,2610044O15Rik8_ENSMUSG00000071302,0.0017064911056013355,1.0,0.26483052346975366
746,Lamp5,2900055J20Rik_ENSMUSG00000071860,8.573047231204555e-174,2.781953826525878e-170,1.8405912385968222
754,Lamp5,2900097C17Rik_ENSMUSG00000102869,0.00016948475463483587,0.5499780287900424,0.12481076329119745
852,Lamp5,4921524J17Rik_ENSMUSG00000036934,2.853025139346253e-17,9.258066577178591e-14,0.7061903836235954
1159,Lamp5,4930533N22Rik_ENSMUSG00000108803,0.49131020997549696,1.0,0.0009227896954766557
1354,Lamp5,4932438A13Rik_ENSMUSG00000037270,2.1214110835844772e-05,0.06883978966231628,0.2790740139382142
1502,Lamp5,5330434G04Rik_ENSMUSG00000087620,2.3609007006100494e-07,0.000766112277347961,0.38381789640358477
1567,Lamp5,6330403K07Rik_ENSMUSG00000018451,0.007635138281164211,1.0,0.19931353095112403
1578,Lamp5,6430548M08Rik_ENSMUSG00000031824,2.624241533362019e-16,8.515663775759751e-13,0.5155896105807298
1746,Lamp5,A130077B15Rik_ENSMUSG00000112095,0.00017268317609917867,0.5603569064418348,0.1576859693444248
1845,Lamp5,A630089N07Rik_ENSMUSG00000116673,0.012001110197558375,1.0,0.14615827751450094
1878,Lamp5,A830018L16Rik_ENSMUSG00000057715,5.840253214552001e-203,1.8951621681221243e-199,2.0072807106644794
1886,Lamp5,A830082K12Rik_ENSMUSG00000087143,4.5191904477513415e-12,1.4664773002953104e-08,0.606066152883106
2136,Lamp5,AC149090.1_ENSMUSG00000095041,1.7135487046249037e-06,0.005560465546507813,0.2855562708492405
2288,Lamp5,AI413582_ENSMUSG00000062753,4.0400380916851415e-09,1.3109923607518284e-05,0.24730692730144543
2299,Lamp5,AI593442_ENSMUSG00000078307,0.39261380870810425,1.0,0.017904913845683268
2305,Lamp5,AI838599_ENSMUSG00000085180,0.07166339725888611,1.0,0.06625486045609108
2333,Lamp5,AL731706.1_ENSMUSG00000115423,0.04250465856193441,1.0,0.12331266504197558
2386,Lamp5,Aak1_ENSMUSG00000057230,0.015863463446985283,1.0,0.10724022946906686
2387,Lamp5,Aamdc_ENSMUSG00000035642,4.771503395326512e-07,0.001548352851783453,0.4311608742547919
2393,Lamp5,Aars_ENSMUSG00000031960,0.13338925625034562,1.0,0.08621098412110717
2394,Lamp5,Aarsd1_ENSMUSG00000075528,0.44917906735401303,1.0,0.008465683541786007
2400,Lamp5,Abat_ENSMUSG00000057880,0.11987742614117836,1.0,0.07744056997531201
2433,Lamp5,Abcc5_ENSMUSG00000022822,0.216308208147641,1.0,0.06379170104953324
2442,Lamp5,Abcf1_ENSMUSG00000038762,0.001295155172354381,1.0,0.20653642498721458
2453,Lamp5,Abhd12_ENSMUSG00000032046,0.00025351448710744524,0.8226545106636598,0.21143063458494016
2456,Lamp5,Abhd14a_ENSMUSG00000042210,2.591437585425211e-31,8.40921496470481e-28,1.0789838545940573
2461,Lamp5,Abhd17a_ENSMUSG00000003346,0.0877235814323834,1.0,0.10076172243529591
2464,Lamp5,Abhd18_ENSMUSG00000037818,0.0033299484518881707,1.0,0.21753693090277482
2469,Lamp5,Abhd6_ENSMUSG00000025277,9.123766656760941e-49,2.9606622801189255e-45,1.2211160388535545
2470,Lamp5,Abhd8_ENSMUSG00000007950,0.002989424744094825,1.0,0.18540588711426054
2481,Lamp5,Abr_ENSMUSG00000017631,0.013993554099945262,1.0,0.14973236969211756
2498,Lamp5,Acad9_ENSMUSG00000027710,7.791253039096236e-06,0.025282616111867287,0.27193114140723473
2502,Lamp5,Acadsb_ENSMUSG00000030861,2.197972854044611e-05,0.07132421911374763,0.40878940635059813
2506,Lamp5,Acap2_ENSMUSG00000049076,5.389950808843188e-31,1.7490390374696145e-27,0.8934448183676051
2508,Lamp5,Acat1_ENSMUSG00000032047,1.3514903207383056e-11,4.3855860907958016e-08,0.382990661829294
2513,Lamp5,Acbd5_ENSMUSG00000026781,1.9224988136237542e-05,0.06238508650209083,0.3332622331620523
2518,Lamp5,Acd_ENSMUSG00000038000,0.0987496527567823,1.0,0.11573836839862262
2526,Lamp5,Acin1_ENSMUSG00000022185,0.011461275391851133,1.0,0.15109650477928582
2536,Lamp5,Aco2_ENSMUSG00000022477,0.00854403253991546,1.0,0.16261715244938113
2541,Lamp5,Acot13_ENSMUSG00000006717,0.0009384310078119679,1.0,0.09630151125439923
2585,Lamp5,Actb_ENSMUSG00000029580,0.00014459261872496983,0.4692030477625271,0.10542934246067404
2588,Lamp5,Actg1_ENSMUSG00000062825,1.273895281823871e-05,0.04133790189518461,0.1464679981776058
2593,Lamp5,Actl6b_ENSMUSG00000029712,2.1829135309023917e-09,7.083554407778261e-06,0.39229782860530626
2601,Lamp5,Actr10_ENSMUSG00000021076,7.311153332770222e-08,0.00023724692564839372,0.26246109904407255
2609,Lamp5,Actr8_ENSMUSG00000015971,0.002744559306244815,1.0,0.2520632928487707
2621,Lamp5,Acyp1_ENSMUSG00000008822,5.503461695900564e-07,0.001785873320319733,0.33121250165241545
2622,Lamp5,Acyp2_ENSMUSG00000060923,0.01626745900143706,1.0,0.14776998610175873
2638,Lamp5,Adam22_ENSMUSG00000040537,0.004451807346987789,1.0,0.16846543072183762
2639,Lamp5,Adam23_ENSMUSG00000025964,1.3839242399663916e-18,4.490834158690941e-15,0.5760119149117728
2690,Lamp5,Adarb2_ENSMUSG00000052551,2.4811380131149625e-102,8.051292852558053e-99,1.9556019315115334
2698,Lamp5,Adcy1_ENSMUSG00000020431,2.0566429432902458e-81,6.673806350976847e-78,1.1718021672725945
2709,Lamp5,Add1_ENSMUSG00000029106,0.08538872083766309,1.0,0.10990279287244187
2716,Lamp5,Adgrb1_ENSMUSG00000034730,7.247754058766592e-18,2.351896192069759e-14,0.5306828501867262
2742,Lamp5,Adh5_ENSMUSG00000028138,6.490278921207381e-10,2.106095509931795e-06,0.45277195423840055
2767,Lamp5,Adra1a_ENSMUSG00000045875,1.0034994574413397e-84,3.256355739397147e-81,1.6332010855903578
2776,Lamp5,Adrm1_ENSMUSG00000039041,0.19745763735190103,1.0,0.04269454538940565
2785,Lamp5,Afap1_ENSMUSG00000029094,1.0042684366386762e-39,3.2588510768925046e-36,0.988472276825501
2792,Lamp5,Aff4_ENSMUSG00000049470,1.9435620067111984e-05,0.0630685871177784,0.3400134737938072
2813,Lamp5,Agk_ENSMUSG00000029916,4.8953543100036285e-09,1.5885424735961775e-05,0.47286905759748477
2824,Lamp5,Agpat4_ENSMUSG00000023827,1.7211220587935996e-78,5.585041080785231e-75,1.6782687218117776
2825,Lamp5,Agpat5_ENSMUSG00000031467,0.04110988830731072,1.0,0.13567624265183298
2832,Lamp5,Agtpbp1_ENSMUSG00000021557,1.5102957062535206e-07,0.0004900909566792675,0.3331149014025856
2849,Lamp5,Ahsa1_ENSMUSG00000021037,0.1933820395909352,1.0,0.04188305987564256
2861,Lamp5,Aimp1_ENSMUSG00000028029,0.18152449358501943,1.0,0.05401007078930142
2862,Lamp5,Aimp2_ENSMUSG00000029610,0.29679288509682267,1.0,0.045603930565093265
2874,Lamp5,Ak6_ENSMUSG00000078941,2.697116828760947e-10,8.752144109329274e-07,0.22573042756108386
2880,Lamp5,Akap11_ENSMUSG00000022016,0.026820771303876775,1.0,0.11904460542413986
2889,Lamp5,Akap5_ENSMUSG00000021057,1.101583436384325e-37,3.574638251067134e-34,0.9118508202824624
2890,Lamp5,Akap6_ENSMUSG00000061603,0.049408848042146764,1.0,0.09762607609645801
2893,Lamp5,Akap8l_ENSMUSG00000002625,2.3553773275447873e-17,7.643199427882834e-14,0.5233040568699545
2897,Lamp5,Akirin2_ENSMUSG00000028291,0.03958655174633545,1.0,0.14497786926349177
2923,Lamp5,Aktip_ENSMUSG00000031667,0.026780352679980076,1.0,0.10209220776635952
2957,Lamp5,Alg11_ENSMUSG00000063362,0.02923757743831207,1.0,0.12589092552801429
2962,Lamp5,Alg2_ENSMUSG00000039740,0.012487698595531616,1.0,0.15931764348557298
2977,Lamp5,Alkbh6_ENSMUSG00000042831,0.17932675261475262,1.0,0.05340800158971426
2979,Lamp5,Alkbh8_ENSMUSG00000025899,0.034281321062247544,1.0,0.1528612192350245
3003,Lamp5,Alyref_ENSMUSG00000025134,0.0012324734811434241,1.0,0.20824668068479824
