,index,name,p_raw,p_corr,es
7,L2/3 IT,0610012G03Rik_ENSMUSG00000107002,3.1718613034435403e-06,0.020410927487659183,0.06718640358391781
12,L2/3 IT,0610037L13Rik_ENSMUSG00000028608,1.018743153309075e-14,6.555612191543897e-11,0.1905576855967297
28,L2/3 IT,1110004F10Rik_ENSMUSG00000030663,8.704604039481689e-08,0.0005601412699406467,0.0748058059977108
31,L2/3 IT,1110008F13Rik_ENSMUSG00000027637,2.1921204725049502e-07,0.0014106295240569355,0.09129578923073822
42,L2/3 IT,1110032A03Rik_ENSMUSG00000037971,9.074065101933354e-05,0.5839160893094113,0.13300275486254343
47,L2/3 IT,1110038F14Rik_ENSMUSG00000063236,7.319119897612757e-31,4.709853654113809e-27,0.41981166930559866
49,L2/3 IT,1110051M20Rik_ENSMUSG00000040591,5.119309645689146e-10,3.294275757000965e-06,0.15469161222001748
52,L2/3 IT,1110059G10Rik_ENSMUSG00000032551,2.608906351595526e-45,1.678831237251721e-41,0.6036384474609928
53,L2/3 IT,1110065P20Rik_ENSMUSG00000078570,0.009449466520977246,1.0,0.06240016015870786
57,L2/3 IT,1190007I07Rik_ENSMUSG00000063320,5.30125371872696e-05,0.3411356768000799,0.2343070976499546
67,L2/3 IT,1500011K16Rik_ENSMUSG00000051319,1.6469165908502175e-22,1.059790826212115e-18,0.2017292319494972
93,L2/3 IT,1700001L19Rik_ENSMUSG00000021534,2.0218369893049775e-11,1.301052102617753e-07,0.3325763627325884
217,L2/3 IT,1700021F05Rik_ENSMUSG00000019797,0.23358013409656803,1.0,0.021827939609350366
243,L2/3 IT,1700025G04Rik_ENSMUSG00000032666,5.912329689796702e-06,0.038045841553841775,0.26323276722557454
310,L2/3 IT,1700037H04Rik_ENSMUSG00000027327,0.00013744550672778957,0.8844618357933258,0.12628989672967972
414,L2/3 IT,1700082M22Rik_ENSMUSG00000023737,2.5547867002034717e-14,1.644005241580934e-10,0.20587736767922094
519,L2/3 IT,1810009A15Rik_ENSMUSG00000071653,0.004931649212434888,1.0,0.09638161484100616
531,L2/3 IT,1810022K09Rik_ENSMUSG00000078784,0.15818495735841323,1.0,0.015630344673078334
540,L2/3 IT,1810043G02Rik_ENSMUSG00000020284,2.5017338236418357e-07,0.0016098657155135213,0.19672737882470326
546,L2/3 IT,1810058I24Rik_ENSMUSG00000073155,8.616676532886289e-11,5.544831348912327e-07,0.29339152170192584
562,L2/3 IT,2010107E04Rik_ENSMUSG00000021290,1.7136068932277616e-11,1.1027060357920646e-07,0.09348422330127804
568,L2/3 IT,2010111I01Rik_ENSMUSG00000021458,3.005805176128851e-49,1.9342356308389157e-45,0.5819996686597575
570,L2/3 IT,2010300C02Rik_ENSMUSG00000026090,1.7916583372472028e-79,1.152932140018575e-75,0.8731224586737238
575,L2/3 IT,2010315B03Rik_ENSMUSG00000074829,0.00039842433564048034,1.0,0.22981740285774555
595,L2/3 IT,2210418O10Rik_ENSMUSG00000078894,0.012226510662669098,1.0,0.11632612174381873
599,L2/3 IT,2300009A05Rik_ENSMUSG00000032403,1.6805189341499442e-10,1.081413934125489e-06,0.2802399246816485
611,L2/3 IT,2310011J03Rik_ENSMUSG00000020133,7.014627063696055e-16,4.513912515488412e-12,0.37985746940679377
618,L2/3 IT,2310022A10Rik_ENSMUSG00000049643,0.2049577554004497,1.0,0.04142554322284564
625,L2/3 IT,2310033P09Rik_ENSMUSG00000020441,9.02782404015891e-13,5.809404769842258e-09,0.36118515716735944
629,L2/3 IT,2310035C23Rik_ENSMUSG00000026319,0.04195085219917051,1.0,0.07423703223563649
644,L2/3 IT,2310061I04Rik_ENSMUSG00000050705,0.0016975221521640137,1.0,0.0837604250194266
655,L2/3 IT,2410002F23Rik_ENSMUSG00000045411,0.0010677266117185753,1.0,0.1674566274830469
662,L2/3 IT,2410018L13Rik_ENSMUSG00000073164,1.494507255899971e-08,9.617154191716313e-05,0.2745757787864309
665,L2/3 IT,2410089E03Rik_ENSMUSG00000039801,0.0006532421358897661,1.0,0.14721572759372292
669,L2/3 IT,2510002D24Rik_ENSMUSG00000071632,0.00017220010215343871,1.0,0.186074480483839
689,L2/3 IT,2610044O15Rik8_ENSMUSG00000071302,2.2650871494265068e-10,1.4575835806559571e-06,0.2696965095814208
693,L2/3 IT,2610301B20Rik_ENSMUSG00000059482,5.449119581762877e-22,3.506508450864411e-18,0.3297564529930428
697,L2/3 IT,2610507B11Rik_ENSMUSG00000010277,8.541581985956715e-18,5.4965080079631464e-14,0.43167236516553675
698,L2/3 IT,2610524H06Rik_ENSMUSG00000092486,1.1278460406039208e-23,7.257689271286231e-20,0.36894644923759845
708,L2/3 IT,2700062C07Rik_ENSMUSG00000024273,4.227238177283086e-06,0.027202277670816656,0.23010733867741884
713,L2/3 IT,2700097O09Rik_ENSMUSG00000062198,0.10455702025709199,1.0,0.09823775065119955
715,L2/3 IT,2810004N23Rik_ENSMUSG00000031984,0.17348217651382358,1.0,0.0509101654729216
716,L2/3 IT,2810006K23Rik_ENSMUSG00000047635,1.1537882146037243e-05,0.07424627160974966,0.28350369962591726
721,L2/3 IT,2810403A07Rik_ENSMUSG00000028060,6.079943986303192e-11,3.912443955186104e-07,0.3049684980950462
730,L2/3 IT,2810429I04Rik_ENSMUSG00000097709,5.18031842287551e-12,3.3335349051203905e-08,0.2932706885658498
739,L2/3 IT,2810474O19Rik_ENSMUSG00000032712,0.331076095156921,1.0,0.023421100955175023
746,L2/3 IT,2900055J20Rik_ENSMUSG00000071860,2.850906987532129e-194,1.8345586464769251e-190,1.3782101897294927
750,L2/3 IT,2900079G21Rik_ENSMUSG00000087038,0.06557046473721963,1.0,0.06873552621805823
759,L2/3 IT,3110002H16Rik_ENSMUSG00000024410,0.04241899567380106,1.0,0.12033875922563153
