,index,transcript_name,p_raw,p_bonferroni
0,Astro,AC130815.2-201_ENSMUST00000232175,9.268318043763592e-13,3.205540478616076e-08
1,Astro,Mc1r-201_ENSMUST00000098324,4.2758742899921e-12,1.4788538819366679e-07
2,Endo,Icam2-201_ENSMUST00000001055,0.0,0.0
3,Endo,Egfl7-202_ENSMUST00000102907,0.0,0.0
4,Endo,Flt1-203_ENSMUST00000110529,0.0,0.0
5,Endo,Flt1-202_ENSMUST00000031653,0.0,0.0
6,Endo,Slco1c1-206_ENSMUST00000205214,0.0,0.0
7,Endo,Slco1c1-202_ENSMUST00000135562,0.0,0.0
8,Endo,Slco1a4-202_ENSMUST00000163678,0.0,0.0
9,Endo,Slco1a4-203_ENSMUST00000165990,0.0,0.0
10,Endo,Ly6c1-203_ENSMUST00000185200,0.0,0.0
11,Endo,Pglyrp1-201_ENSMUST00000032573,0.0,0.0
12,Endo,Plscr4-201_ENSMUST00000034941,0.0,0.0
13,Endo,Egfl7-201_ENSMUST00000100290,0.0,0.0
14,Endo,Cldn5-201_ENSMUST00000043577,0.0,0.0
15,Endo,S1pr1-201_ENSMUST00000055676,0.0,0.0
16,Endo,Emcn-201_ENSMUST00000119475,0.0,0.0
17,Endo,Emcn-202_ENSMUST00000122064,0.0,0.0
18,Endo,Selenop-203_ENSMUST00000159216,0.0,0.0
19,Endo,S100a16-201_ENSMUST00000098910,0.0,0.0
20,Endo,Ly6a-201_ENSMUST00000023248,0.0,0.0
21,Endo,Ly6a-205_ENSMUST00000189068,0.0,0.0
22,Endo,Ly6a-204_ENSMUST00000187994,0.0,0.0
23,Endo,Ly6c1-201_ENSMUST00000065408,0.0,0.0
24,Endo,Ly6c1-202_ENSMUST00000179762,0.0,0.0
25,Endo,Ccdc141-204_ENSMUST00000131660,0.0,0.0
26,Endo,Wfdc1-201_ENSMUST00000024107,0.0,0.0
27,Endo,Slco1a4-204_ENSMUST00000204676,0.0,0.0
28,Endo,Fli1-201_ENSMUST00000016231,0.0,0.0
29,Endo,Pltp-204_ENSMUST00000128110,0.0,0.0
30,Endo,Srgn-201_ENSMUST00000020271,0.0,0.0
31,Endo,Cd93-201_ENSMUST00000099269,1.992020419969672e-271,6.889601824507108e-267
32,Endo,Ccdc141-201_ENSMUST00000028406,1.8963585045970293e-261,6.558745523999286e-257
33,Endo,Klf4-201_ENSMUST00000107619,1.0888521860764094e-218,3.76590417076387e-214
34,Endo,Selenop-201_ENSMUST00000082424,2.697747777896355e-172,9.330430464632333e-168
35,Endo,Gm43352-201_ENSMUST00000196419,2.759351260190972e-157,9.543492268496495e-153
36,Endo,Klf2-201_ENSMUST00000067912,2.286449913371851e-155,7.907915670387884e-151
37,Endo,Sox18-201_ENSMUST00000054491,4.3502069266012306e-145,1.5045625676343016e-140
38,Endo,Podxl-201_ENSMUST00000026698,1.9093287995785409e-143,6.603604586222341e-139
39,Endo,S100a13-201_ENSMUST00000048138,2.537247700748347e-140,8.775324897808233e-136
40,Endo,Id1-201_ENSMUST00000038368,7.64505495101866e-130,2.644118705359314e-125
41,Endo,Fxyd5-203_ENSMUST00000159924,1.637231280698637e-95,5.662528107424306e-91
42,Endo,Fxyd5-201_ENSMUST00000009831,9.126386568941018e-88,3.1564520587339406e-83
43,Endo,Sgms1-212_ENSMUST00000151289,4.543955355490686e-78,1.5715723992500087e-73
44,Endo,Apobec3-208_ENSMUST00000175849,5.844730306357287e-77,2.0214584237567315e-72
45,Endo,Bst2-201_ENSMUST00000051672,1.6725027800843063e-74,5.784518115199582e-70
46,Endo,BC028528-201_ENSMUST00000036360,6.633734736701053e-66,2.294343496035426e-61
47,Endo,H2-K1-205_ENSMUST00000172912,7.7273983785074e-63,2.6725980031905695e-58
48,Endo,Pllp-203_ENSMUST00000213043,1.367816744691252e-60,4.730730993189165e-56
49,Endo,Pllp-202_ENSMUST00000212555,4.2730269479144997e-60,1.4778691002057089e-55
50,Endo,Esam-201_ENSMUST00000002011,1.0986105651528295e-57,3.799654500637576e-53
51,Endo,Map3k1-201_ENSMUST00000109267,1.766637646402881e-54,6.110092963849004e-50
52,Endo,Pllp-201_ENSMUST00000034227,1.0583741296992552e-52,3.660492764977844e-48
53,Endo,Clic4-201_ENSMUST00000037099,6.99886389123219e-48,2.420627065421565e-43
54,Endo,Bcam-201_ENSMUST00000003061,8.703465478931405e-46,3.0101805705432154e-41
55,Endo,Ramp2-207_ENSMUST00000149585,1.364836735845556e-45,4.72042433459544e-41
56,Endo,Arhgap31-201_ENSMUST00000023487,5.271682590231054e-44,1.8232641406573124e-39
57,Endo,Ramp2-201_ENSMUST00000107282,1.6488222336024039e-43,5.702616577137274e-39
58,Endo,Bsg-203_ENSMUST00000178383,4.1175453202747095e-43,1.424094224470211e-38
59,Endo,Ltbp4-205_ENSMUST00000121175,3.5589333254085316e-36,1.2308926799257948e-31
60,Endo,Ramp2-205_ENSMUST00000138229,7.649112575664813e-31,2.645522075419432e-26
61,Endo,Slc2a1-204_ENSMUST00000174372,1.5531719212832726e-30,5.371800406950327e-26
62,Endo,Qk-201_ENSMUST00000042296,3.1769498276578317e-28,1.0987798673937377e-23
63,Endo,Cd80-202_ENSMUST00000231716,4.374355210609186e-28,1.512914493141293e-23
64,Endo,Itm2a-201_ENSMUST00000033591,4.859141203591565e-25,1.6805825766741788e-20
