,index,transcript_name,p_raw,p_bonferroni
0,Astro,,,
1,Endo,Cd200-210_ENSMUST00000172091,4.24930841038371e-22,1.46966580681531e-17
2,Endo,Dnaja1-206_ENSMUST00000137476,7.842284197955536e-15,2.712332412704902e-10
3,Endo,Ybx3-202_ENSMUST00000087865,2.8006000656860163e-11,9.686155387181655e-07
4,Endo,Iqgap1-201_ENSMUST00000167377,4.374035697888384e-10,1.5128039864716766e-05
5,Endo,B4galt3-204_ENSMUST00000125939,4.397889820520844e-09,0.0001521054173325339
6,Endo,Klf10-204_ENSMUST00000228416,1.1856224298664325e-07,0.0041005937359360435
7,Endo,Luzp1-202_ENSMUST00000063021,2.3200811373004733e-07,0.008024232621467417
8,L2/3 IT,Atp2b4-207_ENSMUST00000165602,8.304332770135084e-97,2.8721365318789202e-92
9,L2/3 IT,Tango2-213_ENSMUST00000231372,1.425361225316615e-54,4.929754333880045e-50
10,L2/3 IT,Idh3g-208_ENSMUST00000148419,2.980133385203444e-48,1.030708932606463e-43
11,L2/3 IT,Hadhb-206_ENSMUST00000127364,1.608466859505778e-41,5.563043480286683e-37
12,L2/3 IT,0610037L13Rik-210_ENSMUST00000132417,4.12230984014289e-39,1.4257420813118199e-34
13,L2/3 IT,Idh3g-206_ENSMUST00000142707,1.4019414682018214e-32,4.84875476192282e-28
14,L2/3 IT,Ckb-204_ENSMUST00000222705,2.7786383003814073e-32,9.610198425699136e-28
15,L2/3 IT,Atp5d-203_ENSMUST00000105367,7.00278847659206e-32,2.4219844225141298e-27
16,L2/3 IT,Tnik-201_ENSMUST00000159236,1.2714766879184306e-27,4.397529272834684e-23
17,L2/3 IT,Stk16-212_ENSMUST00000186492,3.241770968332564e-27,1.1211989071075007e-22
18,L2/3 IT,Zfr-201_ENSMUST00000122941,6.925241721843597e-27,2.3951641019168265e-22
19,L2/3 IT,Caly-201_ENSMUST00000026541,8.356565005128339e-26,2.8902015726736875e-21
20,L2/3 IT,Hmgn2-210_ENSMUST00000137456,1.4713789535179488e-23,5.088911248637178e-19
21,L2/3 IT,Idh3g-209_ENSMUST00000156299,3.585047964350108e-23,1.2399246889501284e-18
22,L2/3 IT,Smim14-207_ENSMUST00000149167,8.259454660120831e-23,2.8566149887493904e-18
23,L2/3 IT,Hspd1-202_ENSMUST00000127861,1.2922658651157226e-20,4.469430721089238e-16
24,L2/3 IT,Sumo3-206_ENSMUST00000141228,1.7830494648554396e-20,6.166854879149024e-16
25,L2/3 IT,Sumo3-201_ENSMUST00000020501,4.9028851242202124e-20,1.6957118490628026e-15
26,L2/3 IT,Eif5-205_ENSMUST00000221101,1.1063638011819992e-19,3.8264698427680625e-15
27,L2/3 IT,Mff-209_ENSMUST00000160972,1.5906835121319403e-19,5.5015379950595285e-15
28,L2/3 IT,Dcbld2-203_ENSMUST00000134324,3.5559426872591216e-19,1.2298583378154398e-14
29,L2/3 IT,Nipal2-204_ENSMUST00000227336,4.989093208244899e-19,1.7255277770035808e-14
30,L2/3 IT,Srek1-201_ENSMUST00000074616,1.186538685234646e-18,4.103762696752547e-14
31,L2/3 IT,Aldoa-203_ENSMUST00000106348,2.3270803724110192e-18,8.04844017602075e-14
32,L2/3 IT,Zmym6-203_ENSMUST00000125160,3.6556723697167334e-18,1.2643508457902294e-13
33,L2/3 IT,Idh3g-202_ENSMUST00000129070,6.244196809776238e-18,2.1596179086292095e-13
34,L2/3 IT,Tmem33-201_ENSMUST00000037918,9.923528300183678e-18,3.432151497901527e-13
35,L2/3 IT,Cul5-209_ENSMUST00000166367,1.0241994840558473e-17,3.5422963355555536e-13
36,L2/3 IT,Hook2-204_ENSMUST00000210326,7.457410176637561e-17,2.579219883691867e-12
37,L2/3 IT,Ttc14-201_ENSMUST00000099153,7.997654263164214e-17,2.766068703457975e-12
38,L2/3 IT,Kif3a-201_ENSMUST00000057330,8.600295279596894e-17,2.9744981254013817e-12
39,L2/3 IT,Actb-201_ENSMUST00000100497,2.1809861123447725e-16,7.54315856815563e-12
40,L2/3 IT,Matr3-201_ENSMUST00000166793,2.51534485889998e-16,8.69957172899147e-12
41,L2/3 IT,Cdv3-202_ENSMUST00000072249,2.546005637115487e-16,8.805615096527622e-12
42,L2/3 IT,Dtymk-202_ENSMUST00000112890,3.2176920603890254e-16,1.1128709760061484e-11
43,L2/3 IT,Txndc9-201_ENSMUST00000162031,3.445169691141541e-16,1.1915463893782133e-11
44,L2/3 IT,Zufsp-207_ENSMUST00000219457,4.350590610099316e-16,1.5046952684089495e-11
45,L2/3 IT,Fam49b-207_ENSMUST00000228226,5.10477590151946e-16,1.7655377932995202e-11
46,L2/3 IT,Traf5-203_ENSMUST00000193355,5.287975187033229e-16,1.8288990981873127e-11
47,L2/3 IT,Rtn1-201_ENSMUST00000021497,7.573791676617648e-16,2.6194715892749798e-11
48,L2/3 IT,Pign-211_ENSMUST00000190945,1.1063458939489999e-15,3.826407908812011e-11
49,L2/3 IT,Ube3a-205_ENSMUST00000200949,2.782238957294341e-15,9.622651657698208e-11
50,L2/3 IT,Chtop-202_ENSMUST00000049937,3.493592685594763e-15,1.2082939662398046e-10
51,L2/3 IT,Xpnpep1-202_ENSMUST00000182500,1.0281583696643077e-14,3.5559885373209746e-10
52,L2/3 IT,Prdx5-203_ENSMUST00000149261,1.5775485983056254e-14,5.456109582099836e-10
53,L2/3 IT,Srpk1-204_ENSMUST00000130643,3.650439088262308e-14,1.262540863066402e-09
54,L2/3 IT,4933434E20Rik-209_ENSMUST00000162114,4.2330614608780985e-14,1.464046636859299e-09
55,L2/3 IT,Adk-207_ENSMUST00000224069,5.289320347574952e-14,1.829364335412273e-09
56,L2/3 IT,Metap2-210_ENSMUST00000181217,7.43248593321063e-14,2.5705995848602283e-09
57,L2/3 IT,Gt(ROSA)26Sor-203_ENSMUST00000159544,1.4730315628589594e-13,5.094626963303997e-09
58,L2/3 IT,Prkacb-203_ENSMUST00000106137,1.5338497435039268e-13,5.304972722882681e-09
59,L2/3 IT,Chpt1-202_ENSMUST00000073783,2.0762033475792136e-13,7.180756897937468e-09
60,L2/3 IT,Trappc4-202_ENSMUST00000213747,2.1072838881295038e-13,7.288252055484702e-09
61,L2/3 IT,Timm9-211_ENSMUST00000223544,2.473682425806821e-13,8.555478037895471e-09
62,L2/3 IT,Pikfyve-205_ENSMUST00000186404,3.7619600003831124e-13,1.3011114857325033e-08
63,L2/3 IT,Fam49b-201_ENSMUST00000063838,3.7805039839035764e-13,1.3075251078728909e-08
64,L2/3 IT,Cuta-202_ENSMUST00000114935,4.285151117549553e-13,1.4820623655156885e-08
65,L2/3 IT,1110004F10Rik-202_ENSMUST00000106607,4.381229320095704e-13,1.5152919726483e-08
66,L2/3 IT,Rab11a-206_ENSMUST00000169058,4.637277782852336e-13,1.603848893977309e-08
67,L2/3 IT,Ogt-204_ENSMUST00000150161,5.286824065683862e-13,1.8285009713574205e-08
68,L2/3 IT,D030068K23Rik-203_ENSMUST00000181098,5.341528655681156e-13,1.8474211008538848e-08
