,index,name,p_raw,p_corr,es,index_name
212,L2/3 IT Cdh13 Sla,Rpl7-201_ENSMUST00000058437,7.03842951442251e-07,0.0037578175177501783,0.17244959941809945,L2/3 IT Cdh13 Sla_Rpl7
634,L2/3 IT Cdh13 Sla,Pantr1-209_ENSMUST00000181725,1.647332286388885e-08,8.795107077030258e-05,0.6364098526706892,L2/3 IT Cdh13 Sla_Pantr1
1291,L2/3 IT Cdh13 Sla,Rpl37a-201_ENSMUST00000059980,2.1778515122589884e-12,1.1627549223950739e-08,0.18118825773716551,L2/3 IT Cdh13 Sla_Rpl37a
1305,L2/3 IT Cdh13 Sla,Arpc2-203_ENSMUST00000113820,1.8862969185120008e-12,1.0070939247935572e-08,0.22869173502894302,L2/3 IT Cdh13 Sla_Arpc2
1615,L2/3 IT Cdh13 Sla,Mff-209_ENSMUST00000160972,7.303131682733056e-10,3.899142005411179e-06,0.4663749373947992,L2/3 IT Cdh13 Sla_Mff
1712,L2/3 IT Cdh13 Sla,Ptma-201_ENSMUST00000045897,1.565613624827776e-21,8.358811142955496e-18,0.3405347560571377,L2/3 IT Cdh13 Sla_Ptma
1836,L2/3 IT Cdh13 Sla,Ramp1-201_ENSMUST00000097648,1.2665498453844288e-06,0.006762109624507465,0.22641889187856634,L2/3 IT Cdh13 Sla_Ramp1
1938,L2/3 IT Cdh13 Sla,Ppp1r7-201_ENSMUST00000027494,4.612293717598812e-07,0.0024625036158260056,0.2464516971386277,L2/3 IT Cdh13 Sla_Ppp1r7
2195,L2/3 IT Cdh13 Sla,Lypd1-202_ENSMUST00000159417,4.632342880578116e-08,0.0002473207863940656,0.5147001400335307,L2/3 IT Cdh13 Sla_Lypd1
2515,L2/3 IT Cdh13 Sla,Nav1-201_ENSMUST00000040599,1.2435544620751257e-07,0.0006639337273019096,0.49622864966279656,L2/3 IT Cdh13 Sla_Nav1
2707,L2/3 IT Cdh13 Sla,Arpc5-201_ENSMUST00000077755,5.225648665661242e-15,2.789973822596537e-11,0.3740955961934933,L2/3 IT Cdh13 Sla_Arpc5
2762,L2/3 IT Cdh13 Sla,Cacna1e-203_ENSMUST00000187541,5.036328865075418e-10,2.688895981063766e-06,0.3699196629817121,L2/3 IT Cdh13 Sla_Cacna1e
3066,L2/3 IT Cdh13 Sla,Mpc2-201_ENSMUST00000027853,8.229351079411405e-09,4.393650541297749e-05,0.1615854672499175,L2/3 IT Cdh13 Sla_Mpc2
3069,L2/3 IT Cdh13 Sla,Mpc2-203_ENSMUST00000138999,2.9598449198404266e-07,0.0015802612027028039,0.16666341816614771,L2/3 IT Cdh13 Sla_Mpc2
3306,L2/3 IT Cdh13 Sla,Pea15a-201_ENSMUST00000013842,6.154521436444079e-37,3.2858989949174935e-33,0.6607806957967322,L2/3 IT Cdh13 Sla_Pea15a
