,index,name,p_raw,p_corr,es
87854,Glutamatergic,Anapc11-201_ENSMUST00000026128,0.0,2.2250738585072014e-308,-0.9221845390845189
23062,GABAergic,Zc3h15-201_ENSMUST00000081591,3.1812778717883486e-78,7.460096609343678e-75,-0.6738674256878667
17824,GABAergic,Napg-201_ENSMUST00000025474,1.1973101593859197e-55,2.8076923237599816e-52,-0.5935999206577933
34740,GABAergic,Ppib-202_ENSMUST00000213785,2.7946205000302464e-54,6.553385072570928e-51,-0.5561819315697032
30168,GABAergic,Grin2b-205_ENSMUST00000152012,4.487968653073073e-74,1.0524286491456355e-70,-0.551319521977883
87855,Glutamatergic,Anapc11-204_ENSMUST00000148114,7.575102428593865e-77,3.731495456325338e-73,-0.5257706892064029
103266,Glutamatergic,Arcn1-205_ENSMUST00000217194,1.8757805216385733e-48,9.240094849591612e-45,-0.5087352510961745
20466,GABAergic,Sf3b1-201_ENSMUST00000027127,4.712119910939693e-44,1.104992119115358e-40,-0.48637595776206766
14330,GABAergic,Mrpl13-204_ENSMUST00000170135,1.0082517273314638e-125,2.3643503005922828e-122,-0.4824334169437512
17346,GABAergic,Celf4-202_ENSMUST00000115816,7.992510401307958e-55,1.874243689106716e-51,-0.48007698844580604
110232,Glutamatergic,Rsrp1-201_ENSMUST00000078084,2.181836645228789e-48,1.0747727314397014e-44,-0.4773681473183027
34092,GABAergic,Arcn1-201_ENSMUST00000034607,6.379373308833808e-38,1.495963040921528e-34,-0.4733567222045405
19138,GABAergic,Ube3a-203_ENSMUST00000200758,3.758769315141399e-50,8.814314044006581e-47,-0.4593055535132966
2680,GABAergic,Gstm5-204_ENSMUST00000169365,1.4714287972170623e-25,3.450500529474011e-22,-0.45102358660053365
63109,GABAergic,Eloc-208_ENSMUST00000188641,1.607544114714043e-71,3.769690949004431e-68,-0.4429662460972752
34255,GABAergic,Tmod2-202_ENSMUST00000098552,5.515376403458746e-63,1.293355766611076e-59,-0.4377396733049943
99023,Glutamatergic,Cnbp-202_ENSMUST00000113617,1.6466671263922e-50,8.111482264607978e-47,-0.4357839291447947
12956,GABAergic,Ndufs4-201_ENSMUST00000022286,5.869243686286966e-57,1.3763376444342935e-53,-0.43189736390718014
34985,GABAergic,Map4-207_ENSMUST00000196729,8.050151809807373e-32,1.8877605993998289e-28,-0.4300531312301894
10240,GABAergic,Prkar1a-203_ENSMUST00000106677,6.116217491134211e-60,1.4342530016709727e-56,-0.42078663977015296
59662,GABAergic,Rplp0-204_ENSMUST00000156359,7.834356165796409e-33,1.8371565208792577e-29,-0.4121393328511713
38921,GABAergic,Haus8-203_ENSMUST00000123495,3.4326021309088055e-95,8.049451996981148e-92,-0.40807284817884715
115579,Glutamatergic,Rps19-205_ENSMUST00000129847,3.934195425428862e-20,1.9379846665662574e-16,-0.4002738861586441
14326,GABAergic,Mrpl13-205_ENSMUST00000172387,1.020872803351962e-32,2.393946723860351e-29,-0.38711743548472777
48823,GABAergic,Rpl7-205_ENSMUST00000149566,5.268082297559003e-21,1.2353652987775861e-17,-0.3846984861167404
31334,GABAergic,Rps3-202_ENSMUST00000107096,2.9005890949563792e-33,6.801881427672709e-30,-0.38449196242979067
54924,GABAergic,Cope-208_ENSMUST00000168018,2.1949697869927985e-23,5.1472041504981124e-20,-0.3802694036380907
5643,GABAergic,Rpl15-203_ENSMUST00000100799,1.6122593338115234e-25,3.7807481377880226e-22,-0.37348459051403093
7668,GABAergic,Ncor1-212_ENSMUST00000155486,5.591875196672808e-26,1.3112947336197734e-22,-0.35465121609635597
17663,GABAergic,Gabbr1-202_ENSMUST00000172789,4.404836014323472e-17,1.0329340453588542e-13,-0.349328534086744
8158,GABAergic,Calm3-204_ENSMUST00000173557,5.962346078187311e-31,1.3981701553349245e-27,-0.34882746597361436
42007,GABAergic,Ndufv1-207_ENSMUST00000134479,5.529295729777972e-20,1.2966198486329345e-16,-0.3456956548337424
33433,GABAergic,Map1lc3b-205_ENSMUST00000181948,2.313764587414863e-17,5.425777957487854e-14,-0.34260051530492497
27982,GABAergic,Mapre3-201_ENSMUST00000031058,3.180168898845408e-26,7.457496067792481e-23,-0.3398506541709061
24227,GABAergic,Rpn2-211_ENSMUST00000156007,2.209514970153643e-34,5.181312605010293e-31,-0.3343604247823633
55731,GABAergic,Gsk3a-201_ENSMUST00000071739,8.918818944912804e-15,2.0914630425820526e-11,-0.3334440315625544
80991,Glutamatergic,Meg3-209_ENSMUST00000146701,3.1660324343470687e-64,1.559587577159366e-60,-0.3149222556639595
132288,Glutamatergic,Eloc-201_ENSMUST00000115352,1.9653422311216213e-11,9.681275830505107e-08,-0.3080728126796033
37321,GABAergic,Ogt-201_ENSMUST00000044475,4.147941416186063e-20,9.726922620956318e-17,-0.29918399988569133
59480,GABAergic,Hmgn3-201_ENSMUST00000161796,1.4023738495511661e-16,3.288566677197485e-13,-0.29839255501102224
49307,GABAergic,Swi5-201_ENSMUST00000050410,2.5684869074038574e-06,0.006023101797862046,-0.29807431042016486
59304,GABAergic,Aurkaip1-201_ENSMUST00000084097,1.0871731113442153e-21,2.5494209461021848e-18,-0.29064761624637736
6813,GABAergic,Ppdpf-202_ENSMUST00000108841,7.970477053183195e-15,1.869076868971459e-11,-0.2885686744677822
