,index,name,p_raw,p_corr,es
30,GABAergic,Cox5a-201_ENSMUST00000000090,9.283527553056726e-58,2.176987211191802e-54,0.18201062744163288
31,GABAergic,Cox5a-202_ENSMUST00000213678,1.063780798932968e-43,2.4945659734978103e-40,0.19490370013877278
160,GABAergic,Ckmt1-201_ENSMUST00000000317,4.2024012370720515e-32,9.85463090093396e-29,-0.3909978501055642
179,GABAergic,Comt-202_ENSMUST00000115609,3.1361703302033953e-68,7.354319424326962e-65,-0.5369806316013923
192,GABAergic,Dazap2-201_ENSMUST00000000356,1.51892694814995e-58,3.561883693411633e-55,-0.5952722604172571
196,GABAergic,Mcts1-201_ENSMUST00000000365,3.9410252227327345e-23,9.241704147308263e-20,-0.25690630760460387
230,GABAergic,Ndufa9-201_ENSMUST00000088194,2.5889584194724925e-14,6.071107493662995e-11,-0.2331834680761471
312,GABAergic,Atp5f1-201_ENSMUST00000118209,2.3069996623328047e-13,5.409914208170427e-10,0.08681142378565543
409,GABAergic,Rpl13-201_ENSMUST00000000756,1.254238864137249e-103,2.941190136401849e-100,0.28278745467918487
570,GABAergic,Ilf2-201_ENSMUST00000001042,6.0124222697427375e-09,1.409913022254672e-05,-0.2034528619486875
690,GABAergic,Ift20-203_ENSMUST00000128788,3.473845754292318e-24,8.146168293815486e-21,-0.22853458187618614
705,GABAergic,Araf-202_ENSMUST00000120356,0.0,2.2250738585072014e-308,0.599220421594147
751,GABAergic,Snrnp27-201_ENSMUST00000001186,2.5434666016877114e-24,5.9644291809576835e-21,-0.20074054363915916
762,GABAergic,Calm1-203_ENSMUST00000127300,5.487608460905036e-189,1.286844184082231e-185,-0.3303642266142912
763,GABAergic,Calm1-204_ENSMUST00000153524,5.944850463131107e-125,1.3940674336042447e-121,-0.3058820498098047
765,GABAergic,Calm1-202_ENSMUST00000110082,0.0,2.2250738585072014e-308,-0.6051191105013141
804,GABAergic,Ckb-201_ENSMUST00000001304,4.130148476641972e-33,9.685198177725425e-30,-0.18072348183146314
824,GABAergic,Pfdn5-205_ENSMUST00000166658,3.947506768996895e-07,0.0009256903373297719,0.08891516530815036
826,GABAergic,Pfdn5-204_ENSMUST00000165717,2.8745264551465206e-21,6.740764537318591e-18,-0.21012999974561541
830,GABAergic,Pfdn5-201_ENSMUST00000001335,9.109110345344006e-08,0.00021360863759831695,-0.09738510111913357
848,GABAergic,Fndc5-201_ENSMUST00000102600,1.673262853465425e-269,3.923801391376422e-266,1.4353539682379362
864,GABAergic,Hars-201_ENSMUST00000001416,2.4163357508412077e-28,5.6663073357226315e-25,-0.409089785276362
