,index,name,p_raw,p_corr,es
689,L6 CT Gpr139,Sebox-201_ENSMUST00000001130,2.5881206764518156e-07,0.00166778496390555,2.1052525312642936
695,L6 CT Gpr139,Col6a1-201_ENSMUST00000001147,5.53892437129736e-15,3.569282864864019e-11,1.4874064808524734
804,L6 CT Gpr139,Ckb-201_ENSMUST00000001304,1.133300247898297e-10,7.302986797456626e-07,-0.6049806194860832
1062,L6 CT Gpr139,Ddt-201_ENSMUST00000001716,1.367588260045483e-06,0.008812738747733091,1.0553126823009675
1290,L6 CT Gpr139,Blvra-201_ENSMUST00000002064,2.0457123434818376e-10,1.3182570341396962e-06,0.8527948525659261
1374,L6 CT Gpr139,Sdf2-201_ENSMUST00000002133,7.942153275004498e-07,0.005117923570412898,0.5310892271684864
2674,L6 CT Gpr139,Brinp2-201_ENSMUST00000004133,3.721188225231772e-07,0.002397933692339354,1.3383193884218394
3088,L6 CT Gpr139,Mtfp1-201_ENSMUST00000004868,2.2225223303804684e-07,0.0014321933896971738,0.9952542130219286
3411,L6 CT Gpr139,Cadm3-202_ENSMUST00000111220,1.5051561232735275e-06,0.00969922605837461,0.947762537766593
4403,L6 CT Gpr139,Eif1b-201_ENSMUST00000007139,6.767847838498405e-08,0.00043612011471283723,0.6605611821303858
4405,L6 CT Gpr139,Chrd-201_ENSMUST00000007171,1.1586588016274252e-06,0.007466397317687128,1.7502178077976622
4549,L6 CT Gpr139,Homer1-204_ENSMUST00000102752,8.344647760669011e-09,5.3772910169751104e-05,-1.9269346933143832
4571,L6 CT Gpr139,Arpp19-203_ENSMUST00000166549,1.9549174056086473e-08,0.00012597487761742122,-0.9332029039319147
4599,L6 CT Gpr139,0610009B22Rik-201_ENSMUST00000007921,7.283090449623484e-08,0.0004693223485737373,0.6084620220198751
4677,L6 CT Gpr139,Ctsd-201_ENSMUST00000066401,3.773824847158441e-08,0.00024318527315088994,0.8247355295894105
4687,L6 CT Gpr139,Ttc9b-201_ENSMUST00000008088,2.7794484933497234e-11,1.7910766091145618e-07,-1.1272247060454994
4978,L6 CT Gpr139,Cabp7-201_ENSMUST00000009219,2.0107575585992705e-14,1.29573217076137e-10,3.1331242563977635
5051,L6 CT Gpr139,Ube2g2-204_ENSMUST00000174510,8.351501758577539e-08,0.0005381707733227366,1.1863221982514474
5059,L6 CT Gpr139,Syn2-206_ENSMUST00000204617,1.8888232823666764e-08,0.00012171577231570863,1.0930977114811093
5088,L6 CT Gpr139,Srp14-201_ENSMUST00000009693,4.114593114848232e-09,2.651443803208201e-05,0.5635702721526981
5206,L6 CT Gpr139,Kdsr-201_ENSMUST00000010049,6.19079389961871e-07,0.003989347588914297,0.9290496420375551
5388,L6 CT Gpr139,Pigyl-201_ENSMUST00000123680,3.283781722096179e-07,0.0021160689417187776,0.45550032953539343
5413,L6 CT Gpr139,Acaa1b-201_ENSMUST00000010795,5.082341752507786e-25,3.2750610253160175e-21,4.838845834182927
5532,L6 CT Gpr139,Pgam1-201_ENSMUST00000011896,2.3634604020469764e-07,0.0015230138830790716,0.2720645411484659
6625,L6 CT Gpr139,Qdpr-201_ENSMUST00000015950,2.7654749664924995e-07,0.0017820720684077666,0.5986520732246117
6677,L6 CT Gpr139,Lta4h-201_ENSMUST00000016033,1.5283954809153457e-08,9.848980479018488e-05,1.222918771773625
6933,L6 CT Gpr139,Ift27-201_ENSMUST00000016781,3.210559465354398e-09,2.068884519474374e-05,0.9535756769559036
7120,L6 CT Gpr139,Plxdc1-201_ENSMUST00000017561,2.099378004921328e-07,0.0013528391863713038,1.3832729243609834
7156,L6 CT Gpr139,Timp2-201_ENSMUST00000017610,1.4396116249153166e-15,9.2768573109543e-12,3.1102467068434176
7349,L6 CT Gpr139,Mlx-202_ENSMUST00000107302,1.0235762320668258e-07,0.0006595925239438625,1.0831887787978753
7728,L6 CT Gpr139,Gabarap-201_ENSMUST00000018711,5.499302612430304e-10,3.543750603450088e-06,0.5444493979001859
7729,L6 CT Gpr139,Gabarap-202_ENSMUST00000108592,5.201341170644159e-10,3.351744250363096e-06,0.5847838701362154
7730,L6 CT Gpr139,Gabarap-204_ENSMUST00000144443,2.476780931358556e-07,0.0015960376321674534,0.5143588492488211
7803,L6 CT Gpr139,Slc25a39-201_ENSMUST00000018821,5.293284515224698e-14,3.4109925416107956e-10,1.2686950569233835
7883,L6 CT Gpr139,Lsp1-211_ENSMUST00000149521,1.1533794623303432e-14,7.432377255256731e-11,3.047954384267124
7884,L6 CT Gpr139,Lsp1-209_ENSMUST00000140626,1.1784960728969951e-12,7.594228693748237e-09,2.5797406966059198
8026,L6 CT Gpr139,Slc25a22-203_ENSMUST00000106007,1.4085835233675757e-08,9.076912224580657e-05,1.0226366369590654
8031,L6 CT Gpr139,Atp6ap1-201_ENSMUST00000019231,4.414814023793671e-10,2.8449061569326417e-06,0.577639383631289
8217,L6 CT Gpr139,Trip10-207_ENSMUST00000224947,6.416936483329366e-07,0.004135073869857443,1.7915433448569953
8262,L6 CT Gpr139,Cyb561-201_ENSMUST00000019734,1.3442647361959002e-16,8.66244196004638e-13,1.6352973835667788
8614,L6 CT Gpr139,Rspo3-201_ENSMUST00000092623,8.484121283256025e-12,5.467167754930182e-08,2.0437799462957917
8689,L6 CT Gpr139,Zwint-201_ENSMUST00000020081,3.991690440168911e-13,2.572245319644846e-09,0.4734460900162558
8823,L6 CT Gpr139,Ahi1-201_ENSMUST00000105525,1.3935133670447684e-07,0.0008979800137236488,-0.49057598581576745
