,index,name,p_raw,p_corr,es
12,Astrocytes,Aqp4,0.0,2.2250738585072014e-308,6.630135977226558
26,Astrocytes,Calb1,7.81866610610064e-143,9.382399327320769e-142,-0.3711304009323939
69,Astrocytes,Cxcl14,0.0,2.2250738585072014e-308,5.657053976622729
70,Astrocytes,Daam2,0.0,2.2250738585072014e-308,6.299687411040985
93,Astrocytes,Gad2,1.060249437924216e-146,1.2722993255090593e-145,-0.14111095392840944
160,Astrocytes,Penk,0.0,2.2250738585072014e-308,-0.5398154503742898
167,Astrocytes,Pou3f3,0.0,2.2250738585072014e-308,2.946680358003081
181,Astrocytes,Pvalb,9.659160890529142e-120,1.159099306863497e-118,0.23871179255541808
183,Astrocytes,Rab3b,0.0,2.2250738585072014e-308,-0.6342725798674049
205,Astrocytes,Slc17a7,0.0,2.2250738585072014e-308,-0.9748539188239942
224,Astrocytes,Tac2,2.1235480920447996e-234,2.5482577104537596e-233,-0.4469498237645464
247,Astrocytes,Vip,4.0189897245439795e-222,4.822787669452775e-221,-0.21483786841210684
280,Endothelial,Calb1,0.0,2.2250738585072014e-308,0.4804480168694951
306,Endothelial,Cldn5,0.0,2.2250738585072014e-308,10.37609383131752
340,Endothelial,Flt1,0.0,2.2250738585072014e-308,10.246677494747674
347,Endothelial,Gad2,0.0,2.2250738585072014e-308,-0.3022084747054956
414,Endothelial,Penk,1.4500710512788808e-257,1.4500710512788807e-256,-0.5098890349563394
435,Endothelial,Pvalb,1.5941280047564378e-24,1.5941280047564378e-23,-0.13028572805536065
437,Endothelial,Rab3b,0.0,2.2250738585072014e-308,-0.4822684980535108
459,Endothelial,Slc17a7,0.0,2.2250738585072014e-308,-0.7476693105867493
478,Endothelial,Tac2,3.555388740621306e-23,3.5553887406213062e-22,-0.12883398278317415
501,Endothelial,Vip,0.0,2.2250738585072014e-308,0.3145069005703389
531,L23_IT,C1ql3,0.0,2.2250738585072014e-308,5.802052169368601
534,L23_IT,Calb1,0.0,2.2250738585072014e-308,2.0712415573368483
576,L23_IT,Cux2,0.0,2.2250738585072014e-308,6.8521165811925675
613,L23_IT,Igfbp5,0.0,2.2250738585072014e-308,2.160164742652362
624,L23_IT,Lamp5,0.0,2.2250738585072014e-308,4.301902538999964
668,L23_IT,Penk,0.0,2.2250738585072014e-308,0.6165288854181901
675,L23_IT,Pou3f3,0.0,2.2250738585072014e-308,1.5881855372591103
685,L23_IT,Ptprk,0.0,2.2250738585072014e-308,4.070289317188247
687,L23_IT,Ptprt,0.0,2.2250738585072014e-308,3.368639521443301
691,L23_IT,Rab3b,1.2420295835386147e-103,2.4840591670772294e-102,0.07233894173790922
697,L23_IT,Rgs6,0.0,2.2250738585072014e-308,4.395973295619494
704,L23_IT,Satb2,0.0,2.2250738585072014e-308,4.060279557212748
709,L23_IT,Sertm1,0.0,2.2250738585072014e-308,5.630017737300609
713,L23_IT,Slc17a7,0.0,2.2250738585072014e-308,0.7507653326798565
716,L23_IT,Slc30a3,0.0,2.2250738585072014e-308,5.539383752662637
729,L23_IT,Syndig1,0.0,2.2250738585072014e-308,3.9926073379232587
753,L23_IT,Unc5d,0.0,2.2250738585072014e-308,5.377962763698712
755,L23_IT,Vip,2.7827172134857086e-173,5.565434426971417e-172,-0.11100265626684269
759,L23_IT,Wipf3,0.0,2.2250738585072014e-308,4.718681431258597
803,L45_IT,Cdh12,0.0,2.2250738585072014e-308,4.79552001605157
855,L45_IT,Gad2,0.0,2.2250738585072014e-308,0.16158719903212493
878,L45_IT,Lamp5,0.0,2.2250738585072014e-308,2.0036928348983887
904,L45_IT,Nr4a1,0.0,2.2250738585072014e-308,3.6920776106618494
922,L45_IT,Penk,0.0,2.2250738585072014e-308,0.3377921367153416
929,L45_IT,Pou3f3,0.0,2.2250738585072014e-308,1.7468501501819986
931,L45_IT,Prdm8,0.0,2.2250738585072014e-308,6.05165948707042
939,L45_IT,Ptprk,0.0,2.2250738585072014e-308,4.04756298791547
941,L45_IT,Ptprt,0.0,2.2250738585072014e-308,2.736170670121809
943,L45_IT,Pvalb,1.5961099406363833e-09,3.1922198812727666e-08,-0.06846430527011194
945,L45_IT,Rab3b,0.0,2.2250738585072014e-308,0.1626017324349016
954,L45_IT,Rorb,0.0,2.2250738585072014e-308,6.420294537819782
958,L45_IT,Satb2,0.0,2.2250738585072014e-308,4.558122858260721
