,index,name,p_raw,p_corr,es
714782,Lamp5,Zc3h15-201_ENSMUST00000081591,1.7759418395481196e-08,5.139575683652258e-05,-0.40345371408828967
878887,Pvalb,Rpl7-205_ENSMUST00000149566,1.4454725922302924e-06,0.0047093497054862925,-0.3510646630294598
1076501,Sst,Haus8-203_ENSMUST00000123495,4.6331992828506274e-21,1.4228554997634277e-17,-0.3449800753979697
1189338,Vip,Sap18-204_ENSMUST00000128764,4.683386263495116e-09,7.647969768287525e-06,-0.3384442119623987
1060642,Sst,Zc3h15-201_ENSMUST00000081591,3.0418396521282375e-07,0.0009341489571685817,-0.3338775072583493
730641,Lamp5,Haus8-203_ENSMUST00000123495,7.713944392615459e-14,2.232415507222914e-10,-0.29558169509459353
1084311,Sst,Atg2b-202_ENSMUST00000220960,9.68739231424185e-14,2.9749981797036723e-10,-0.21208464620046596
567714,L6 IT Car3,Adcy8-201_ENSMUST00000023007,2.639426779834957e-116,2.2849517633031222e-112,-0.20922574123840637
820211,Low Quality,Ubr4-201_ENSMUST00000097822,4.0395339998758107e-166,1.8101151853443508e-162,-0.1900097207465658
212813,L5 IT,Nxf1-202_ENSMUST00000010248,8.539485479406658e-07,0.004432846912359996,-0.16428687439860745
669279,L6b,Atg2b-202_ENSMUST00000220960,2.160377668643871e-15,1.139599220209642e-11,-0.16258867527379695
610372,L6 IT Car3,AU019823-205_ENSMUST00000171462,7.544215416232935e-58,6.531027285832852e-54,-0.15268007614959617
685539,L6b,Pigb-204_ENSMUST00000183746,1.7041793389672134e-07,0.000898954601305205,-0.14787170634675229
560144,L6 IT Car3,Diexf-201_ENSMUST00000085555,1.1317099162987504e-100,9.797212745398282e-97,-0.14100313281313873
560994,L6 IT Car3,Akap1-201_ENSMUST00000018572,3.076805903496689e-78,2.663590870657084e-74,-0.13751977864440648
728235,Lamp5,Tomm6-202_ENSMUST00000113302,2.1458669266038864e-07,0.0006210138885591647,-0.12255926802732198
320750,L5 PT,Ppp1r10-202_ENSMUST00000087211,6.605001724589539e-42,6.223893125080722e-38,-0.07118313134261203
318611,L5 PT,Iars-206_ENSMUST00000165316,2.1842243297378726e-27,2.0581945859119974e-23,-0.06676106448312079
563980,L6 IT Car3,Unk-201_ENSMUST00000021116,6.246647218163793e-31,5.4077224967643954e-27,-0.061836514208439754
611544,L6 IT Car3,Hs6st2-202_ENSMUST00000114871,1.7323989293120015e-25,1.4997377531053997e-21,-0.04985045113570511
592965,L6 IT Car3,Fmnl2-204_ENSMUST00000127122,3.995531326135499e-18,3.4589314690355015e-14,-0.027598100531393336
254247,L5 IT,Atg2b-202_ENSMUST00000220960,4.2152233480174633e-10,2.1881224399558653e-06,0.09357449203001855
248285,L5 IT,Zfp113-201_ENSMUST00000049393,7.331942679456126e-07,0.003806011444905675,0.10277544095092417
260940,L5 IT,Swt1-205_ENSMUST00000131312,4.586284433373846e-09,2.3807402493643636e-05,0.10608075813273965
234054,L5 IT,Tceanc2-202_ENSMUST00000057043,3.5876394179730524e-09,1.8623436218698114e-05,0.10816161946289138
220930,L5 IT,Sap18-204_ENSMUST00000128764,1.133112621582894e-06,0.005881987618636802,0.12396759934206836
169467,L2/3 IT,Mvp-203_ENSMUST00000206511,7.320771570709134e-09,4.567429382965429e-05,0.1340836487774657
420610,L6 CT,Ccnt1-202_ENSMUST00000130921,1.0965280444161699e-07,0.0005196446402488229,0.1491391837386169
224132,L5 IT,Lnpep-201_ENSMUST00000041047,2.769284373184467e-09,1.437535518120057e-05,0.1559791262283865
473042,L6 CT,Ccdc62-206_ENSMUST00000197673,2.268884827664258e-09,1.075224519830092e-05,0.1623227037046907
234564,L5 IT,Sfpq-201_ENSMUST00000030623,1.5085277560248906e-09,7.830767581525208e-06,0.1651938616309958
254485,L5 IT,Nop53-203_ENSMUST00000198688,2.178762000592419e-07,0.0011309953545075248,0.16710402064611385
270507,L5 IT,Pigb-204_ENSMUST00000183746,3.7336365034152064e-17,1.9381307089228337e-13,0.1674642452398971
149478,L2/3 IT,Pnn-201_ENSMUST00000021381,8.206582155097296e-08,0.0005120086606565204,0.1677414822688763
178734,L2/3 IT,Ago2-201_ENSMUST00000044113,2.820701722234739e-07,0.0017598358045022536,0.17274955552471305
441793,L6 CT,Nasp-205_ENSMUST00000134038,3.0299028040071677e-15,1.4358709388189968e-11,0.17339252200745525
177265,L2/3 IT,Haus8-203_ENSMUST00000123495,2.3572992065982776e-12,1.4707189749966654e-08,0.17364312228341516
362174,L5/6 NP,Sympk-204_ENSMUST00000137287,3.290278083193528e-07,0.0013657944323336333,0.17583959337458988
420329,L6 CT,Nxf1-202_ENSMUST00000010248,2.854380105363431e-07,0.00135269073193173,0.17796103353046266
179113,L2/3 IT,Zfp113-201_ENSMUST00000049393,1.0410860580106944e-07,0.0006495335915928722,0.18071375888418173
236433,L5 IT,Sppl3-201_ENSMUST00000031530,4.358298896077186e-07,0.002262392956953667,0.19061193527839038
240067,L5 IT,Dkc1-201_ENSMUST00000033776,9.312126595412e-07,0.004833924915678369,0.19066389879947998
211208,L5 IT,Ctcf-201_ENSMUST00000005841,8.546450958781126e-09,4.436462692703283e-05,0.19259961359573907
241503,L5 IT,Srpr-201_ENSMUST00000034541,1.0978713253263018e-08,5.6990500497688326e-05,0.20314089753927256
218619,L5 IT,Nemf-201_ENSMUST00000021368,4.214133663468853e-16,2.1875567847066815e-12,0.2069094511282139
438094,L6 CT,Zc3h15-201_ENSMUST00000081591,9.529779143756279e-14,4.5161623362261004e-10,0.20769797165891735
201335,L2/3 IT,Pigb-204_ENSMUST00000183746,8.780666614009203e-14,5.478257900480342e-10,0.2226532483360879
230987,L5 IT,Zfp106-201_ENSMUST00000055241,1.8527957308330052e-15,9.61786263875413e-12,0.2265287347310958
1017229,Sncg,Rpl7-201_ENSMUST00000058437,1.4563498376993464e-06,0.004787021916517751,0.22977051883849864
453953,L6 CT,Haus8-203_ENSMUST00000123495,5.256774934206895e-30,2.4911856413206476e-26,0.23007321322171204
537072,L6 IT,Wdcp-206_ENSMUST00000223551,6.11174522090202e-09,3.466581889295625e-05,0.23666655947230808
635962,L6b,Sap18-204_ENSMUST00000128764,1.3414546055698026e-14,7.076173044380708e-11,0.23763746263806418
681609,L6b,Gpn1-201_ENSMUST00000076949,3.229523135936906e-07,0.0017035734542067181,0.24691386251828273
671371,L6b,Rpl7-205_ENSMUST00000149566,1.109056990302767e-07,0.0005850275623847096,0.25021217262462736
174858,L2/3 IT,Tomm6-201_ENSMUST00000113301,1.5317532654398702e-07,0.000955660862307935,0.25587139870519593
260891,L5 IT,Zmat1-204_ENSMUST00000151252,4.1064421576978524e-39,2.1316541240609553e-35,0.2576015582132787
191719,L2/3 IT,Zmat1-204_ENSMUST00000151252,1.1674996019889046e-18,7.284030016808775e-15,0.261386957891686
442082,L6 CT,Sfpq-206_ENSMUST00000146285,8.432186024952516e-12,3.996012957224997e-08,0.2729862216975194
372621,L5/6 NP,Nasp-205_ENSMUST00000134038,8.986707952969173e-09,3.730382471277504e-05,0.2778861730254901
246437,L5 IT,Haus8-203_ENSMUST00000123495,4.173690340416331e-56,2.1665626557101174e-52,0.28088073402188285
166261,L2/3 IT,Snx17-201_ENSMUST00000031029,1.82174726007014e-07,0.0011365881155577604,0.2861621320854981
664137,L6b,Bclaf1-202_ENSMUST00000092678,2.542079672254787e-07,0.0013409470271144002,0.2886879391552075
142036,L2/3 IT,Ctcf-201_ENSMUST00000005841,5.54908194784911e-09,3.46207222726306e-05,0.28962099470937197
230578,L5 IT,Zc3h15-201_ENSMUST00000081591,1.395996070218987e-26,7.246615600506762e-23,0.3023507580543603
179935,L2/3 IT,Bclaf1-211_ENSMUST00000215262,3.048257454974328e-10,1.9018078261584832e-06,0.31182145104924497
519704,L6 IT,Srek1-201_ENSMUST00000074616,2.9943495206259483e-07,0.0016983950480990379,0.31571364273927305
161406,L2/3 IT,Zc3h15-201_ENSMUST00000081591,1.8662348261781992e-26,1.1643439080525785e-22,0.3178470590728013
351157,L5/6 NP,Nxf1-202_ENSMUST00000010248,1.1469611701116605e-07,0.00047610358171335025,0.3340852058856152
165394,L2/3 IT,Sfpq-206_ENSMUST00000146285,4.2030048212521597e-13,2.6222547079792224e-09,0.338179500703903
244030,L5 IT,Tomm6-201_ENSMUST00000113301,1.5042601403713134e-22,7.808614388667488e-19,0.33985709790103424
507266,L6 IT,Zc3h15-201_ENSMUST00000081591,2.285368678857074e-31,1.2962611146477324e-27,0.36091305206385815
645610,L6b,Zc3h15-201_ENSMUST00000081591,6.488898988532913e-42,3.4228942164511114e-38,0.3756420886607206
450988,L6 CT,Polr2f-203_ENSMUST00000229973,2.7989758163691673e-18,1.3264346393773483e-14,0.3825297354245829
149453,L2/3 IT,Nemf-212_ENSMUST00000222763,1.1614789412799174e-10,7.246467114645405e-07,0.3885616529010245
889125,Pvalb,Gpn1-201_ENSMUST00000076949,2.7811353947230105e-11,9.060939116007568e-08,0.3990540450751814
658504,L6b,Polr2f-203_ENSMUST00000229973,1.0150148283638605e-15,5.354203219619364e-12,0.41476785581502806
172303,L2/3 IT,Cul5-209_ENSMUST00000166367,1.4980201210417446e-20,9.346147535179444e-17,0.438781862322275
384781,L5/6 NP,Haus8-203_ENSMUST00000123495,5.533391458902198e-21,2.2969107945903023e-17,0.4455873818731031
623485,L6b,Npepps-201_ENSMUST00000001480,2.767497853796891e-24,1.45985511787786e-20,0.45191355013920775
922594,SMC,Lrp4-201_ENSMUST00000028689,5.103769572193381e-06,0.0016025836456687217,0.516998944158742
373227,L5/6 NP,Vamp3-203_ENSMUST00000155446,3.567756774241087e-11,1.4809758369874752e-07,0.5299892283640035
173844,L2/3 IT,Srek1-201_ENSMUST00000074616,6.1897021065642445e-24,3.861755144285432e-20,0.557173000614438
293304,L5 PT,Lnpep-201_ENSMUST00000041047,5.59841398831094e-07,0.005275385501185398,0.664117248291733
288499,L5 PT,Yy1-201_ENSMUST00000021692,3.762298879138821e-07,0.003545214233812511,0.9765750629649983
924155,SMC,Sass6-208_ENSMUST00000198747,9.691647992153138e-08,3.0431774695360854e-05,1.0987072624903589
307060,L5 PT,St8sia1-201_ENSMUST00000032421,9.451623624090745e-07,0.008906264940980709,1.1460098959268517
920814,SMC,Tor1aip1-204_ENSMUST00000124212,4.6185550403214006e-07,0.00014502262826609198,1.5689675729190284
96539,Endo,Vamp3-203_ENSMUST00000155446,8.958882448620694e-07,0.0005823273591603451,1.6209066322797814
114960,Endo,Ltbp4-205_ENSMUST00000121175,1.689564352118363e-06,0.001098216828876936,3.3211776974532734
1123472,VLMC,Slc29a1-202_ENSMUST00000064889,6.597088694730786e-06,0.004307898917659203,4.634162767815787
1107174,VLMC,Serpinf1-208_ENSMUST00000168902,5.160892197263628e-06,0.0033700626048131493,6.225302154189094
