,index,name,p_raw,p_corr,es
29426,Astro,Plxna4-201_ENSMUST00000115096,1.6829571017861827e-05,0.0041737336124297334,-1.049228090441995
31179,Astro,Aldoa-203_ENSMUST00000106348,2.4792455579756095e-08,6.148528983779512e-06,-5.4517817857108595
52450,Astro,Tatdn1-205_ENSMUST00000226835,8.834279215043185e-06,0.00219090124533071,-2.7671718056973713
68970,Astro,Bc1-201_ENSMUST00000227063,5.289161802731614e-06,0.0013117121270774402,-2.7495744938449516
69766,Endo,Icam2-201_ENSMUST00000001055,1.3059757939832394e-07,8.488842660891056e-05,6.428430722654111
69953,Endo,Ramp2-204_ENSMUST00000129680,1.394121224448786e-05,0.009061787958917109,4.979992811536116
69955,Endo,Ramp2-205_ENSMUST00000138229,4.338966144637191e-07,0.0002820327994014174,5.862216498458198
69958,Endo,Ramp2-201_ENSMUST00000107282,4.827163060028712e-06,0.003137655989018663,5.399905690212853
70704,Endo,Cd320-202_ENSMUST00000087559,7.537730870830434e-07,0.0004899525066039783,3.5791557153373663
70871,Endo,Slc9a3r2-201_ENSMUST00000002572,1.154349226069957e-05,0.00750326996945472,4.262993579289665
71252,Endo,Lipe-201_ENSMUST00000003207,6.5892662276685844e-06,0.00428302304798458,2.2723867866442813
72408,Endo,Hspb1-201_ENSMUST00000005077,2.7254973528442724e-07,0.0001771573279348777,7.872011480356853
73253,Endo,Crip2-201_ENSMUST00000084882,7.86343244357355e-08,5.111231088322808e-05,2.8914937535190344
73357,Endo,Cyba-201_ENSMUST00000017604,2.0019803205275643e-07,0.00013012872083429167,5.4852917853452725
73838,Endo,Id3-201_ENSMUST00000008016,9.43620443335895e-08,6.133532881683317e-05,7.34153855524928
74317,Endo,Fxyd5-201_ENSMUST00000009831,1.4769901358288278e-06,0.0009600435882887381,5.237955003872684
74322,Endo,Fxyd5-203_ENSMUST00000159924,1.73619491231811e-06,0.0011285266930067715,5.204075516561468
75650,Endo,Atp6v0e-201_ENSMUST00000015719,4.542902315256482e-06,0.002952886504916713,3.5724640979209608
76433,Endo,Serinc3-201_ENSMUST00000017851,6.511659397248985e-08,4.23257860821184e-05,1.8937074487157934
76475,Endo,Pltp-201_ENSMUST00000059954,3.0427167260025e-07,0.0001977765871901625,7.881296357147815
76477,Endo,Pltp-203_ENSMUST00000109317,4.104461732586371e-06,0.0026679001261811414,5.9506125009263
76478,Endo,Pltp-204_ENSMUST00000128110,1.334784865781075e-06,0.0008676101627576988,5.3067709761033885
76921,Endo,Atox1-201_ENSMUST00000108857,9.698045349541533e-06,0.006303729477201997,2.17726574449937
76928,Endo,Sparc-202_ENSMUST00000108858,8.392841774235527e-07,0.0005455347153253093,6.6577754010259325
80382,Endo,Nfkbia-201_ENSMUST00000021413,2.3338655067130288e-06,0.0015170125793634687,3.8813495601619845
80617,Endo,Zfp36l1-201_ENSMUST00000021552,1.8340778864605079e-06,0.0011921506261993301,4.1355205757442315
82683,Endo,Tsc22d1-201_ENSMUST00000022587,3.793528888951135e-07,0.0002465793777818238,2.4762297120837555
82705,Endo,Rgcc-201_ENSMUST00000022595,3.5621503878959156e-07,0.00023153977521323451,5.64893795935275
83913,Endo,Hes1-201_ENSMUST00000023171,7.398091444407523e-06,0.00480875943886489,3.9503362031934106
84145,Endo,Ly6e-215_ENSMUST00000191436,6.368481903985698e-07,0.00041395132375907036,2.619491571278356
84146,Endo,Ly6e-213_ENSMUST00000191127,4.028175444531739e-09,2.6183140389456304e-06,3.909279830645531
84276,Endo,Cd200-210_ENSMUST00000172091,1.2614193665833965e-05,0.008199225882792077,4.919675313726405
85516,Endo,Bsg-205_ENSMUST00000179781,5.130887803216217e-07,0.0003335077072090541,3.3328878510014537
85623,Endo,Wfdc1-201_ENSMUST00000024107,5.224387478739467e-09,3.3958518611806536e-06,6.643405681933818
86079,Endo,Myl12a-201_ENSMUST00000024846,2.19483928608799e-08,1.4266455359571935e-05,5.229582325165385
86080,Endo,Myl12a-206_ENSMUST00000148960,1.166334985846561e-07,7.581177408002647e-05,4.054566693101412
86199,Endo,Ndufv2-203_ENSMUST00000143987,1.0665747171418972e-05,0.0069327356614223325,-1.184287314473771
86290,Endo,Epas1-201_ENSMUST00000024954,3.984645094425258e-07,0.00025900193113764173,4.816541711116232
86345,Endo,Tmem204-201_ENSMUST00000024984,9.409501100453247e-07,0.0006116175715294611,6.043124712911835
88686,Endo,Ifitm3-201_ENSMUST00000026565,2.397817303197236e-08,1.5585812470782036e-05,7.803795950681709
88896,Endo,Podxl-201_ENSMUST00000026698,7.396362667456238e-06,0.004807635733846554,3.810668387109418
90898,Endo,Tagln2-202_ENSMUST00000111230,1.2957737951369813e-07,8.422529668390379e-05,6.673954731212698
91894,Endo,Egfl7-201_ENSMUST00000100290,4.167859105738753e-07,0.00027091084187301896,6.117744338928173
91895,Endo,Egfl7-202_ENSMUST00000102907,3.539407136653301e-07,0.00023006146388246455,6.302769533311898
92033,Endo,Rbms1-202_ENSMUST00000112509,1.1622314800206483e-05,0.007554504620134214,3.9493557568637856
92998,Endo,Cst3-201_ENSMUST00000028938,3.3280858859354917e-07,0.00021632558258580695,1.9737396202745243
93609,Endo,Anxa5-201_ENSMUST00000029266,1.0666227474327243e-06,0.0006933047858312708,4.369624787723933
95142,Endo,Dnaja1-205_ENSMUST00000137246,1.0329172690324314e-06,0.0006713962248710804,1.238175484855807
95783,Endo,Slc2a1-204_ENSMUST00000174372,3.0004927580338086e-06,0.0019503202927219755,5.005284109321829
95923,Endo,Prdx1-202_ENSMUST00000106470,4.895643751127141e-06,0.0031821684382326416,1.8920859387360003
95925,Endo,Prdx1-205_ENSMUST00000151129,9.832225341775826e-06,0.006390946472154287,1.7950031993239266
96539,Endo,Vamp3-203_ENSMUST00000155446,8.958882448620694e-07,0.0005823273591603451,1.6209066322797814
97091,Endo,Ppm1g-202_ENSMUST00000200740,7.630539615671304e-06,0.004959850750186348,1.3006841926374428
97338,Endo,Gabrb1-201_ENSMUST00000031122,1.30433244574073e-10,8.478160897314745e-08,-2.1797398064994447
98335,Endo,Flt1-203_ENSMUST00000110529,1.6555951725777956e-06,0.0010761368621755672,4.465552546857256
98338,Endo,Flt1-202_ENSMUST00000031653,1.34011316021473e-08,8.710735541395745e-06,5.435003694223131
98691,Endo,Abcg2-202_ENSMUST00000114294,3.720172180566236e-08,2.4181119173680535e-05,5.704850123849331
99414,Endo,Slco1c1-206_ENSMUST00000205214,2.041905022675849e-07,0.00013272382647393018,5.369574298279155
99415,Endo,Slco1c1-202_ENSMUST00000135562,5.4337402957217476e-08,3.531931192219136e-05,6.5352373978240275
99416,Endo,Slco1a4-202_ENSMUST00000163678,7.246886485835815e-06,0.00471047621579328,6.524518761622772
