,index,transcript_name,p_raw,p_bonferroni
0,Astro,Cst3-201_ENSMUST00000028938,2.0728788632792093e-31,7.169258836537473e-27
1,Astro,Lipe-201_ENSMUST00000003207,9.050365831008563e-17,3.1301595263126215e-12
2,Astro,Fhl3-201_ENSMUST00000038684,2.2574751451953364e-15,7.80770353717259e-11
3,Astro,Thg1l-202_ENSMUST00000109254,1.3738774413884212e-14,4.751692518785993e-10
4,Astro,Acnat1-202_ENSMUST00000107697,6.592711433760951e-14,2.2801551764805625e-09
5,Astro,Ripor2-209_ENSMUST00000175986,5.329482844314795e-13,1.843254936534715e-08
6,Astro,AC130815.2-201_ENSMUST00000232175,9.268318043763592e-13,3.205540478616076e-08
7,Astro,Mc1r-201_ENSMUST00000098324,4.2758742899921e-12,1.4788538819366679e-07
8,Astro,Mt1-201_ENSMUST00000034215,4.510360468153844e-12,1.5599532715156885e-07
9,Astro,Bmp2k-201_ENSMUST00000035635,9.86565932509011e-12,3.4121369341756657e-07
10,Astro,Ppm1g-202_ENSMUST00000200740,4.752762241036629e-10,1.6437903486849285e-05
11,Astro,Sec61a1-208_ENSMUST00000145421,5.217726417432232e-10,1.8046028587331117e-05
12,Astro,Sass6-208_ENSMUST00000198747,8.156471303452521e-09,0.0002820997165012089
13,Astro,BC051077-201_ENSMUST00000181440,2.7050816446184107e-08,0.0009355795376077235
14,Astro,Npffr1-201_ENSMUST00000020287,2.8617814189708744e-08,0.0009897757215652666
15,Endo,Icam2-201_ENSMUST00000001055,0.0,0.0
16,Endo,Wfdc1-201_ENSMUST00000024107,0.0,0.0
17,Endo,Ifitm3-201_ENSMUST00000026565,0.0,0.0
18,Endo,Egfl7-201_ENSMUST00000100290,0.0,0.0
19,Endo,Egfl7-202_ENSMUST00000102907,0.0,0.0
20,Endo,Flt1-203_ENSMUST00000110529,0.0,0.0
21,Endo,Flt1-202_ENSMUST00000031653,0.0,0.0
22,Endo,Slco1c1-206_ENSMUST00000205214,0.0,0.0
23,Endo,Slco1c1-202_ENSMUST00000135562,0.0,0.0
24,Endo,Slco1a4-202_ENSMUST00000163678,0.0,0.0
25,Endo,Slco1a4-203_ENSMUST00000165990,0.0,0.0
26,Endo,Pglyrp1-201_ENSMUST00000032573,0.0,0.0
