,index,name,p_raw,p_corr,es,gene
856,GABAergic,3629,7.636999383277134e-72,3.9330546823877243e-69,0.7475893840814987,Dnm3
2033,GABAergic,10194,2.88565333224126e-34,1.486111466104249e-31,-0.2764884252408848,Amd1
4827,GABAergic,24517,1.1946691012520814e-30,6.152545871448219e-28,0.6604950202634527,Sirt5
5035,GABAergic,26402,1.987266031671515e-07,0.00010234420063108302,0.15117035761374442,Pdhb
5330,GABAergic,27568,3.782617808882698e-18,1.9480481715745893e-15,0.3343874844644965,Pabpn1
7471,GABAergic,38728,1.8898852612525618e-12,9.732909095450693e-10,0.18505447573784384,Mtch1
7677,GABAergic,39458,3.450048307528606e-17,1.776774878377232e-14,0.44339389233036464,Atat1
10353,GABAergic,52300,1.102227915855488e-21,5.676473766655763e-19,-0.4210899698181292,Casc4
10978,GABAergic,55973,1.6054989856715885e-19,8.268319776208681e-17,0.4217560344486708,Rnpc3
11863,GABAergic,60381,2.133212141693346e-10,1.0986042529720733e-07,-0.24911230760142722,Nfx1
12072,GABAergic,61274,7.3717343529175925e-37,3.79644319175256e-34,-0.5472445629751128,Srsf10
12103,GABAergic,61531,5.4083491852793826e-08,2.785299830418882e-05,-0.24374938132975021,Hp1bp3
12658,GABAergic,63941,8.702449315116394e-13,4.481761397284943e-10,0.1274829874443144,Dnajc8
13886,GABAergic,69867,2.363663075144488e-126,1.2172864836994112e-123,1.0206729147659357,Grk3
14551,GABAergic,73530,1.2424837452171058e-11,6.398791287868095e-09,-0.37321555601887235,Tra2a
14856,GABAergic,74824,5.487414531559221e-06,0.0028260184837529986,-0.19007186181959934,Ing4
15215,GABAergic,76337,3.4860776691564327e-09,1.7953299996155628e-06,0.31568970676744534,Mat2a
16905,GABAergic,87539,2.429477946542558e-34,1.2511811424694174e-31,0.5248190732004048,Use1
17258,GABAergic,88952,8.883439096618758e-68,4.57497113475866e-65,-0.488933342365482,Cdh11
18246,GABAergic,94176,1.3855192837911773e-24,7.135424311524563e-22,0.5883836878478119,Rasgrf1
19641,Glutamatergic,14,3.2132830657727444e-28,3.881645943453475e-25,0.5924694202676957,Lman2l
19647,Glutamatergic,46,2.0705846030080755e-55,2.501266200433755e-52,0.9074729593783291,Ncstn
19787,Glutamatergic,713,5.516732872454756e-31,6.664213309925345e-28,0.3872934067834324,Pikfyve
19862,Glutamatergic,926,1.2653917663343329e-95,1.528593253731874e-92,1.3647330218934752,Stradb
20095,Glutamatergic,1655,8.550959672512178e-33,1.0329559284394711e-29,0.6502544486901973,Eif4e2
20364,Glutamatergic,2958,9.71970429454544e-23,1.1741402787810892e-19,0.5980967284795744,Acsl3
20492,Glutamatergic,3629,4.645262323694997e-48,5.611476887023556e-45,-0.6261736128561681,Dnm3
20517,Glutamatergic,3763,2.776286226234391e-57,3.3537537612911443e-54,0.7637352593879019,Rims1
20535,Glutamatergic,3841,1.2668872165860442e-88,1.5303997576359415e-85,1.2584236279291772,Rnpep
20857,Glutamatergic,5065,1.1241026696852519e-30,1.3579160249797842e-27,0.5830279840663426,Arfgef1
20863,Glutamatergic,5093,1.7625166807380746e-62,2.1291201503315943e-59,0.7518102046127515,Rasal2
21021,Glutamatergic,6800,6.733893296061958e-47,8.134543101642845e-44,0.9148758822999636,Fuca2
21181,Glutamatergic,7498,1.072192458295439e-15,1.2952084896208903e-12,-0.3985789204200909,Hnrnph3
21528,Glutamatergic,9222,7.3592816670451025e-06,0.008890012253790484,0.15345109273235158,Lrp1
21669,Glutamatergic,10194,1.2909933723279221e-40,1.55951999377213e-37,0.32037273487451934,Amd1
21779,Glutamatergic,11621,3.509995489452743e-08,4.2400745512589136e-05,0.22376638365204649,Tmed4
21810,Glutamatergic,11768,3.8889199821420395e-21,4.697815338427584e-18,0.6050559441988046,Hnrnph1
21871,Glutamatergic,11872,1.1640986737149435e-276,1.4062311978476517e-273,2.2355039519321798,Rnf112
22314,Glutamatergic,13639,4.9499310523541805e-17,5.97951671124385e-14,0.4413179121553714,Rps6kb1
22849,Glutamatergic,16059,1.2437667381110048e-67,1.5024702196380938e-64,1.0890054746305702,0610010F05Rik
22960,Glutamatergic,16801,0.0,2.2250738585072014e-308,3.0451897822476752,Car10
23278,Glutamatergic,18882,9.635428428024856e-66,1.1639597541054027e-62,0.8402289744639866,Sel1l
23731,Glutamatergic,20931,3.849217356755259e-18,4.649854566960353e-15,0.4181827481955871,Cep170b
24299,Glutamatergic,23747,9.010199843098969e-124,1.0884321410463555e-120,1.246602268081264,Dbn1
24385,Glutamatergic,24077,3.567175540939668e-77,4.309148053455118e-74,1.1801189676960444,Tbce
24471,Glutamatergic,24526,3.7440050914494413e-07,0.0004522758150470925,0.2191047777776629,Sirt5
24780,Glutamatergic,26829,8.281735400322014e-76,1.0004336363588993e-72,1.0530087673598385,Dph3
24831,Glutamatergic,26932,8.599394389062446e-20,1.0388068421987435e-16,0.48605293537713923,Mapk8
24834,Glutamatergic,26935,1.3938770976758737e-27,1.6838035339924555e-24,0.5839095831274208,Pspc1
24966,Glutamatergic,27568,4.234202903663156e-10,5.114917107625092e-07,-0.24532254579912394,Pabpn1
25259,Glutamatergic,28892,0.0,2.2250738585072014e-308,4.959939605452405,Ptk2b
25311,Glutamatergic,29885,8.650525773893156e-07,0.0010449835134862932,0.18908526548212512,Gm26782
25495,Glutamatergic,31083,5.4994438790936605e-18,6.643328205945142e-15,0.5492159417214078,Csmd3
25528,Glutamatergic,31263,4.2536221708937335e-70,5.13837558243963e-67,0.9652829184965479,Asap1
26450,Glutamatergic,35610,9.191264197319018e-180,1.1103047150361374e-176,1.7913382621066463,Stxbp5l
26983,Glutamatergic,38182,4.385112890001001e-50,5.297216371121208e-47,0.8313019519180003,Tbp
27180,Glutamatergic,38945,5.351951058155057e-72,6.465156878251308e-69,1.0917440026050853,Hnrnpll
27313,Glutamatergic,39458,1.0589149817453995e-08,1.2791692979484426e-05,-0.3062052558393553,Atat1
27688,Glutamatergic,41826,9.257685201932585e-12,1.1183283723934563e-08,0.337848987793512,Brd8
27843,Glutamatergic,42430,9.654153772416331e-17,1.1662217757078927e-13,0.4744225643665163,Pias2
28339,Glutamatergic,44753,2.6188809927693935e-274,3.1636082392654276e-271,2.0552872112133214,Chrm1
28655,Glutamatergic,46366,1.5367157352622287e-83,1.8563526081967724e-80,1.0960234568268223,Lnpk
28668,Glutamatergic,46579,2.0680793402125096e-31,2.4982398429767116e-28,0.7348326175827298,Cacfd1
28727,Glutamatergic,46810,3.630832173721342e-06,0.004386045265855381,0.25096793802815043,Ctsa
28837,Glutamatergic,47243,3.48235516911089e-140,4.2066850442859555e-137,1.6501210850695065,Mindy3
29059,Glutamatergic,48215,1.1765594735424413e-67,1.4212838440392691e-64,1.0454049806310999,Dnajc10
29505,Glutamatergic,50164,3.720934282554938e-80,4.494888613326366e-77,0.9172994014922224,Scai
29525,Glutamatergic,50204,2.690963396381513e-10,3.2506837828288675e-07,0.17491780319022854,Rabgap1
29565,Glutamatergic,50365,4.20522945842507e-07,0.0005079917185777485,0.2877942197357939,Etl4
29601,Glutamatergic,50535,1.782216751620929e-266,2.1529178359580823e-263,1.8606907159860393,Lzts3
