,index,transcript_name,p_raw,p_bonferroni
0,GABAergic,Myl6-206_ENSMUST00000218127,0.0,0.0
1,GABAergic,Rsrp1-201_ENSMUST00000078084,2.181836645228789e-48,7.546100221188289e-44
2,GABAergic,Gapdh-203_ENSMUST00000118875,1.5324980966793998e-42,5.300297917175372e-38
3,GABAergic,Rplp2-201_ENSMUST00000084434,1.9325903788284545e-34,6.684057084216093e-30
4,GABAergic,Rtn1-203_ENSMUST00000137990,2.7170759287667713e-32,9.397278807232755e-28
5,GABAergic,Rps19-205_ENSMUST00000129847,3.934195425428862e-20,1.3606808298388262e-15
6,GABAergic,Rplp2-203_ENSMUST00000106004,4.7982229043503456e-20,1.6595133736986104e-15
7,GABAergic,Morf4l1-202_ENSMUST00000169860,1.6931959796860939e-18,5.856087615342325e-14
8,GABAergic,Ubc-202_ENSMUST00000136312,3.6930557176917075e-18,1.277280250520854e-13
9,GABAergic,Noct-202_ENSMUST00000144826,4.085030621298183e-16,1.4128486906821897e-11
10,GABAergic,Kmt2d-201_ENSMUST00000023741,3.0032396221683776e-14,1.038700455723155e-09
11,GABAergic,Ssb-202_ENSMUST00000112260,2.048945529710726e-12,7.086483009057518e-08
12,GABAergic,Pfn2-201_ENSMUST00000066882,2.751371194866445e-12,9.515892414565086e-08
13,GABAergic,Ndufa10-201_ENSMUST00000027478,8.632207440865816e-12,2.985535265497851e-07
14,GABAergic,Ktn1-204_ENSMUST00000186466,1.47659845026702e-11,5.106963400093516e-07
15,GABAergic,Kmt2a-202_ENSMUST00000114689,9.875373111432263e-11,3.4154965443199624e-06
16,GABAergic,Actb-207_ENSMUST00000167721,2.7993838632006513e-10,9.681949029265773e-06
17,GABAergic,Fndc4-202_ENSMUST00000172435,8.763110105314901e-10,3.0308092610242116e-05
18,GABAergic,Sumo3-202_ENSMUST00000099538,1.745229564222507e-09,6.036050970819963e-05
19,GABAergic,Kmt2d-202_ENSMUST00000178486,2.009600282137871e-09,6.95040353580204e-05
20,GABAergic,Lsm7-201_ENSMUST00000035775,5.48021991065245e-09,0.00018953888582982564
21,GABAergic,Manf-205_ENSMUST00000160978,5.847706236254575e-09,0.00020224876788710073
22,GABAergic,Rpp21-201_ENSMUST00000025319,7.059510166183509e-09,0.00024416021860762283
23,GABAergic,Ywhaq-205_ENSMUST00000155480,1.772708508814817e-08,0.0006131089648586925
24,GABAergic,Cope-201_ENSMUST00000066469,3.9280256190748134e-08,0.001358546940613215
25,GABAergic,Cycs-202_ENSMUST00000161401,1.6960982637350643e-07,0.005866125454954093
26,GABAergic,Mrpl13-202_ENSMUST00000164542,2.7761350798147383e-07,0.009601540787047254
