,index,name,p_raw,p_corr,es
30,GABAergic,Cox5a-201_ENSMUST00000000090,3.007916943052759e-22,7.05356523145872e-19,0.10689769503452684
31,GABAergic,Cox5a-202_ENSMUST00000213678,3.35394719334989e-12,7.865006168405492e-09,0.09867149058610236
88,GABAergic,Sdhd-201_ENSMUST00000000175,1.036966610420487e-12,2.431686701436042e-09,-0.18733218614700764
160,GABAergic,Ckmt1-201_ENSMUST00000000317,2.092920103987759e-40,4.907897643851295e-37,-0.4535078242623731
179,GABAergic,Comt-202_ENSMUST00000115609,5.934255392210403e-61,1.3915828894733397e-57,-0.5207032600592276
192,GABAergic,Dazap2-201_ENSMUST00000000356,4.6427081900141455e-46,1.0887150705583171e-42,-0.5337699679886123
196,GABAergic,Mcts1-201_ENSMUST00000000365,1.629991181368434e-23,3.822329320308978e-20,-0.2622306309802038
230,GABAergic,Ndufa9-201_ENSMUST00000088194,6.128620089150286e-21,1.437161410905742e-17,-0.2889622465750534
409,GABAergic,Rpl13-201_ENSMUST00000000756,3.5512885194871554e-82,8.327771578197379e-79,0.2537307131885109
570,GABAergic,Ilf2-201_ENSMUST00000001042,1.8013313023776385e-06,0.004224121904075563,-0.1730433175772519
690,GABAergic,Ift20-203_ENSMUST00000128788,2.0737058823945884e-10,4.86284029421531e-07,-0.14800384192148908
705,GABAergic,Araf-202_ENSMUST00000120356,6.592801926606261e-227,1.5460120517891681e-223,0.46781857633607693
751,GABAergic,Snrnp27-201_ENSMUST00000001186,1.3085281070546016e-23,3.068498411043041e-20,-0.20212478296422365
762,GABAergic,Calm1-203_ENSMUST00000127300,2.7220711464670513e-174,6.383256838465235e-171,-0.32596370295635513
763,GABAergic,Calm1-204_ENSMUST00000153524,2.7559288814200214e-111,6.46265322692995e-108,-0.3006986636829865
765,GABAergic,Calm1-202_ENSMUST00000110082,0.0,2.2250738585072014e-308,-0.5819139424898871
804,GABAergic,Ckb-201_ENSMUST00000001304,1.391721209223236e-20,3.263586235628489e-17,-0.1444432567482048
824,GABAergic,Pfdn5-205_ENSMUST00000166658,1.3683789055828563e-14,3.208848533591798e-11,0.14067738509353678
826,GABAergic,Pfdn5-204_ENSMUST00000165717,4.0274725515473875e-16,9.444423133378624e-13,-0.18495023865784876
848,GABAergic,Fndc5-201_ENSMUST00000102600,0.0,2.2250738585072014e-308,1.9669684391354303
864,GABAergic,Hars-201_ENSMUST00000001416,1.0216978418057576e-27,2.3958814390345014e-24,-0.4149595777784443
865,GABAergic,Zmat2-201_ENSMUST00000001419,8.840092364935635e-308,2.0730016595774063e-304,-0.8863725957755442
1002,GABAergic,Tubb5-201_ENSMUST00000001566,1.733670318679126e-280,4.0654568973025505e-277,-1.0242957346262305
1045,GABAergic,Brpf1-206_ENSMUST00000131594,1.921204601540427e-123,4.505224790612301e-120,-0.4499033780049586
1076,GABAergic,Eef1e1-201_ENSMUST00000001757,1.3336422059236136e-107,3.1273909728908736e-104,0.6438344246432002
1115,GABAergic,Chordc1-201_ENSMUST00000001825,3.2334509887883816e-22,7.582442568708755e-19,-0.2650874803136296
1157,GABAergic,Sept7-202_ENSMUST00000165594,0.0,2.2250738585072014e-308,-0.6408044864449405
1158,GABAergic,Sept7-201_ENSMUST00000115272,3.0574878270862396e-185,7.169808954517231e-182,-1.5040307479783104
1174,GABAergic,Rac1-204_ENSMUST00000145709,2.3552154512336983e-59,5.522980233143022e-56,-0.4765860348050568
1175,GABAergic,Rac1-202_ENSMUST00000100489,3.661506795416052e-46,8.586233435250643e-43,-0.29443058828064217
1177,GABAergic,Rac1-201_ENSMUST00000080537,5.376199188061304e-34,1.2607187096003757e-30,-0.2715086750187421
1311,GABAergic,Pnck-203_ENSMUST00000114473,6.313252249819235e-68,1.4804576525826106e-64,0.9903005639336429
1320,GABAergic,Bcap31-201_ENSMUST00000002091,3.3879711952023924e-07,0.000794479245274961,-0.1173157994104006
1323,GABAergic,Kmt2a-201_ENSMUST00000002095,8.793742585407812e-11,2.062132636278132e-07,0.1344397313406307
1324,GABAergic,Kmt2a-202_ENSMUST00000114689,1.4121519857254202e-15,3.3114964065261106e-12,0.13143858139722875
1374,GABAergic,Sdf2-201_ENSMUST00000002133,1.0970250632040446e-08,2.5725237732134846e-05,-0.19184179536316215
1391,GABAergic,Psmc3-202_ENSMUST00000067663,6.855521670856752e-63,1.6076198318159083e-59,-0.43387218016044393
1497,GABAergic,Peg3-201_ENSMUST00000051209,1.48805783215895e-50,3.4894956164127374e-47,0.4597768915495424
1607,GABAergic,Ndufa11-201_ENSMUST00000002452,2.78e-319,6.5191201e-316,0.4092097912672479
1638,GABAergic,Ndufb2-205_ENSMUST00000135671,5.767020607119007e-34,1.352366332369407e-30,0.164922911823993
1639,GABAergic,Ndufb2-201_ENSMUST00000002490,2.6242965503649978e-16,6.15397541060592e-13,0.11463511962100625
1640,GABAergic,Ndufb2-202_ENSMUST00000119379,3.03749837495088e-73,7.122933689259815e-70,0.18754200192028136
1670,GABAergic,Snrpd1-201_ENSMUST00000002551,4.23613145641203e-28,9.933728265286211e-25,0.15273406938910306
1726,GABAergic,Mien1-201_ENSMUST00000002655,4.853245821118857e-200,1.138086145052372e-196,-0.6441957039173785
1742,GABAergic,Akap8l-201_ENSMUST00000050214,1.1552764082079193e-19,2.709123177247571e-16,-0.28519230041695565
1749,GABAergic,Clpp-201_ENSMUST00000002735,1.0871103878529844e-213,2.5492738595152484e-210,0.6878320077332765
1775,GABAergic,Naa20-202_ENSMUST00000110000,3.855688922627857e-22,9.041590523562325e-19,0.18034970560079966
1804,GABAergic,Mea1-201_ENSMUST00000002845,4.9338562640104276e-83,1.1569892939104453e-79,0.3517876859000939
1847,GABAergic,Epdr1-201_ENSMUST00000002885,5.41746029626766e-25,1.2703944394747663e-21,-0.31070198262659776
1880,GABAergic,Adprh-201_ENSMUST00000002923,2.0919017423058366e-20,4.905509585707187e-17,-0.24433044474776988
1992,GABAergic,Tomm40-202_ENSMUST00000093552,1.4914569892981572e-16,3.4974666399041785e-13,0.2923693059094372
2038,GABAergic,Hmgn2-203_ENSMUST00000102553,2.0928903618673184e-95,4.9078278985788614e-92,-0.6098951505171257
2042,GABAergic,Fam32a-201_ENSMUST00000003123,8.650057755668846e-58,2.0284385437043444e-54,-0.5836429288732723
2062,GABAergic,Atp5d-201_ENSMUST00000003156,2.1170678496155982e-11,4.964524107348578e-08,0.08509024372456242
2080,GABAergic,Lipe-201_ENSMUST00000003207,3.6272092815419577e-82,8.50580576521589e-79,-0.3768096922116866
2091,GABAergic,Pafah1b2-201_ENSMUST00000172450,5.289055575997663e-29,1.240283532571452e-25,-0.284528492291408
2113,GABAergic,Sri-201_ENSMUST00000003245,1.6608137483255988e-52,3.894608239823529e-49,-0.5972733319225911
2115,GABAergic,Sri-205_ENSMUST00000148633,4.3316480316056725e-52,1.0157714634115303e-48,-0.49639494319028055
2189,GABAergic,Car11-201_ENSMUST00000003360,2.2137940239588593e-109,5.191346986183525e-106,-0.8068944563703901
2220,GABAergic,Mrpl4-201_ENSMUST00000003386,5.508349865164398e-29,1.2917080433810512e-25,-0.3344436785872551
2269,GABAergic,Pld3-201_ENSMUST00000117095,9.335441496420446e-190,2.1891610309105945e-186,-0.9878048609481427
2298,GABAergic,Elavl3-201_ENSMUST00000003501,4.877994424599503e-80,1.1438896925685834e-76,0.4389516599619485
2301,GABAergic,Rab3b-201_ENSMUST00000003502,0.0,2.2250738585072014e-308,3.1344362826669654
2302,GABAergic,Rab3b-202_ENSMUST00000106650,0.0,2.2250738585072014e-308,2.263745381529324
2352,GABAergic,Med29-201_ENSMUST00000003536,4.940309733416746e-26,1.1585026324862268e-22,-0.31992704614942546
2361,GABAergic,Bicd1-209_ENSMUST00000203502,1.232968273278446e-44,2.891310600837956e-41,-0.3866533030072985
2581,GABAergic,Calr-204_ENSMUST00000154774,5.682309153595653e-56,1.3325014965181807e-52,-0.5078808611796228
2582,GABAergic,Calr-201_ENSMUST00000003912,3.8027309334850524e-41,8.917404039022448e-38,-0.2394073518601667
2628,GABAergic,Lin7b-201_ENSMUST00000003971,1.2443475988003076e-161,2.9179951191867213e-158,-1.098440052848865
2655,GABAergic,Rpl8-201_ENSMUST00000004072,1.939932479170031e-08,4.549141663653722e-05,0.1019207373316986
2680,GABAergic,Gstm5-204_ENSMUST00000169365,2.814494792532499e-32,6.59999028848871e-29,-0.5301917228638953
2712,GABAergic,Hmox2-201_ENSMUST00000004172,1.1303999055976967e-21,2.6507877786265986e-18,-0.3172419920631522
2713,GABAergic,Hmox2-203_ENSMUST00000120232,2.4639356571518006e-21,5.777929116020972e-18,-0.38184805774301545
2778,GABAergic,Psap-205_ENSMUST00000179238,5.235820751175541e-16,1.2277999661506644e-12,-0.28633853885737715
2801,GABAergic,Phb2-201_ENSMUST00000004375,1.1647557651670311e-08,2.731352269316688e-05,-0.2184968532659166
2804,GABAergic,Eno2-201_ENSMUST00000004378,5.9668313097856466e-80,1.3992219421447342e-76,-0.8143378648808195
2897,GABAergic,Ppp1cc-202_ENSMUST00000102528,3.159478537051051e-27,7.408977169384715e-24,0.4351053596403007
2924,GABAergic,Tax1bp1-201_ENSMUST00000080723,1.9929077797613419e-41,4.673368743540347e-38,-0.3932382621469097
3073,GABAergic,Polr2e-201_ENSMUST00000004786,6.879087506724828e-99,1.613146020326972e-95,-0.7131351606645238
3088,GABAergic,Mtfp1-201_ENSMUST00000004868,2.6698624881109103e-111,6.260827534620084e-108,0.994133822226277
3104,GABAergic,Rab11a-208_ENSMUST00000172298,5.279154710868742e-38,1.23796177969872e-34,-0.36557799537209323
3149,GABAergic,Ap1s1-201_ENSMUST00000111080,1.2700272277523017e-145,2.9782138490791473e-142,-0.7497398017804979
3153,GABAergic,Srpk1-204_ENSMUST00000130643,2.9942511247722033e-46,7.0215188875908164e-43,-0.39500387423766226
3260,GABAergic,Hnrnpa2b1-202_ENSMUST00000090002,8.227128423359076e-17,1.9292616152777033e-13,0.3595240736056695
3289,GABAergic,Cstb-201_ENSMUST00000005185,3.5128064389568684e-32,8.237531099353856e-29,0.2547489221710215
3306,GABAergic,Jkamp-201_ENSMUST00000057257,4.761514137347051e-12,1.1165750652078835e-08,-0.2609801028489609
3358,GABAergic,Prdx2-201_ENSMUST00000005292,4.473608452646774e-12,1.0490611821456686e-08,0.1330387180925463
3363,GABAergic,Prdx2-208_ENSMUST00000164807,7.791907852161802e-11,1.8272023913319427e-07,0.1104262006919221
3365,GABAergic,Prdx2-205_ENSMUST00000127215,1.5696221414744858e-10,3.6807639217576695e-07,0.16554273511936923
3388,GABAergic,Ufd1-201_ENSMUST00000005394,2.741604796684697e-70,6.429063248225615e-67,-0.6696627890661428
3479,GABAergic,Prkaca-201_ENSMUST00000005606,1.2742260581719244e-07,0.00029880601064131626,0.16068979210676648
3558,GABAergic,Ube2m-201_ENSMUST00000005714,6.632169983247599e-20,1.5552438610715618e-16,0.17514973865923844
3569,GABAergic,Mef2c-217_ENSMUST00000198069,6.477764600248065e-65,1.5190357987581713e-61,-0.6774633960773935
3626,GABAergic,Psmd4-202_ENSMUST00000107237,1.5561056592706515e-06,0.0036490677709896777,-0.13195964249556358
3711,GABAergic,Ranbp1-202_ENSMUST00000115645,4.9769431396245275e-57,1.1670931662419517e-53,0.2660548722572962
3723,GABAergic,Psmb4-202_ENSMUST00000133412,3.7581184001224485e-30,8.812787648287142e-27,-0.28723908668106013
3744,GABAergic,Rsl1d1-201_ENSMUST00000119953,5.0712295873254955e-45,1.1892033382278287e-41,-0.5444195233230236
3924,GABAergic,Napa-201_ENSMUST00000006181,2.297726928512749e-81,5.388169647362397e-78,-0.31848275169665907
3929,GABAergic,Sra1-204_ENSMUST00000173482,1.0438688572521685e-48,2.447872470256335e-45,-0.533123575851369
3935,GABAergic,Atp5g1-201_ENSMUST00000090541,2.8155809912968615e-18,6.60253742459114e-15,-0.0973979863127572
3937,GABAergic,Snf8-204_ENSMUST00000150946,3.572583752534956e-37,8.377708899694472e-34,-0.3218403004424921
3938,GABAergic,Snf8-201_ENSMUST00000006217,3.1724659139275523e-40,7.43943256816011e-37,-0.41696176419597286
3943,GABAergic,Tbcb-201_ENSMUST00000006254,4.305891963589975e-15,1.0097316654618492e-11,0.14392433362530355
4003,GABAergic,Atp6v1b2-201_ENSMUST00000006435,1.8645983788822672e-60,4.3724831984789163e-57,-0.36874985874618194
4044,GABAergic,Arpc2-203_ENSMUST00000113820,1.4337274014966824e-169,3.36209075650972e-166,-0.7723582908063902
4055,GABAergic,Tmem147-207_ENSMUST00000209065,8.284558363341303e-10,1.9427289362035356e-06,-0.22436019979027666
