,index,name,p_raw,p_corr,es,index_name
98159,L6 CT Grp_1,Actb-201_ENSMUST00000100497,6.747625310475259e-10,3.2159182229725084e-06,0.15414947065022488,L6 CT Grp_1_Actb
92941,L6 CT Grp_1,Pcsk2-201_ENSMUST00000028905,7.013781572300837e-07,0.003342768297358579,0.22999487881904024,L6 CT Grp_1_Pcsk2
259878,L6 CT Nxph2_1,Ftl1-201_ENSMUST00000094434,1.57708929208095e-06,0.0073918175119834124,0.23306661946744267,L6 CT Nxph2_1_Ftl1
75613,L6 CT Grp_1,Hivep2-204_ENSMUST00000187083,2.241784707749894e-07,0.0010684345917135994,0.24049433899533934,L6 CT Grp_1_Hivep2
193179,L6 CT Grp_2,Cd47-201_ENSMUST00000084838,6.65983428142947e-07,0.0036715666393520668,0.25360488426655703,L6 CT Grp_2_Cd47
77873,L6 CT Grp_1,Atp2b1-207_ENSMUST00000219557,6.630191416396877e-08,0.00031599492290547513,0.25979062715254475,L6 CT Grp_1_Atp2b1
21694,L6 CT Gpr139,Srp9-201_ENSMUST00000027792,5.972659051974366e-07,0.0038487814930922813,0.26228828515825775,L6 CT Gpr139_Srp9
128126,L6 CT Grp_1,Gpx1-201_ENSMUST00000082429,2.0607454941148883e-06,0.009821513024951557,0.2654473394050667,L6 CT Grp_1_Gpx1
192667,L6 CT Grp_2,Aes-201_ENSMUST00000002518,4.964782421738846e-07,0.002737084549104626,0.27999370760967324,L6 CT Grp_2_Aes
74281,L6 CT Grp_1,Mkl2-204_ENSMUST00000149359,1.6227796764381504e-09,7.734167937904225e-06,0.2835775328155212,L6 CT Grp_1_Mkl2
122149,L6 CT Grp_1,Klf13-201_ENSMUST00000063694,2.450130207146704e-08,0.00011677320567261192,0.31660285491209716,L6 CT Grp_1_Klf13
253728,L6 CT Nxph2_1,Ttc3-230_ENSMUST00000231569,1.6372210516148755e-08,7.673655068918921e-05,0.321161883871973,L6 CT Nxph2_1_Ttc3
11334,L6 CT Gpr139,Actr10-201_ENSMUST00000021479,1.0931590724698404e-06,0.007044317062995652,0.3228234672611707,L6 CT Gpr139_Actr10
54323,L6 CT Gpr139,Aes-201_ENSMUST00000002518,1.1224967820651928e-07,0.0007233369263628102,0.3569553175535276,L6 CT Gpr139_Aes
12765,L6 CT Gpr139,Scamp1-201_ENSMUST00000022197,1.162388108859436e-06,0.0074904289734902055,0.3595793896643622,L6 CT Gpr139_Scamp1
261072,L6 CT Nxph2_1,Mrpl35-202_ENSMUST00000205435,1.950416363234728e-06,0.009141601494481169,0.3825687084388978,L6 CT Nxph2_1_Mrpl35
221940,L6 CT Nxph2_1,St13-205_ENSMUST00000172107,7.40549288567396e-07,0.003470954515515385,0.3920803974583533,L6 CT Nxph2_1_St13
269885,L6 CT Nxph2_1,Abracl-201_ENSMUST00000020002,1.7249960652546755e-07,0.0008085056557848664,0.4114736427222052,L6 CT Nxph2_1_Abracl
190399,L6 CT Grp_2,Mrps16-202_ENSMUST00000224286,1.3104932841073163e-06,0.007224749475283634,0.4173004246309153,L6 CT Grp_2_Mrps16
151918,L6 CT Grp_2,Clu-201_ENSMUST00000022616,1.794763537937079e-06,0.009894531384647116,0.44267878447088815,L6 CT Grp_2_Clu
264732,L6 CT Nxph2_1,Pop5-202_ENSMUST00000128830,1.1876890433673799e-07,0.0005566698546262909,0.45518618571049885,L6 CT Nxph2_1_Pop5
246780,L6 CT Nxph2_1,Dync1li2-201_ENSMUST00000041769,4.633122675165623e-08,0.00021715445978501274,0.4612910200567315,L6 CT Nxph2_1_Dync1li2
