,index,name,p_raw,p_corr,es
689,L6 CT Gpr139,Sebox-201_ENSMUST00000001130,1.2940603382259078e-07,0.000833892481952775,2.1052525312642936
695,L6 CT Gpr139,Col6a1-201_ENSMUST00000001147,2.76946218564868e-15,1.7846414324320095e-11,1.4874064808524734
1062,L6 CT Gpr139,Ddt-201_ENSMUST00000001716,6.837941300227415e-07,0.004406369373866546,1.0553126823009675
1290,L6 CT Gpr139,Blvra-201_ENSMUST00000002064,1.0228561717409188e-10,6.591285170698481e-07,0.8527948525659261
1374,L6 CT Gpr139,Sdf2-201_ENSMUST00000002133,3.971076637502249e-07,0.002558961785206449,0.5310892271684864
2674,L6 CT Gpr139,Brinp2-201_ENSMUST00000004133,1.860594112615886e-07,0.001198966846169677,1.3383193884218394
3088,L6 CT Gpr139,Mtfp1-201_ENSMUST00000004868,1.1112611651902342e-07,0.0007160966948485869,0.9952542130219286
3411,L6 CT Gpr139,Cadm3-202_ENSMUST00000111220,7.525780616367637e-07,0.004849613029187305,0.947762537766593
3625,L6 CT Gpr139,Psmd4-201_ENSMUST00000071664,1.2487180180913452e-06,0.008046738908580629,0.5817946174125086
4403,L6 CT Gpr139,Eif1b-201_ENSMUST00000007139,3.3839239192492025e-08,0.00021806005735641861,0.6605611821303858
4405,L6 CT Gpr139,Chrd-201_ENSMUST00000007171,5.793294008137126e-07,0.003733198658843564,1.7502178077976622
4599,L6 CT Gpr139,0610009B22Rik-201_ENSMUST00000007921,3.641545224811742e-08,0.00023466117428686865,0.6084620220198751
4677,L6 CT Gpr139,Ctsd-201_ENSMUST00000066401,1.8869124235792206e-08,0.00012159263657544497,0.8247355295894105
4978,L6 CT Gpr139,Cabp7-201_ENSMUST00000009219,1.0053787792996352e-14,6.47866085380685e-11,3.1331242563977635
5051,L6 CT Gpr139,Ube2g2-204_ENSMUST00000174510,4.1757508792887694e-08,0.0002690853866613683,1.1863221982514474
5059,L6 CT Gpr139,Syn2-206_ENSMUST00000204617,9.444116411833382e-09,6.0857886157854314e-05,1.0930977114811093
5088,L6 CT Gpr139,Srp14-201_ENSMUST00000009693,2.057296557424116e-09,1.3257219016041004e-05,0.5635702721526981
5206,L6 CT Gpr139,Kdsr-201_ENSMUST00000010049,3.095396949809355e-07,0.0019946737944571487,0.9290496420375551
5388,L6 CT Gpr139,Pigyl-201_ENSMUST00000123680,1.6418908610480895e-07,0.0010580344708593888,0.45550032953539343
5413,L6 CT Gpr139,Acaa1b-201_ENSMUST00000010795,2.541170876253893e-25,1.6375305126580087e-21,4.838845834182927
5532,L6 CT Gpr139,Pgam1-201_ENSMUST00000011896,1.1817302010234882e-07,0.0007615069415395358,0.2720645411484659
5773,L6 CT Gpr139,Tango2-202_ENSMUST00000125287,1.2066975617543495e-06,0.007775959087945028,0.7735633101910904
6625,L6 CT Gpr139,Qdpr-201_ENSMUST00000015950,1.3827374832462498e-07,0.0008910360342038833,0.5986520732246117
6677,L6 CT Gpr139,Lta4h-201_ENSMUST00000016033,7.641977404576728e-09,4.924490239509244e-05,1.222918771773625
6793,L6 CT Gpr139,Prelid3b-201_ENSMUST00000016401,8.212887958657225e-07,0.0052923850005587155,0.5122606531468339
6933,L6 CT Gpr139,Ift27-201_ENSMUST00000016781,1.605279732677199e-09,1.034442259737187e-05,0.9535756769559036
7120,L6 CT Gpr139,Plxdc1-201_ENSMUST00000017561,1.049689002460664e-07,0.0006764195931856519,1.3832729243609834
7156,L6 CT Gpr139,Timp2-201_ENSMUST00000017610,7.198058124576583e-16,4.63842865547715e-12,3.1102467068434176
7349,L6 CT Gpr139,Mlx-202_ENSMUST00000107302,5.117881160334129e-08,0.0003297962619719313,1.0831887787978753
7728,L6 CT Gpr139,Gabarap-201_ENSMUST00000018711,2.749651306215152e-10,1.771875301725044e-06,0.5444493979001859
7729,L6 CT Gpr139,Gabarap-202_ENSMUST00000108592,2.6006705853220796e-10,1.675872125181548e-06,0.5847838701362154
7730,L6 CT Gpr139,Gabarap-204_ENSMUST00000144443,1.238390465679278e-07,0.0007980188160837267,0.5143588492488211
7803,L6 CT Gpr139,Slc25a39-201_ENSMUST00000018821,2.646642257612349e-14,1.7054962708053978e-10,1.2686950569233835
7883,L6 CT Gpr139,Lsp1-211_ENSMUST00000149521,5.766897311651716e-15,3.7161886276283657e-11,3.047954384267124
7884,L6 CT Gpr139,Lsp1-209_ENSMUST00000140626,5.892480364484976e-13,3.7971143468741185e-09,2.5797406966059198
8012,L6 CT Gpr139,Slc25a22-221_ENSMUST00000201558,1.2360746446862763e-06,0.007965265010358364,0.7445058679965066
8026,L6 CT Gpr139,Slc25a22-203_ENSMUST00000106007,7.0429176168378784e-09,4.538456112290329e-05,1.0226366369590654
8031,L6 CT Gpr139,Atp6ap1-201_ENSMUST00000019231,2.2074070118968354e-10,1.4224530784663208e-06,0.577639383631289
8217,L6 CT Gpr139,Trip10-207_ENSMUST00000224947,3.208468241664683e-07,0.0020675369349287217,1.7915433448569953
8262,L6 CT Gpr139,Cyb561-201_ENSMUST00000019734,6.721323680979501e-17,4.33122098002319e-13,1.6352973835667788
8614,L6 CT Gpr139,Rspo3-201_ENSMUST00000092623,4.242060641628012e-12,2.733583877465091e-08,2.0437799462957917
8689,L6 CT Gpr139,Zwint-201_ENSMUST00000020081,1.9958452200844556e-13,1.286122659822423e-09,0.4734460900162558
9109,L6 CT Gpr139,Pno1-201_ENSMUST00000020317,1.5962299356186993e-08,0.00010286105705126899,0.9630432096426298
9457,L6 CT Gpr139,Hint1-201_ENSMUST00000020504,3.885590036110039e-07,0.002503874219269309,0.35674907977573866
10154,L6 CT Gpr139,Laptm4a-201_ENSMUST00000020909,1.7443632543608857e-10,1.1240676811101547e-06,0.7991112504651001
10884,L6 CT Gpr139,Nr1d1-201_ENSMUST00000064941,9.868302224832668e-09,6.359133953682171e-05,1.4355628083095333
11334,L6 CT Gpr139,Actr10-201_ENSMUST00000021479,1.0931590724698404e-06,0.007044317062995652,0.3228234672611707
11745,L6 CT Gpr139,Isca2-201_ENSMUST00000021667,1.446865107485321e-06,0.00932359875263541,0.6436061485814193
11796,L6 CT Gpr139,Cyp46a1-201_ENSMUST00000021684,6.371860903333365e-15,4.1060271661080206e-11,1.3591683671557933
12323,L6 CT Gpr139,Pdlim7-202_ENSMUST00000069929,1.561765270470906e-10,1.0064015402914518e-06,0.6118360187025011
12765,L6 CT Gpr139,Scamp1-201_ENSMUST00000022197,1.162388108859436e-06,0.0074904289734902055,0.3595793896643622
12940,L6 CT Gpr139,Kctd6-201_ENSMUST00000022272,5.291513158438897e-07,0.003409851079298025,1.5285885088722533
13574,L6 CT Gpr139,Clu-201_ENSMUST00000022616,2.2067687164959163e-08,0.00014220417609099684,0.6227693562651284
14527,L6 CT Gpr139,Efcab6-205_ENSMUST00000144169,1.4909852166059934e-10,9.607908735809022e-07,2.4947910882389066
14570,L6 CT Gpr139,Nell2-202_ENSMUST00000166170,4.1407269948383155e-09,2.6682844754738105e-05,0.9301609167121985
14779,L6 CT Gpr139,Rogdi-207_ENSMUST00000202281,5.570077215467575e-09,3.5893577576473055e-05,0.408575490077034
14836,L6 CT Gpr139,Maf1-201_ENSMUST00000023212,8.025331876227977e-11,5.171523861041308e-07,0.8641437301826862
14961,L6 CT Gpr139,Ly6h-204_ENSMUST00000127095,3.2328939751215595e-07,0.002083276877568333,0.7401727775172389
14974,L6 CT Gpr139,Ly6e-213_ENSMUST00000191127,7.103975703323556e-23,4.5778019432217e-19,1.680804220781794
14987,L6 CT Gpr139,Lynx1-201_ENSMUST00000023259,3.172526625920469e-07,0.0020443761577431502,0.5771228323557791
15982,L6 CT Gpr139,1110004E09Rik-201_ENSMUST00000023694,1.504999798065754e-09,9.698218698735719e-06,0.8037280471159978
16243,L6 CT Gpr139,Akirin1-201_ENSMUST00000102636,4.5332561363571455e-07,0.0029212302542685445,0.7319592733019471
16289,L6 CT Gpr139,Msrb2-201_ENSMUST00000023856,4.6643597597741466e-07,0.00300571342919846,0.9119016532872086
17081,L6 CT Gpr139,Atp6v0c-201_ENSMUST00000024932,8.157193406813379e-08,0.0005256495431350542,0.25583761608236344
17739,L6 CT Gpr139,Cidea-201_ENSMUST00000025404,1.998759529071137e-26,1.2880006405334408e-22,4.040824286855962
18275,L6 CT Gpr139,Gal-201_ENSMUST00000025842,4.984170565648356e-13,3.2117995125038e-09,6.622659433972302
18311,L6 CT Gpr139,Drap1-209_ENSMUST00000136579,3.1367297703841525e-07,0.0020213086640355478,0.7802813706543192
18434,L6 CT Gpr139,Prdx5-201_ENSMUST00000025904,3.272847740528953e-10,2.1090230839968574e-06,0.7422548683081605
18435,L6 CT Gpr139,Prdx5-203_ENSMUST00000149261,5.059394675811371e-13,3.2602739290928474e-09,1.501731084498335
18436,L6 CT Gpr139,Prdx5-204_ENSMUST00000173091,3.9017389472170224e-07,0.0025142805775866493,1.8811309844628399
18437,L6 CT Gpr139,Prdx5-202_ENSMUST00000145300,8.611223720736972e-08,0.0005549072565642904,0.893730494684071
18817,L6 CT Gpr139,Ubtd1-201_ENSMUST00000026170,1.1669433910632835e-06,0.007519783212011799,1.8896126230924313
18895,L6 CT Gpr139,Kazald1-201_ENSMUST00000026234,9.081054995571952e-15,5.851831839146566e-11,2.6857631705570006
18980,L6 CT Gpr139,Sacm1l-201_ENSMUST00000026270,1.5314911230184464e-06,0.00986892879673087,0.6815015776164257
20097,L6 CT Gpr139,Sec61a2-202_ENSMUST00000102981,5.158198620125027e-08,0.00033239431908085675,0.6270824493542904
20164,L6 CT Gpr139,Nop16-201_ENSMUST00000026987,1.0813396771848068e-07,0.0006968152879778895,0.5145155963513508
20170,L6 CT Gpr139,4833439L19Rik-201_ENSMUST00000026989,2.239748086396227e-09,1.4432936668737286e-05,0.7869995780263697
20898,L6 CT Gpr139,Wnt10a-201_ENSMUST00000006718,2.214619299604712e-09,1.4271006766652764e-05,2.014611803263769
21198,L6 CT Gpr139,Bok-201_ENSMUST00000027499,1.1625191049723505e-07,0.0007491273112441827,2.194894869783983
21416,L6 CT Gpr139,Ptpn4-201_ENSMUST00000064091,1.1938566976245528e-06,0.0076932125594926185,0.9741965790463472
21424,L6 CT Gpr139,Dbi-201_ENSMUST00000027634,4.740848305265387e-08,0.00030550026479130157,0.7264729814630142
21550,L6 CT Gpr139,Cyb5r1-201_ENSMUST00000027726,4.104365201290827e-17,2.644852935711809e-13,2.642714870107467
21596,L6 CT Gpr139,Glul-202_ENSMUST00000139476,1.7393399857184998e-09,1.1208306867970013e-05,1.1922786754291055
21600,L6 CT Gpr139,Glul-201_ENSMUST00000086199,2.9264156282714664e-10,1.885782230858133e-06,1.0374061950818056
21694,L6 CT Gpr139,Srp9-201_ENSMUST00000027792,5.972659051974366e-07,0.0038487814930922813,0.26228828515825775
21803,L6 CT Gpr139,Atp1b1-201_ENSMUST00000027863,8.109935751010404e-12,5.2260425979511044e-08,0.4415768757089742
22409,L6 CT Gpr139,Ak1-202_ENSMUST00000113277,4.188493924595686e-09,2.6990654850094602e-05,0.5569536240210762
22595,L6 CT Gpr139,Psmd5-201_ENSMUST00000028225,2.3405917045434936e-09,1.5082772944078273e-05,1.08098021539108
23910,L6 CT Gpr139,Stmn2-201_ENSMUST00000029002,8.041066370650305e-07,0.005181663169247057,0.3454999641867138
24664,L6 CT Gpr139,Ssr3-201_ENSMUST00000029414,2.6305777959657458e-08,0.00016951443317203267,0.8891279010886692
24795,L6 CT Gpr139,Slc6a17-206_ENSMUST00000168211,6.463370616897379e-07,0.004164996025528671,1.0671219795075473
27327,L6 CT Gpr139,Acot7-202_ENSMUST00000075363,2.2139621470744095e-10,1.4266772075747494e-06,0.5626066891510604
27497,L6 CT Gpr139,Fbxo44-201_ENSMUST00000057907,5.424568172331754e-08,0.00034955917302505825,1.2271825227165905
27498,L6 CT Gpr139,Fbxo44-208_ENSMUST00000167160,3.872890676348975e-08,0.0002495690751839279,1.0013413128525661
27685,L6 CT Gpr139,Ccnl2-205_ENSMUST00000139066,1.5640449326167986e-07,0.001007870554578265,0.8671840936977979
27774,L6 CT Gpr139,Lrpap1-201_ENSMUST00000030986,1.3258859228964665e-08,8.544008887144831e-05,0.6626111279877218
28397,L6 CT Gpr139,Tesc-201_ENSMUST00000031304,3.7015148479706033e-07,0.0023852561680322566,0.6929486864679304
29289,L6 CT Gpr139,Rbm28-201_ENSMUST00000007993,9.682452094887394e-09,6.239372129945437e-05,0.7563722902303676
30376,L6 CT Gpr139,Creld1-201_ENSMUST00000032422,1.3498113562865253e-08,8.698184379910368e-05,0.9656702414624627
30380,L6 CT Gpr139,Emc3-201_ENSMUST00000032425,3.701426820183684e-08,0.00023851994429263662,0.605980538512485
30399,L6 CT Gpr139,Ccdc91-201_ENSMUST00000032441,6.347871731028212e-07,0.00409056854347458,1.1578028030920797
31754,L6 CT Gpr139,Oat-201_ENSMUST00000084500,9.488082529056915e-07,0.006114120381724276,0.8190385055692513
31863,L6 CT Gpr139,Atp6ap2-201_ENSMUST00000033313,7.190827088180754e-08,0.0004633768975623678,0.4073794617161788
32642,L6 CT Gpr139,Coprs-201_ENSMUST00000033839,2.062366242249831e-09,1.3289888065057912e-05,0.816253383329065
33314,L6 CT Gpr139,Mt1-201_ENSMUST00000034215,1.9489665482049002e-18,1.2559140436632377e-14,1.739916942450484
33430,L6 CT Gpr139,Map1lc3b-201_ENSMUST00000034270,2.5707019102186835e-08,0.00016565603109449197,0.4549041768354378
33544,L6 CT Gpr139,Hsbp1-201_ENSMUST00000034300,1.215611361304462e-06,0.007833399612245953,0.22600097106437378
33548,L6 CT Gpr139,Rab3a-202_ENSMUST00000110090,4.3924210326234255e-12,2.8304761134225355e-08,1.5830292810915063
