,index,name,p_raw,p_corr,es
23,L23_IT,C1ql3,0.0,2.2250738585072014e-308,3.169976350486956
26,L23_IT,Calb1,0.0,2.2250738585072014e-308,2.4701084844206944
68,L23_IT,Cux2,0.0,2.2250738585072014e-308,6.559224577249052
105,L23_IT,Igfbp5,0.0,2.2250738585072014e-308,0.674377200486207
116,L23_IT,Lamp5,0.0,2.2250738585072014e-308,4.147608306482503
160,L23_IT,Penk,2.2609266758712968e-30,4.5218533517425936e-29,0.08487425662355008
167,L23_IT,Pou3f3,0.0,2.2250738585072014e-308,0.7313173182435779
177,L23_IT,Ptprk,0.0,2.2250738585072014e-308,1.8532337769585112
179,L23_IT,Ptprt,0.0,2.2250738585072014e-308,1.124504621816735
189,L23_IT,Rgs6,0.0,2.2250738585072014e-308,1.9608142919454803
201,L23_IT,Sertm1,0.0,2.2250738585072014e-308,4.3772630100909025
208,L23_IT,Slc30a3,0.0,2.2250738585072014e-308,2.9832300210903986
221,L23_IT,Syndig1,0.0,2.2250738585072014e-308,0.7595403779680296
245,L23_IT,Unc5d,0.0,2.2250738585072014e-308,3.0501816103290222
251,L23_IT,Wipf3,0.0,2.2250738585072014e-308,1.6131045762108123
295,L45_IT,Cdh12,0.0,2.2250738585072014e-308,1.9053206749740141
347,L45_IT,Gad2,1.1169804211397927e-47,2.2339608422795855e-46,0.05183649275191904
370,L45_IT,Lamp5,0.0,2.2250738585072014e-308,1.452252083157199
396,L45_IT,Nr4a1,0.0,2.2250738585072014e-308,0.8058559139809329
421,L45_IT,Pou3f3,0.0,2.2250738585072014e-308,0.9192041181685795
423,L45_IT,Prdm8,0.0,2.2250738585072014e-308,3.4281170306742776
431,L45_IT,Ptprk,0.0,2.2250738585072014e-308,1.851663189874869
433,L45_IT,Ptprt,4.1648906629077415e-155,8.329781325815483e-154,0.454977737779668
435,L45_IT,Pvalb,3.070823424918429e-08,6.141646849836858e-07,0.0655879751272197
446,L45_IT,Rorb,0.0,2.2250738585072014e-308,5.749226623428573
450,L45_IT,Satb2,0.0,2.2250738585072014e-308,0.45727445354371987
462,L45_IT,Slc30a3,0.0,2.2250738585072014e-308,3.1036986965798894
475,L45_IT,Syndig1,0.0,2.2250738585072014e-308,1.2034881637796246
499,L45_IT,Unc5d,0.0,2.2250738585072014e-308,3.3508270374443523
501,L45_IT,Vip,6.7581362411558755e-09,1.351627248231175e-07,0.02319441159977753
525,L56_NP,Bcl11b,0.0,2.2250738585072014e-308,4.386100477021749
534,L56_NP,Calb1,1.9620653747002848e-21,4.512750361810655e-20,0.1904557940815934
536,L56_NP,Camk2d,0.0,2.2250738585072014e-308,3.871273766507149
592,L56_NP,Fezf2,0.0,2.2250738585072014e-308,5.8941474580063575
657,L56_NP,Olfm3,0.0,2.2250738585072014e-308,4.258935437311928
687,L56_NP,Ptprt,6.67350745466361e-19,1.5349067145726303e-17,0.39009967214246544
689,L56_NP,Pvalb,6.102660085054101e-110,1.4036118195624432e-108,0.3901882133488028
697,L56_NP,Rgs6,6.784023526038839e-92,1.560325410988933e-90,0.8269228499862926
698,L56_NP,Rnf152,0.0,2.2250738585072014e-308,5.6139389174955525
724,L56_NP,Spon1,0.0,2.2250738585072014e-308,5.893147587849191
728,L56_NP,Sulf2,0.0,2.2250738585072014e-308,2.668330310695267
732,L56_NP,Tac2,9.77857865536079e-63,2.2490730907329817e-61,0.2508329575349295
744,L56_NP,Tox,0.0,2.2250738585072014e-308,3.744959315894377
745,L56_NP,Trp53i11,0.0,2.2250738585072014e-308,5.0748307498139855
748,L56_NP,Tshz2,0.0,2.2250738585072014e-308,8.022744865281473
755,L56_NP,Vip,8.591372655118838e-71,1.9760157106773329e-69,0.15001195685090885
803,L5_IT,Cdh12,0.0,2.2250738585072014e-308,0.9321262282408025
855,L5_IT,Gad2,3.5389046371694144e-186,7.431699738055771e-185,0.11800016788573053
