,index,name,p_raw,p_corr,es,cluster,chromosome
48065,F,4930512M02Rik-201_ENSMUST00000081896,2.980517055562496e-06,0.004348574384065682,3.020833654346609,Astro,11
54590,F,Sdha-206_ENSMUST00000161434,3.273724173423947e-06,0.004776363569025539,5.333559148574943,Astro,13
110822,M,Timm23-201_ENSMUST00000013845,1.0020156123343342e-07,3.5471352676635434e-05,5.605377199499996,Astro,14
115490,M,Faim-201_ENSMUST00000035038,1.8314310869815836e-05,0.0064832660479148055,5.3108034187283675,Astro,9
203,F,Tram1-201_ENSMUST00000027068,1.1560061464856739e-07,0.001120169955944618,3.241082593032896,Endo,1
2430,F,Ccnt2-202_ENSMUST00000112570,1.3537040013740507e-07,0.0013117391773314552,3.9767774639046434,Endo,1
3251,F,Suco-204_ENSMUST00000192422,2.39801348525234e-07,0.0023236750672095173,3.3738968856570026,Endo,1
3403,F,Tada1-201_ENSMUST00000027846,3.0102156091124405e-07,0.002916898925229955,3.5736215240269598,Endo,1
4849,F,Tubb4b-201_ENSMUST00000043584,9.692730108706843e-07,0.009392255475336932,5.216987702896871,Endo,2
5061,F,Sdccag3-202_ENSMUST00000077983,1.0128372389620688e-06,0.009814392845542447,4.559872994319148,Endo,2
6287,F,Psmd14-201_ENSMUST00000028278,5.667175953075293e-07,0.005491493498529959,5.251217766600238,Endo,2
7995,F,Trpm7-202_ENSMUST00000103224,2.229708628979668e-07,0.0021605876614812984,3.979156666468052,Endo,2
8877,F,Trp53inp2-201_ENSMUST00000043237,2.739138081011831e-08,0.00026542248005004645,3.2210304775091134,Endo,2
11095,F,Pdk3-201_ENSMUST00000045748,2.0056793475141156e-07,0.001943503287741178,4.519898888943057,Endo,X
12349,F,Prkci-201_ENSMUST00000108249,6.31098832662245e-08,0.0006115347688497155,3.530851331534436,Endo,3
12798,F,Ufm1-203_ENSMUST00000146598,9.740746102695961e-07,0.009438782973512387,3.2854968700214235,Endo,3
13277,F,Fbxw7-202_ENSMUST00000107675,1.615453473268332e-07,0.0015653744155970136,3.2068783363432307,Endo,3
14362,F,Olfml3-202_ENSMUST00000154145,8.142180940610988e-08,0.0007889773331452047,3.135807920234697,Endo,3
16082,F,Smim8-207_ENSMUST00000139922,4.13249400454372e-08,0.0004004386690402865,4.983349549722206,Endo,4
17999,F,Rlf-201_ENSMUST00000056635,2.403649121424445e-08,0.00023291359986602871,3.1723893514774146,Endo,4
18538,F,Med18-201_ENSMUST00000102567,5.0014186742271555e-08,0.00048463746953261136,4.312871352114818,Endo,4
20288,F,Kmt2c-208_ENSMUST00000174734,2.094103277084203e-07,0.002029186075494593,3.13172144867598,Endo,5
20467,F,Preb-206_ENSMUST00000201821,3.36423568506161e-07,0.0032599443788247,3.3024566476435386,Endo,5
22266,F,Gm10419-202_ENSMUST00000196693,1.7301236116564981e-07,0.0016764897796951467,3.6076036765669,Endo,5
22350,F,Zfp605-202_ENSMUST00000112528,2.8205227949630643e-07,0.0027330865883192093,4.33673300510161,Endo,5
23214,F,Vps37b-201_ENSMUST00000040967,4.792134099142935e-07,0.004643577942069504,4.050158987565434,Endo,5
25215,F,Bpgm-201_ENSMUST00000045372,2.305032015742534e-07,0.002233576023254515,4.180574216089801,Endo,6
26595,F,Mgll-204_ENSMUST00000113585,9.074181712515734e-08,0.0008792882079427746,3.997529325734099,Endo,6
27491,F,Necap1-201_ENSMUST00000032477,9.23130344745755e-08,0.0008945133040586367,4.503739445873438,Endo,6
31162,F,Polg-214_ENSMUST00000154403,7.481823732076626e-07,0.007249887196382251,3.874553424666407,Endo,7
31923,F,Inppl1-204_ENSMUST00000186316,2.1378723519001235e-07,0.0020715983089912198,3.724275983303334,Endo,7
32828,F,Sult1a1-203_ENSMUST00000106373,1.5328235672723674e-07,0.001485306036686924,5.926821451256101,Endo,7
33336,F,Oat-201_ENSMUST00000084500,7.828712698808701e-08,0.0007586022605145632,4.434908688875461,Endo,7
33444,F,Ppp2r2d-207_ENSMUST00000155672,4.740814151476816e-07,0.004593848912781035,4.453915591199742,Endo,7
33544,F,Paox-201_ENSMUST00000026537,9.209386122616102e-08,0.0008923895152815002,3.0213149753515784,Endo,7
34505,F,Marcks-201_ENSMUST00000092584,1.2522765046279235e-07,0.001213455932984458,3.407051884642041,Endo,10
35277,F,Gstt2-208_ENSMUST00000220440,1.902107383581483e-07,0.0018431420546904571,4.47187604421529,Endo,10
36056,F,Tdg-201_ENSMUST00000092266,2.9739821052511903e-08,0.00028817886599884034,4.3077693377272865,Endo,10
38756,F,Pgpep1-201_ENSMUST00000070173,7.592693258442278e-08,0.0007357319767430567,3.2832717047201196,Endo,8
41225,F,Adk-205_ENSMUST00000223861,1.7879462891256713e-07,0.0017325199541627756,3.9194328181389406,Endo,14
46194,F,U2surp-205_ENSMUST00000186139,9.091805382293157e-07,0.008809959415442069,4.243937592161172,Endo,9
47760,F,Drg1-201_ENSMUST00000020741,4.4039866542235834e-07,0.004267463067942652,5.868967027621723,Endo,11
47866,F,Mtmr3-207_ENSMUST00000155566,7.374984848969776e-07,0.0071463603186517136,2.954200613949004,Endo,11
48252,F,Pex13-201_ENSMUST00000020523,2.868056687040008e-07,0.002779146929741768,3.556103654902013,Endo,11
49648,F,Neurl4-201_ENSMUST00000061837,1.742345074335229e-07,0.001688332377030837,2.8573069625363483,Endo,11
