,index,name,p_raw,p_corr,es,index_name
520096,L6b,Pebp1-201_ENSMUST00000036951,1.7397375996713127e-06,0.009177115838266175,0.04596339106143876,L6b_Pebp1
324966,L6 CT,Selenok-203_ENSMUST00000223998,7.77893303069007e-08,0.0003686436363244024,0.04821061523044623,L6 CT_Selenok
321897,L6 CT,Ndufb10-201_ENSMUST00000045602,8.010077213957755e-07,0.00379597559169458,0.048466588100549046,L6 CT_Ndufb10
315696,L6 CT,Eif1-201_ENSMUST00000049385,1.8238977400298416e-13,8.643451390001419e-10,0.0510847940358774,L6 CT_Eif1
135839,L5 IT,Vmn1r90-203_ENSMUST00000226510,1.244787465201953e-07,0.0006461691731863338,0.056172249760791604,L5 IT_Vmn1r90
69937,L5 IT,Calm1-202_ENSMUST00000110082,5.1371361133665306e-24,2.666687356448566e-20,0.06148403260426516,L5 IT_Calm1
131777,L5 IT,Eif5a-210_ENSMUST00000108613,1.5508954862753166e-06,0.008050698469255168,0.06298830749802864,L5 IT_Eif5a
74517,L5 IT,Nedd8-201_ENSMUST00000010520,1.6048406044642803e-09,8.330727577774079e-06,0.06533515312605687,L5 IT_Nedd8
334208,L6 CT,H3f3a-201_ENSMUST00000081026,3.1958081876371356e-07,0.0015144935001212385,0.06717480429521672,L6 CT_H3f3a
282036,L6 CT,Nedd8-202_ENSMUST00000163750,9.592452949633431e-07,0.004545863452831283,0.06774147600817582,L6 CT_Nedd8
361471,L6 IT,Ndufb4-201_ENSMUST00000023514,4.980542665728403e-07,0.00282496380000115,0.06782009450247806,L6 IT_Ndufb4
353715,L6 IT,Atp5g3-201_ENSMUST00000018914,3.8476851140407705e-08,0.0002182406996683925,0.06832492557598169,L6 IT_Atp5g3
127952,L5 IT,Snu13-202_ENSMUST00000080622,3.777493963742089e-08,0.00019608971165785183,0.0690293523861456,L5 IT_Snu13
543865,L6b,Rplp0-201_ENSMUST00000086519,3.276394222196228e-07,0.0017282979522085101,0.07126799061831957,L6b_Rplp0
82508,L5 IT,Nek4-208_ENSMUST00000228392,1.2701548257919318e-06,0.006593373700685918,0.07300455360585223,L5 IT_Nek4
297522,L6 CT,Prim2-202_ENSMUST00000187353,3.268188754698517e-07,0.0015487946508516274,0.07321619994491657,L6 CT_Prim2
319499,L6 CT,Higd1a-206_ENSMUST00000215300,7.110000417079857e-08,0.0003369429197654144,0.07369812903714212,L6 CT_Higd1a
334210,L6 CT,H3f3a-204_ENSMUST00000159789,5.382759455931245e-07,0.002550889706165817,0.07519937916964103,L6 CT_H3f3a
