,index,name,p_raw,p_corr,es,index_name
280724,Vip,Tmbim1-202_ENSMUST00000113796,3.3519208824765765e-06,0.0054736868010842495,0.0854591899656818,Vip_Tmbim1
6504,Lamp5,Hspa8-202_ENSMUST00000117557,1.0119371951782049e-06,0.002928546242845725,0.09356700426444764,Lamp5_Hspa8
69934,Pvalb,Calm1-203_ENSMUST00000127300,1.3904483664529577e-08,4.530080777903736e-05,0.09863299276157722,Pvalb_Calm1
96853,Pvalb,Mrpl20-201_ENSMUST00000030942,2.4035612678388882e-06,0.007830802610619098,0.11734957929364853,Pvalb_Mrpl20
51599,Lamp5,Bmyc-201_ENSMUST00000061483,3.0941617898163e-06,0.008954504219728373,0.11899928048705544,Lamp5_Bmyc
117441,Pvalb,Ypel3-201_ENSMUST00000038614,4.761811355832619e-11,1.5513981397302672e-07,0.12306519919825298,Pvalb_Ypel3
261839,Sst,Aes-201_ENSMUST00000002518,3.7208755300003516e-07,0.001142680875263108,0.13019776127776783,Sst_Aes
93116,Pvalb,Gnas-208_ENSMUST00000109087,5.755929144261354e-11,1.8752817152003492e-07,0.1312803177186339,Pvalb_Gnas
208281,Sst,Calm1-202_ENSMUST00000110082,2.724793928473422e-25,8.367842154341878e-22,0.13214811920350833,Sst_Calm1
60094,Lamp5,Psma5-201_ENSMUST00000090569,2.750721730307616e-06,0.00796058868751024,0.13530054636583966,Lamp5_Psma5
80732,Pvalb,Psmc1-201_ENSMUST00000021595,4.636269829042595e-07,0.0015104967103020774,0.1385457053608592,Pvalb_Psmc1
174722,Sncg,Atp6v0b-201_ENSMUST00000036380,9.183796864897443e-08,0.00030187140294917896,0.14228861405945814,Sncg_Atp6v0b
69935,Pvalb,Calm1-204_ENSMUST00000153524,3.3680770454520105e-13,1.097319501408265e-09,0.14320479807080844,Pvalb_Calm1
28987,Lamp5,Actb-201_ENSMUST00000100497,6.8260075308198514e-09,1.975446579419265e-05,0.14844456195874667,Lamp5_Actb
14110,Lamp5,Ywhaz-201_ENSMUST00000022894,2.444626080032387e-11,7.074747875613728e-08,0.15415530753010565,Lamp5_Ywhaz
125408,Pvalb,Mrps14-201_ENSMUST00000078878,2.151291966319926e-07,0.0007008909226270319,0.15933521595485445,Pvalb_Mrps14
