,index,name,p_raw,p_corr,es
88,Lamp5,Sdhd-201_ENSMUST00000000175,0.001529285418709518,1.0,0.12346916570238697
90,Lamp5,Ccnd2-201_ENSMUST00000000188,0.23577385434440778,1.0,0.04820931013843954
160,Lamp5,Ckmt1-201_ENSMUST00000000317,0.0708073948672626,1.0,0.10323847433743083
179,Lamp5,Comt-202_ENSMUST00000115609,0.025672689848715534,1.0,0.13029594439748404
192,Lamp5,Dazap2-201_ENSMUST00000000356,0.0543293608114637,1.0,0.12397127625897042
195,Lamp5,Mcts1-203_ENSMUST00000134573,0.0009082573877086078,1.0,0.2372646462641792
196,Lamp5,Mcts1-201_ENSMUST00000000365,2.399756422791188e-07,0.0006944895087557699,0.24475916440029888
228,Lamp5,Ndufa9-203_ENSMUST00000205002,0.2569113883783273,1.0,0.02403794316273533
230,Lamp5,Ndufa9-201_ENSMUST00000088194,0.07386636514919365,1.0,0.08948637067577625
333,Lamp5,C1d-201_ENSMUST00000000594,0.10605832034517346,1.0,0.04644165638224518
346,Lamp5,Krit1-210_ENSMUST00000200004,7.141391255507523e-06,0.02066718629343877,0.19923715123200192
376,Lamp5,Sez6-208_ENSMUST00000151982,9.488526023722798e-32,2.7459794312653776e-28,1.2095887327156545
448,Lamp5,Ddx3x-201_ENSMUST00000000804,0.3070912702505434,1.0,0.037393926476538386
479,Lamp5,Dnajc5-201_ENSMUST00000072334,0.14479197640127348,1.0,0.06791616573738457
507,Lamp5,Bcl11a-204_ENSMUST00000118955,4.8331982682305666e-64,1.398727578825926e-60,1.6760366458855085
570,Lamp5,Ilf2-201_ENSMUST00000001042,1.5763356563112971e-06,0.004561915389364894,0.3392083274147444
576,Lamp5,Chtop-203_ENSMUST00000076639,0.0007408679604601948,1.0,0.27056104294251027
686,Lamp5,Poldip2-201_ENSMUST00000001127,0.0026919055416159887,1.0,0.24419970797744828
696,Lamp5,Pcbp3-201_ENSMUST00000001148,7.13139866102313e-60,2.0638267725000936e-56,1.5710741100863177
705,Lamp5,Araf-202_ENSMUST00000120356,0.1888049455563674,1.0,0.020790897021798926
751,Lamp5,Snrnp27-201_ENSMUST00000001186,0.00017432107698228238,0.5044851967867252,0.13800664000730034
762,Lamp5,Calm1-203_ENSMUST00000127300,1.191884513492619e-08,3.4493137820476396e-05,0.13034059353764516
763,Lamp5,Calm1-204_ENSMUST00000153524,3.671169590208108e-07,0.0010624364794062265,0.12633665505773273
765,Lamp5,Calm1-202_ENSMUST00000110082,7.994844588890299e-61,2.3137080240248524e-57,0.22734892615807212
864,Lamp5,Hars-201_ENSMUST00000001416,0.006284172814400423,1.0,0.19094248037041694
865,Lamp5,Zmat2-201_ENSMUST00000001419,1.5165121465289523e-38,4.388786152054788e-35,0.4814951949140456
882,Lamp5,Cct3-201_ENSMUST00000001452,0.0011479409472620477,1.0,0.2558656434530109
942,Lamp5,Mrpl10-201_ENSMUST00000001485,0.0003043848538580135,0.880889767065091,0.29725598560369315
949,Lamp5,Tcf25-205_ENSMUST00000212470,0.05170165541575133,1.0,0.1105408329359463
953,Lamp5,Tcf25-202_ENSMUST00000108840,0.08060259619378612,1.0,0.11162413076064137
1002,Lamp5,Tubb5-201_ENSMUST00000001566,2.0000036285767367e-15,5.7880105011010755e-12,0.3658710077242322
1031,Lamp5,Ergic1-206_ENSMUST00000167662,5.1925529973735214e-05,0.15027248374398972,0.3360352531502948
1045,Lamp5,Brpf1-206_ENSMUST00000131594,8.259908481775902e-05,0.2390417514625946,0.15275012020368894
1115,Lamp5,Chordc1-201_ENSMUST00000001825,0.033823961324939845,1.0,0.10297824453185322
1118,Lamp5,Rtcb-201_ENSMUST00000001834,0.1833903012785728,1.0,0.08255085244850857
1157,Lamp5,Sept7-202_ENSMUST00000165594,8.921356270002161e-17,2.5818405045386253e-13,0.20040816165862374
1158,Lamp5,Sept7-201_ENSMUST00000115272,0.00010815637741276707,0.3130045562325479,0.36570816514335536
1174,Lamp5,Rac1-204_ENSMUST00000145709,0.00028294323667025817,0.8188377269237271,0.2103144970765869
1175,Lamp5,Rac1-202_ENSMUST00000100489,6.796162031350372e-06,0.019668092918727977,0.1832825275140113
1177,Lamp5,Rac1-201_ENSMUST00000080537,0.0014277799563591207,1.0,0.13127927033546793
1225,Lamp5,Nfix-205_ENSMUST00000126806,1.5377546343416647e-172,4.4502619117847774e-169,3.011039032326968
1226,Lamp5,Nfix-201_ENSMUST00000076715,2.813545513625408e-80,8.142400716431931e-77,2.187715267091003
1227,Lamp5,Nfix-204_ENSMUST00000109764,1.5322123289092354e-253,4.4342224798633275e-250,1.85213727906415
1233,Lamp5,Uba1-201_ENSMUST00000001989,0.010470328109989187,1.0,0.2864470831378374
1290,Lamp5,Blvra-201_ENSMUST00000002064,0.00018152058864645752,0.525320583542848,0.30503910687223534
1311,Lamp5,Pnck-203_ENSMUST00000114473,3.266018757799818e-05,0.09451858285072673,0.3898779900385656
1315,Lamp5,Ssr4-208_ENSMUST00000166518,0.0014972202305207779,1.0,0.15796780398979937
1320,Lamp5,Bcap31-201_ENSMUST00000002091,4.493304099783284e-08,0.00013003622064772824,0.23535307964299435
1361,Lamp5,Unc119-201_ENSMUST00000002127,0.000887643383623533,1.0,0.27897226940371445
1374,Lamp5,Sdf2-201_ENSMUST00000002133,2.3126499862033386e-05,0.06692809060072462,0.2789055094347379
1391,Lamp5,Psmc3-202_ENSMUST00000067663,0.10660219048210984,1.0,0.07070280241337024
1577,Lamp5,Ncan-201_ENSMUST00000002412,3.0123002465080947e-14,8.717596913394425e-11,0.3730074337671432
1706,Lamp5,Puf60-202_ENSMUST00000100527,8.018989590530024e-05,0.2320695587499389,0.3509779368447039
1726,Lamp5,Mien1-201_ENSMUST00000002655,0.0447685877971327,1.0,0.07057030728378066
1742,Lamp5,Akap8l-201_ENSMUST00000050214,5.492414031711496e-16,1.589504620777307e-12,0.5083811780668266
1748,Lamp5,Gtf2f1-201_ENSMUST00000002733,8.338840099048153e-06,0.024132603246645356,0.35485699870260934
1749,Lamp5,Clpp-201_ENSMUST00000002735,0.26504460229548454,1.0,0.02491627419143061
1804,Lamp5,Mea1-201_ENSMUST00000002845,0.0866029532372384,1.0,0.04887469535883682
1992,Lamp5,Tomm40-202_ENSMUST00000093552,0.2643808672267606,1.0,0.04710345281591888
2027,Lamp5,Rab8a-201_ENSMUST00000003121,0.00011521057693444979,0.3334194096482977,0.25453810469908866
2038,Lamp5,Hmgn2-203_ENSMUST00000102553,0.05051963558347558,1.0,0.09765366259298514
2042,Lamp5,Fam32a-201_ENSMUST00000003123,1.8755554465156134e-05,0.05427857462216185,0.3090432722248937
2048,Lamp5,Stard3nl-201_ENSMUST00000039694,0.00014910208319767555,0.43150142877407305,0.3177033611512372
2072,Lamp5,Ppp5c-201_ENSMUST00000003183,0.23758449544145704,1.0,0.0575232708646638
