,index,name,p_raw,p_corr,es
90,L2/3 IT,Ccnd2-201_ENSMUST00000000188,2.0887988409618383e-33,1.303201596876091e-29,0.5666129231899542
123,L2/3 IT,Lhx2-201_ENSMUST00000000253,6.815152373626026e-134,4.2519735659052775e-130,1.5231508054802343
141,L2/3 IT,Hddc2-201_ENSMUST00000000304,8.073429543600348e-13,5.037012692252257e-09,0.47565165042758073
147,L2/3 IT,Tpd52l1-202_ENSMUST00000213528,3.754418366084252e-09,2.3423816185999648e-05,0.3772982363132966
180,L2/3 IT,Comt-201_ENSMUST00000000335,2.577314167986968e-24,1.6079863094070693e-20,0.3995362666402591
195,L2/3 IT,Mcts1-203_ENSMUST00000134573,6.335314026852468e-24,3.952602421353255e-20,0.3936981403562543
196,L2/3 IT,Mcts1-201_ENSMUST00000000365,2.3197335238369854e-19,1.4472817455218952e-15,0.1696399748179811
197,L2/3 IT,Mcts1-204_ENSMUST00000140204,4.152292464597218e-09,2.5906152686622042e-05,0.24464587796689408
282,L2/3 IT,Grasp-201_ENSMUST00000000543,3.0623373721195013e-99,1.9105922864653568e-95,1.3259307383781773
301,L2/3 IT,Gabra2-203_ENSMUST00000197284,3.48266863934406e-116,2.172836964086759e-112,1.166541000327748
302,L2/3 IT,Gabra2-204_ENSMUST00000198625,2.155958658643939e-47,1.3451026071279536e-43,0.9047458656911347
464,L2/3 IT,Car4-201_ENSMUST00000103194,2.8314795618071058e-133,1.7665600986114534e-129,2.2544732067107587
486,L2/3 IT,Tpd52l2-202_ENSMUST00000069712,9.449623654067234e-18,5.895620197772547e-14,0.4218897472372487
489,L2/3 IT,Tpd52l2-203_ENSMUST00000108799,5.1514180098315695e-08,0.00032139696963339164,0.22049096746442487
507,L2/3 IT,Bcl11a-204_ENSMUST00000118955,1.251528420371401e-28,7.808285814697171e-25,0.39628520830794667
510,L2/3 IT,Bcl11a-201_ENSMUST00000000881,7.423558427933699e-30,4.6315581031878343e-26,0.518316651111959
578,L2/3 IT,Chtop-202_ENSMUST00000049937,6.570861614688227e-10,4.099560561403985e-06,0.37140006421976945
581,L2/3 IT,Snapin-203_ENSMUST00000149884,8.303362037187606e-08,0.0005180467575001348,0.2772313479102908
590,L2/3 IT,S100a6-201_ENSMUST00000001051,1.8808503450437384e-149,1.1734625302727885e-145,2.9839837724153417
631,L2/3 IT,Rmnd5b-201_ENSMUST00000001081,1.0434283150465964e-07,0.0006509949257575715,0.24338359374184293
