,index,name,p_raw,p_corr,es,gene,index_name
248,GABAergic,957,1.1543215857621806e-13,5.94475616667523e-11,0.204656199913952,Clk1,GABAergic_Clk1
856,GABAergic,3629,3.818499691638567e-72,1.9665273411938621e-69,0.7475893840814987,Dnm3,GABAergic_Dnm3
1897,GABAergic,9240,1.9047793678646472e-13,9.809613744502932e-11,0.21622062525064933,Dtx3,GABAergic_Dtx3
4827,GABAergic,24517,5.973345506260407e-31,3.0762729357241095e-28,0.6604950202634527,Sirt5,GABAergic_Sirt5
5035,GABAergic,26402,9.936330158357574e-08,5.117210031554151e-05,0.15117035761374442,Pdhb,GABAergic_Pdhb
5330,GABAergic,27568,1.891308904441349e-18,9.740240857872947e-16,0.3343874844644965,Pabpn1,GABAergic_Pabpn1
7471,GABAergic,38728,9.449426306262809e-13,4.866454547725346e-10,0.18505447573784384,Mtch1,GABAergic_Mtch1
7677,GABAergic,39458,1.725024153764303e-17,8.88387439188616e-15,0.44339389233036464,Atat1,GABAergic_Atat1
10978,GABAergic,55973,8.027494928357943e-20,4.1341598881043403e-17,0.4217560344486708,Rnpc3,GABAergic_Rnpc3
11283,GABAergic,57078,1.1217208092913632e-17,5.776862167850521e-15,0.3069322798041094,Ttll7,GABAergic_Ttll7
12658,GABAergic,63941,4.351224657558197e-13,2.2408806986424716e-10,0.1274829874443144,Dnajc8,GABAergic_Dnajc8
13886,GABAergic,69867,1.181831537572244e-126,6.086432418497056e-124,1.0206729147659357,Grk3,GABAergic_Grk3
15215,GABAergic,76337,1.7430388345782164e-09,8.976649998077814e-07,0.31568970676744534,Mat2a,GABAergic_Mat2a
16905,GABAergic,87539,1.214738973271279e-34,6.255905712347087e-32,0.5248190732004048,Use1,GABAergic_Use1
17346,GABAergic,89213,5.494655701042113e-232,2.8297476860366883e-229,1.7098658590021318,Ciapin1,GABAergic_Ciapin1
18233,GABAergic,94114,2.5413564582363234e-08,1.3087985759917065e-05,0.09703141246462899,Nptn,GABAergic_Nptn
18246,GABAergic,94176,6.927596418955886e-25,3.5677121557622813e-22,0.5883836878478119,Rasgrf1,GABAergic_Rasgrf1
19342,GABAergic,100099,4.382071242891779e-09,2.2567666900892665e-06,0.12701669809485328,Morf4l2,GABAergic_Morf4l2
19641,Glutamatergic,14,1.6066415328863722e-28,1.9408229717267376e-25,0.5924694202676957,Lman2l,Glutamatergic_Lman2l
19647,Glutamatergic,46,1.0352923015040378e-55,1.2506331002168776e-52,0.9074729593783291,Ncstn,Glutamatergic_Ncstn
19787,Glutamatergic,713,2.758366436227378e-31,3.3321066549626723e-28,0.3872934067834324,Pikfyve,Glutamatergic_Pikfyve
19862,Glutamatergic,926,6.326958831671664e-96,7.64296626865937e-93,1.3647330218934752,Stradb,Glutamatergic_Stradb
20095,Glutamatergic,1655,4.275479836256089e-33,5.164779642197356e-30,0.6502544486901973,Eif4e2,Glutamatergic_Eif4e2
20364,Glutamatergic,2958,4.85985214727272e-23,5.870701393905446e-20,0.5980967284795744,Acsl3,Glutamatergic_Acsl3
20517,Glutamatergic,3763,1.3881431131171954e-57,1.6768768806455722e-54,0.7637352593879019,Rims1,Glutamatergic_Rims1
20535,Glutamatergic,3841,6.334436082930221e-89,7.651998788179707e-86,1.2584236279291772,Rnpep,Glutamatergic_Rnpep
20857,Glutamatergic,5065,5.620513348426259e-31,6.789580124898921e-28,0.5830279840663426,Arfgef1,Glutamatergic_Arfgef1
20863,Glutamatergic,5093,8.812583403690373e-63,1.0645600751657972e-59,0.7518102046127515,Rasal2,Glutamatergic_Rasal2
21021,Glutamatergic,6800,3.366946648030979e-47,4.0672715508214226e-44,0.9148758822999636,Fuca2,Glutamatergic_Fuca2
21528,Glutamatergic,9222,3.6796408335225512e-06,0.004445006126895242,0.15345109273235158,Lrp1,Glutamatergic_Lrp1
21621,Glutamatergic,9943,3.119331732438875e-33,3.768152732786161e-30,0.7439590785590333,Mrpl42,Glutamatergic_Mrpl42
21669,Glutamatergic,10194,6.454966861639611e-41,7.79759996886065e-38,0.32037273487451934,Amd1,Glutamatergic_Amd1
21779,Glutamatergic,11621,1.7549977447263715e-08,2.1200372756294568e-05,0.22376638365204649,Tmed4,Glutamatergic_Tmed4
