,chromosome,gene_id,new_start,tss_same,tss_len,n_tss_same,n_iso,max_tss_size,num_tss_1_iso,tss_class,gene_name,tss_same_name,filter,idx
6,1,ENSMUSG00000001138,36511867,"['ENSMUST00000001166', 'ENSMUST00000097776']",2,2,5,2,3,6,Cnnm3_ENSMUSG00000001138,Cnnm3-201_ENSMUST00000001166,0,0
6,1,ENSMUSG00000001138,36511867,"['ENSMUST00000001166', 'ENSMUST00000097776']",2,2,5,2,3,6,Cnnm3_ENSMUSG00000001138,Cnnm3-202_ENSMUST00000097776,0,0
9,1,ENSMUSG00000001138,36520761,['ENSMUST00000135100'],1,1,5,2,3,9,Cnnm3_ENSMUSG00000001138,Cnnm3-203_ENSMUST00000135100,0,1
11,1,ENSMUSG00000001143,36439668,['ENSMUST00000192969'],1,1,8,4,4,11,Lman2l_ENSMUSG00000001143,Lman2l-207_ENSMUST00000192969,0,2
12,1,ENSMUSG00000001143,36441872,['ENSMUST00000134594'],1,1,8,4,4,12,Lman2l_ENSMUSG00000001143,Lman2l-205_ENSMUST00000134594,0,3
13,1,ENSMUSG00000001143,36445257,['ENSMUST00000193502'],1,1,8,4,4,13,Lman2l_ENSMUSG00000001143,Lman2l-208_ENSMUST00000193502,0,4
14,1,ENSMUSG00000001143,36445271,"['ENSMUST00000125304', 'ENSMUST00000115011', 'ENSMUST00000001171', 'ENSMUST00000123583']",4,4,8,4,4,14,Lman2l_ENSMUSG00000001143,Lman2l-204_ENSMUST00000125304,0,5
14,1,ENSMUSG00000001143,36445271,"['ENSMUST00000125304', 'ENSMUST00000115011', 'ENSMUST00000001171', 'ENSMUST00000123583']",4,4,8,4,4,14,Lman2l_ENSMUSG00000001143,Lman2l-202_ENSMUST00000115011,0,5
14,1,ENSMUSG00000001143,36445271,"['ENSMUST00000125304', 'ENSMUST00000115011', 'ENSMUST00000001171', 'ENSMUST00000123583']",4,4,8,4,4,14,Lman2l_ENSMUSG00000001143,Lman2l-201_ENSMUST00000001171,0,5
14,1,ENSMUSG00000001143,36445271,"['ENSMUST00000125304', 'ENSMUST00000115011', 'ENSMUST00000001171', 'ENSMUST00000123583']",4,4,8,4,4,14,Lman2l_ENSMUSG00000001143,Lman2l-203_ENSMUST00000123583,0,5
21,1,ENSMUSG00000002459,5018735,['ENSMUST00000119256'],1,1,7,2,5,21,Rgs20_ENSMUSG00000002459,Rgs20-203_ENSMUST00000119256,0,6
22,1,ENSMUSG00000002459,5019379,"['ENSMUST00000170566', 'ENSMUST00000156289']",2,2,7,2,5,22,Rgs20_ENSMUSG00000002459,Rgs20-207_ENSMUST00000170566,0,7
